units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,866.4679,842.6269,842626.8999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,1.8999,0.0019
1,866.4872,842.6462,842646.1999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,21.1999,0.0212
1,866.5590,842.7180,842717.9999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,92.9999,0.0930
1,866.5979,842.7569,842756.8999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,131.8999,0.1319
1,866.6157,842.7747,842774.6999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,149.6999,0.1497
1,866.6246,842.7836,842783.5999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,158.5999,0.1586
1,866.6464,842.8054,842805.3999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,180.3999,0.1804
1,866.6722,842.8312,842831.1999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,206.1999,0.2062
1,866.6749,842.8339,842833.8999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,208.8999,0.2089
1,866.6847,842.8437,842843.6999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,218.6999,0.2187
1,866.7004,842.8594,842859.3999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,234.3999,0.2344
1,866.7107,842.8697,842869.6999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,244.6999,0.2447
1,866.7250,842.8840,842883.9999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,258.9999,0.2590
1,866.7394,842.8984,842898.3999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,273.3999,0.2734
1,866.7649,842.9239,842923.8999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,298.8999,0.2989
1,866.7688,842.9278,842927.7999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,302.7999,0.3028
1,866.7893,842.9483,842948.2999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,323.2999,0.3233
1,866.8273,842.9863,842986.2999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,361.2999,0.3613
1,866.8483,843.0073,843007.2999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,382.2999,0.3823
1,866.8690,843.0280,843027.9999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,402.9999,0.4030
1,866.8992,843.0582,843058.1999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,433.1999,0.4332
1,866.9252,843.0842,843084.1999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,459.1999,0.4592
1,866.9895,843.1485,843148.4999,1,1.0-842625-844596,368.0000,1.0000,1,1,True,842625.0000,844596.0000,523.4999,0.5235
