units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,1105.6593,1081.8183,1081818.2999,3,1.0-1081762-1083766,458.0000,1.0000,1,3,True,1081762.0000,1083766.0000,56.2999,0.0563
1,1105.7123,1081.8713,1081871.2999,3,1.0-1081762-1083766,458.0000,1.0000,1,3,True,1081762.0000,1083766.0000,109.2999,0.1093
1,1106.1389,1082.2979,1082297.8999,3,1.0-1081762-1083766,458.0000,1.0000,1,3,True,1081762.0000,1083766.0000,535.8999,0.5359
1,1106.2213,1082.3803,1082380.2999,3,1.0-1081762-1083766,458.0000,1.0000,1,3,True,1081762.0000,1083766.0000,618.2999,0.6183
1,1106.6712,1082.8302,1082830.1999,3,1.0-1081762-1083766,458.0000,1.0000,1,3,True,1081762.0000,1083766.0000,1068.1999,1.0682
1,1106.8647,1083.0237,1083023.6999,3,1.0-1081762-1083766,458.0000,1.0000,1,3,True,1081762.0000,1083766.0000,1261.6999,1.2617
1,1107.0746,1083.2336,1083233.5999,3,1.0-1081762-1083766,458.0000,1.0000,1,3,True,1081762.0000,1083766.0000,1471.5999,1.4716
1,1107.3463,1083.5053,1083505.2999,3,1.0-1081762-1083766,458.0000,1.0000,1,3,True,1081762.0000,1083766.0000,1743.2999,1.7433
1,1856.4659,1832.6249,1832624.8999,4,1.0-1831805-1832841,755.0000,1.0000,1,4,True,1831805.0000,1832841.0000,819.8999,0.8199
1,1628.3192,1604.4782,1604478.1999,5,1.0-1604391-1607163,650.0000,1.0000,1,5,True,1604391.0000,1607163.0000,87.1999,0.0872
1,1801.5235,1777.6825,1777682.4999,6,1.0-1777398-1778200,733.0000,1.0000,1,6,True,1777398.0000,1778200.0000,284.4999,0.2845
1,1801.6708,1777.8298,1777829.7999,6,1.0-1777398-1778200,733.0000,1.0000,1,6,True,1777398.0000,1778200.0000,431.7999,0.4318
1,1801.7850,1777.9440,1777943.9999,6,1.0-1777398-1778200,733.0000,1.0000,1,6,True,1777398.0000,1778200.0000,545.9999,0.5460
1,1801.8042,1777.9632,1777963.1999,6,1.0-1777398-1778200,733.0000,1.0000,1,6,True,1777398.0000,1778200.0000,565.1999,0.5652
1,1801.8302,1777.9892,1777989.1999,6,1.0-1777398-1778200,733.0000,1.0000,1,6,True,1777398.0000,1778200.0000,591.1999,0.5912
1,1801.8812,1778.0402,1778040.1999,6,1.0-1777398-1778200,733.0000,1.0000,1,6,True,1777398.0000,1778200.0000,642.1999,0.6422
1,2437.5072,2413.6662,2413666.1999,9,1.0-2412682-2413851,990.0000,1.0000,1,9,True,2412682.0000,2413851.0000,984.1999,0.9842
1,2437.5151,2413.6741,2413674.0999,9,1.0-2412682-2413851,990.0000,1.0000,1,9,True,2412682.0000,2413851.0000,992.0999,0.9921
1,2437.5170,2413.6760,2413675.9999,9,1.0-2412682-2413851,990.0000,1.0000,1,9,True,2412682.0000,2413851.0000,993.9999,0.9940
1,2437.5210,2413.6800,2413679.9999,9,1.0-2412682-2413851,990.0000,1.0000,1,9,True,2412682.0000,2413851.0000,997.9999,0.9980
1,2437.5250,2413.6840,2413683.9999,9,1.0-2412682-2413851,990.0000,1.0000,1,9,True,2412682.0000,2413851.0000,1001.9999,1.0020
1,2437.6123,2413.7713,2413771.2999,9,1.0-2412682-2413851,990.0000,1.0000,1,9,True,2412682.0000,2413851.0000,1089.2999,1.0893
1,642.0586,618.2176,618217.5999,10,1.0-617014-620020,300.0000,1.0000,1,10,True,617014.0000,620020.0000,1203.5999,1.2036
1,1782.6464,1758.8054,1758805.3999,12,1.0-1757225-1758928,723.0000,1.0000,1,12,True,1757225.0000,1758928.0000,1580.3999,1.5804
1,2107.4105,2083.5695,2083569.4999,13,1.0-2082732-2084937,867.0000,1.0000,1,13,True,2082732.0000,2084937.0000,837.4999,0.8375
1,2108.2200,2084.3790,2084378.9999,13,1.0-2082732-2084937,867.0000,1.0000,1,13,True,2082732.0000,2084937.0000,1646.9999,1.6470
1,2259.0366,2235.1956,2235195.5999,14,1.0-2234331-2235733,922.0000,1.0000,1,14,True,2234331.0000,2235733.0000,864.5999,0.8646
1,2375.6691,2351.8281,2351828.0999,16,1.0-2351628-2352764,964.0000,1.0000,1,16,True,2351628.0000,2352764.0000,200.0999,0.2001
1,2375.6829,2351.8419,2351841.8999,16,1.0-2351628-2352764,964.0000,1.0000,1,16,True,2351628.0000,2352764.0000,213.8999,0.2139
1,2376.1534,2352.3124,2352312.3999,16,1.0-2351628-2352764,964.0000,1.0000,1,16,True,2351628.0000,2352764.0000,684.3999,0.6844
1,204.6792,180.8382,180838.1999,18,1.0-180455-182292,107.0000,1.0000,1,18,True,180455.0000,182292.0000,383.1999,0.3832
1,1897.3005,1873.4595,1873459.4999,19,1.0-1873120-1875257,783.0000,1.0000,1,19,True,1873120.0000,1875257.0000,339.4999,0.3395
1,2192.9765,2169.1355,2169135.4999,26,1.0-2167733-2169737,898.0000,1.0000,1,26,True,2167733.0000,2169737.0000,1402.4999,1.4025
1,612.0387,588.1977,588197.6999,28,1.0-587189-590095,290.0000,1.0000,1,28,True,587189.0000,590095.0000,1008.6999,1.0087
1,1398.7209,1374.8799,1374879.8999,33,1.0-1373036-1375040,548.0000,1.0000,1,31,True,1373036.0000,1375040.0000,1843.8999,1.8439
1,1722.7260,1698.8850,1698884.9999,34,1.0-1698276-1701115,694.0000,1.0000,1,32,True,1698276.0000,1701115.0000,608.9999,0.6090
1,200.9221,177.0811,177081.0999,35,1.0-176314-178585,105.0000,1.0000,1,33,True,176314.0000,178585.0000,767.0999,0.7671
1,1981.7786,1957.9376,1957937.5999,36,1.0-1956450-1959456,818.0000,1.0000,1,34,True,1956450.0000,1959456.0000,1487.5999,1.4876
1,2455.4191,2431.5781,2431578.0999,37,1.0-2430584-2432588,999.0000,1.0000,1,35,True,2430584.0000,2432588.0000,994.0999,0.9941
1,2455.8141,2431.9731,2431973.0999,37,1.0-2430584-2432588,999.0000,1.0000,1,35,True,2430584.0000,2432588.0000,1389.0999,1.3891
1,2455.8179,2431.9769,2431976.8999,37,1.0-2430584-2432588,999.0000,1.0000,1,35,True,2430584.0000,2432588.0000,1392.8999,1.3929
1,2456.0270,2432.1860,2432185.9999,37,1.0-2430584-2432588,999.0000,1.0000,1,35,True,2430584.0000,2432588.0000,1601.9999,1.6020
1,2456.2636,2432.4226,2432422.5999,37,1.0-2430584-2432588,999.0000,1.0000,1,35,True,2430584.0000,2432588.0000,1838.5999,1.8386
1,2416.5593,2392.7183,2392718.2999,38,1.0-2392509-2395515,981.0000,1.0000,1,36,True,2392509.0000,2395515.0000,209.2999,0.2093
1,2417.0882,2393.2472,2393247.1999,38,1.0-2392509-2395515,981.0000,1.0000,1,36,True,2392509.0000,2395515.0000,738.1999,0.7382
1,394.2502,370.4092,370409.1999,43,1.0-369293-370863,205.0000,1.0000,1,40,True,369293.0000,370863.0000,1116.1999,1.1162
1,1744.8712,1721.0302,1721030.1999,47,1.0-1718950-1721388,703.0000,1.0000,1,43,True,1718950.0000,1721388.0000,2080.1999,2.0802
1,1745.0972,1721.2562,1721256.1999,47,1.0-1718950-1721388,703.0000,1.0000,1,43,True,1718950.0000,1721388.0000,2306.1999,2.3062
1,1745.1271,1721.2861,1721286.0999,47,1.0-1718950-1721388,703.0000,1.0000,1,43,True,1718950.0000,1721388.0000,2336.0999,2.3361
1,2352.8932,2329.0522,2329052.1999,48,1.0-2328716-2330086,954.0000,1.0000,1,44,True,2328716.0000,2330086.0000,336.1999,0.3362
1,548.3224,524.4814,524481.3999,52,1.0-523430-525434,267.0000,1.0000,1,46,True,523430.0000,525434.0000,1051.3999,1.0514
1,548.3761,524.5351,524535.0999,52,1.0-523430-525434,267.0000,1.0000,1,46,True,523430.0000,525434.0000,1105.0999,1.1051
1,543.7212,519.8802,519880.1999,53,1.0-519322-520725,264.0000,1.0000,1,47,True,519322.0000,520725.0000,558.1999,0.5582
1,2064.1055,2040.2645,2040264.4999,55,1.0-2038779-2041518,848.0000,1.0000,1,49,True,2038779.0000,2041518.0000,1485.4999,1.4855
1,1183.2128,1159.3718,1159371.7999,58,1.0-1158046-1160117,477.0000,1.0000,1,52,True,1158046.0000,1160117.0000,1325.7999,1.3258
1,1183.8942,1160.0532,1160053.1999,58,1.0-1158046-1160117,477.0000,1.0000,1,52,True,1158046.0000,1160117.0000,2007.1999,2.0072
1,334.0263,310.1853,310185.2999,60,1.0-308207-310611,173.0000,1.0000,1,54,True,308207.0000,310611.0000,1978.2999,1.9783
1,1757.1313,1733.2903,1733290.2999,61,1.0-1732911-1735916,709.0000,1.0000,1,55,True,1732911.0000,1735916.0000,379.2999,0.3793
1,1757.5310,1733.6900,1733689.9999,61,1.0-1732911-1735916,709.0000,1.0000,1,55,True,1732911.0000,1735916.0000,778.9999,0.7790
1,1757.7287,1733.8877,1733887.6999,61,1.0-1732911-1735916,709.0000,1.0000,1,55,True,1732911.0000,1735916.0000,976.6999,0.9767
1,1016.0963,992.2553,992255.2999,62,1.0-991785-994691,427.0000,1.0000,1,56,True,991785.0000,994691.0000,470.2999,0.4703
1,1016.7673,992.9263,992926.2999,62,1.0-991785-994691,427.0000,1.0000,1,56,True,991785.0000,994691.0000,1141.2999,1.1413
1,2031.8685,2008.0275,2008027.4999,63,1.0-2007451-2008854,833.0000,1.0000,1,57,True,2007451.0000,2008854.0000,576.4999,0.5765
1,2445.2772,2421.4362,2421436.1999,69,1.0-2420931-2423937,995.0000,1.0000,0,74,True,2420931.0000,2423937.0000,505.1999,0.5052
1,2446.3467,2422.5057,2422505.6999,69,1.0-2420931-2423937,995.0000,1.0000,0,74,True,2420931.0000,2423937.0000,1574.6999,1.5747
1,2446.5277,2422.6867,2422686.6999,69,1.0-2420931-2423937,995.0000,1.0000,0,74,True,2420931.0000,2423937.0000,1755.6999,1.7557
1,402.6433,378.8023,378802.2999,74,1.0-378478-380616,210.0000,1.0000,1,65,True,378478.0000,380616.0000,324.2999,0.3243
1,403.4927,379.6517,379651.6999,74,1.0-378478-380616,210.0000,1.0000,1,65,True,378478.0000,380616.0000,1173.6999,1.1737
1,446.6126,422.7716,422771.5999,75,1.0-422097-424669,230.0000,1.0000,1,66,True,422097.0000,424669.0000,674.5999,0.6746
