bin_10s,spike_count,firing_rate_hz
0,23,2.3
1,14,1.4
2,13,1.3
3,10,1.0
4,11,1.1
5,18,1.8
6,12,1.2
7,14,1.4
8,8,0.8
9,11,1.1
10,6,0.6
11,10,1.0
12,9,0.9
13,24,2.4
14,8,0.8
15,8,0.8
16,19,1.9
17,17,1.7
18,12,1.2
19,21,2.1
20,17,1.7
21,9,0.9
22,10,1.0
23,13,1.3
24,6,0.6
25,14,1.4
26,14,1.4
27,10,1.0
28,7,0.7
29,8,0.8
30,12,1.2
31,10,1.0
32,15,1.5
33,13,1.3
34,20,2.0
35,10,1.0
36,14,1.4
37,10,1.0
38,13,1.3
39,14,1.4
40,21,2.1
41,21,2.1
42,18,1.8
43,15,1.5
44,11,1.1
45,18,1.8
46,18,1.8
47,16,1.6
48,11,1.1
49,20,2.0
50,19,1.9
51,12,1.2
52,17,1.7
53,29,2.9
54,16,1.6
55,13,1.3
56,20,2.0
57,20,2.0
58,6,0.6
59,10,1.0
60,12,1.2
61,21,2.1
62,13,1.3
63,14,1.4
64,13,1.3
65,9,0.9
66,5,0.5
67,6,0.6
68,11,1.1
69,17,1.7
70,11,1.1
71,17,1.7
72,30,3.0
73,23,2.3
74,21,2.1
75,11,1.1
76,27,2.7
77,11,1.1
78,17,1.7
79,15,1.5
80,14,1.4
81,12,1.2
82,10,1.0
83,12,1.2
84,12,1.2
85,13,1.3
86,17,1.7
87,24,2.4
88,13,1.3
89,14,1.4
90,17,1.7
91,8,0.8
92,14,1.4
93,17,1.7
94,19,1.9
95,25,2.5
96,13,1.3
97,19,1.9
98,13,1.3
99,26,2.6
100,25,2.5
101,31,3.1
102,22,2.2
103,27,2.7
104,34,3.4
105,18,1.8
106,23,2.3
107,28,2.8
108,13,1.3
109,29,2.9
110,28,2.8
111,23,2.3
112,25,2.5
113,24,2.4
114,21,2.1
115,23,2.3
116,21,2.1
117,13,1.3
118,14,1.4
119,23,2.3
120,18,1.8
121,13,1.3
122,25,2.5
123,25,2.5
124,22,2.2
125,24,2.4
126,14,1.4
127,16,1.6
128,18,1.8
129,15,1.5
130,12,1.2
131,21,2.1
132,15,1.5
133,23,2.3
134,16,1.6
135,12,1.2
136,17,1.7
137,12,1.2
138,19,1.9
139,24,2.4
140,22,2.2
141,17,1.7
142,13,1.3
143,9,0.9
144,14,1.4
145,23,2.3
146,13,1.3
147,11,1.1
148,13,1.3
149,22,2.2
150,27,2.7
151,32,3.2
152,23,2.3
153,27,2.7
154,22,2.2
155,10,1.0
156,28,2.8
157,24,2.4
158,27,2.7
159,22,2.2
160,22,2.2
161,30,3.0
162,20,2.0
163,42,4.2
164,35,3.5
165,26,2.6
166,33,3.3
167,39,3.9
168,19,1.9
169,34,3.4
170,22,2.2
171,16,1.6
172,27,2.7
173,33,3.3
174,21,2.1
175,15,1.5
176,19,1.9
177,15,1.5
178,15,1.5
179,15,1.5
180,16,1.6
181,8,0.8
182,25,2.5
183,22,2.2
184,15,1.5
185,17,1.7
186,24,2.4
187,21,2.1
188,10,1.0
189,12,1.2
190,15,1.5
191,9,0.9
192,21,2.1
193,23,2.3
194,24,2.4
195,29,2.9
196,21,2.1
197,19,1.9
198,24,2.4
199,15,1.5
200,26,2.6
201,30,3.0
202,30,3.0
203,26,2.6
204,39,3.9
205,17,1.7
206,18,1.8
207,26,2.6
208,30,3.0
209,17,1.7
210,16,1.6
211,14,1.4
212,24,2.4
213,26,2.6
214,19,1.9
215,17,1.7
216,10,1.0
217,27,2.7
218,17,1.7
219,10,1.0
220,10,1.0
221,15,1.5
222,19,1.9
223,9,0.9
224,15,1.5
225,11,1.1
226,17,1.7
227,17,1.7
228,23,2.3
229,20,2.0
230,24,2.4
231,18,1.8
232,9,0.9
233,22,2.2
234,19,1.9
235,15,1.5
236,20,2.0
237,20,2.0
238,25,2.5
239,12,1.2
240,24,2.4
241,19,1.9
242,23,2.3
243,11,1.1
244,19,1.9
245,17,1.7
246,25,2.5
247,16,1.6
