bin_10s,spike_count,firing_rate_hz
0,12,1.2
1,7,0.7
2,11,1.1
3,7,0.7
4,7,0.7
5,12,1.2
6,10,1.0
7,12,1.2
8,4,0.4
9,0,0.0
10,1,0.1
11,6,0.6
12,11,1.1
13,3,0.3
14,5,0.5
15,13,1.3
16,7,0.7
17,8,0.8
18,5,0.5
19,2,0.2
20,0,0.0
21,0,0.0
22,5,0.5
23,8,0.8
24,4,0.4
25,3,0.3
26,13,1.3
27,4,0.4
28,2,0.2
29,6,0.6
30,3,0.3
31,8,0.8
32,9,0.9
33,3,0.3
34,5,0.5
35,2,0.2
36,7,0.7
37,14,1.4
38,0,0.0
39,5,0.5
40,7,0.7
41,5,0.5
42,4,0.4
43,15,1.5
44,18,1.8
45,2,0.2
46,4,0.4
47,5,0.5
48,4,0.4
49,9,0.9
50,5,0.5
51,4,0.4
52,0,0.0
53,16,1.6
54,2,0.2
55,3,0.3
56,4,0.4
57,1,0.1
58,13,1.3
59,15,1.5
60,14,1.4
61,4,0.4
62,4,0.4
63,3,0.3
64,9,0.9
65,6,0.6
66,8,0.8
67,3,0.3
68,1,0.1
69,1,0.1
70,2,0.2
71,1,0.1
72,3,0.3
73,4,0.4
74,3,0.3
75,4,0.4
76,5,0.5
77,10,1.0
78,6,0.6
79,2,0.2
80,18,1.8
81,0,0.0
82,3,0.3
83,7,0.7
84,3,0.3
85,5,0.5
86,1,0.1
87,4,0.4
88,2,0.2
89,6,0.6
90,4,0.4
91,6,0.6
92,2,0.2
93,5,0.5
94,8,0.8
95,5,0.5
96,9,0.9
97,9,0.9
98,7,0.7
99,5,0.5
100,3,0.3
101,7,0.7
102,4,0.4
103,3,0.3
104,3,0.3
105,3,0.3
106,9,0.9
107,7,0.7
108,7,0.7
109,6,0.6
110,19,1.9
111,4,0.4
112,5,0.5
113,4,0.4
114,4,0.4
115,9,0.9
116,4,0.4
117,4,0.4
118,4,0.4
119,5,0.5
120,5,0.5
121,6,0.6
122,6,0.6
123,10,1.0
124,6,0.6
125,10,1.0
126,6,0.6
127,3,0.3
128,2,0.2
129,2,0.2
130,6,0.6
131,6,0.6
132,7,0.7
133,2,0.2
134,0,0.0
135,9,0.9
136,17,1.7
137,8,0.8
138,8,0.8
139,9,0.9
140,18,1.8
141,11,1.1
142,6,0.6
143,5,0.5
144,14,1.4
145,2,0.2
146,0,0.0
147,4,0.4
148,6,0.6
149,3,0.3
150,2,0.2
151,15,1.5
152,12,1.2
153,25,2.5
154,9,0.9
155,8,0.8
156,6,0.6
157,10,1.0
158,2,0.2
159,6,0.6
160,1,0.1
161,4,0.4
162,6,0.6
163,2,0.2
164,5,0.5
165,0,0.0
166,4,0.4
167,7,0.7
168,9,0.9
169,13,1.3
170,17,1.7
171,25,2.5
172,8,0.8
173,4,0.4
174,1,0.1
175,3,0.3
176,13,1.3
177,17,1.7
178,8,0.8
179,4,0.4
180,2,0.2
181,6,0.6
182,0,0.0
183,3,0.3
184,3,0.3
185,0,0.0
186,2,0.2
187,5,0.5
188,7,0.7
189,3,0.3
190,1,0.1
191,6,0.6
192,2,0.2
193,2,0.2
194,2,0.2
195,1,0.1
196,0,0.0
197,0,0.0
198,3,0.3
199,2,0.2
200,3,0.3
201,6,0.6
202,1,0.1
203,3,0.3
204,6,0.6
205,2,0.2
206,3,0.3
207,10,1.0
208,8,0.8
209,10,1.0
210,6,0.6
211,3,0.3
212,1,0.1
213,5,0.5
214,12,1.2
215,3,0.3
216,4,0.4
217,2,0.2
218,0,0.0
219,9,0.9
220,4,0.4
221,3,0.3
222,13,1.3
223,16,1.6
224,16,1.6
225,9,0.9
226,17,1.7
227,19,1.9
228,5,0.5
229,7,0.7
230,12,1.2
231,9,0.9
232,10,1.0
233,10,1.0
234,8,0.8
235,16,1.6
236,7,0.7
237,13,1.3
238,9,0.9
239,14,1.4
240,12,1.2
241,20,2.0
242,10,1.0
243,19,1.9
244,18,1.8
245,11,1.1
246,8,0.8
247,6,0.6
