bin_10s,spike_count,firing_rate_hz
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,3,0.3
6,1,0.1
7,1,0.1
8,0,0.0
9,2,0.2
10,3,0.3
11,1,0.1
12,3,0.3
13,1,0.1
14,0,0.0
15,2,0.2
16,1,0.1
17,0,0.0
18,0,0.0
19,1,0.1
20,1,0.1
21,1,0.1
22,1,0.1
23,1,0.1
24,4,0.4
25,4,0.4
26,8,0.8
27,2,0.2
28,1,0.1
29,1,0.1
30,1,0.1
31,1,0.1
32,1,0.1
33,0,0.0
34,2,0.2
35,2,0.2
36,2,0.2
37,1,0.1
38,3,0.3
39,5,0.5
40,2,0.2
41,1,0.1
42,0,0.0
43,0,0.0
44,3,0.3
45,0,0.0
46,3,0.3
47,2,0.2
48,2,0.2
49,2,0.2
50,5,0.5
51,1,0.1
52,2,0.2
53,0,0.0
54,3,0.3
55,1,0.1
56,1,0.1
57,3,0.3
58,8,0.8
59,8,0.8
60,1,0.1
61,0,0.0
62,2,0.2
63,1,0.1
64,2,0.2
65,1,0.1
66,3,0.3
67,2,0.2
68,1,0.1
69,2,0.2
70,2,0.2
71,4,0.4
72,5,0.5
73,4,0.4
74,0,0.0
75,5,0.5
76,1,0.1
77,4,0.4
78,4,0.4
79,4,0.4
80,3,0.3
81,3,0.3
82,2,0.2
83,2,0.2
84,8,0.8
85,2,0.2
86,3,0.3
87,1,0.1
88,1,0.1
89,3,0.3
90,6,0.6
91,3,0.3
92,3,0.3
93,3,0.3
94,0,0.0
95,4,0.4
96,2,0.2
97,5,0.5
98,3,0.3
99,2,0.2
100,1,0.1
101,1,0.1
102,2,0.2
103,3,0.3
104,4,0.4
105,5,0.5
106,7,0.7
107,4,0.4
108,5,0.5
109,2,0.2
110,4,0.4
111,3,0.3
112,1,0.1
113,5,0.5
114,5,0.5
115,3,0.3
116,1,0.1
117,1,0.1
118,3,0.3
119,1,0.1
120,2,0.2
121,3,0.3
122,4,0.4
123,1,0.1
124,1,0.1
125,2,0.2
126,11,1.1
127,6,0.6
128,1,0.1
129,4,0.4
130,2,0.2
131,0,0.0
132,1,0.1
133,5,0.5
134,5,0.5
135,2,0.2
136,2,0.2
137,1,0.1
138,0,0.0
139,2,0.2
140,2,0.2
141,3,0.3
142,1,0.1
143,1,0.1
144,2,0.2
145,1,0.1
146,5,0.5
147,3,0.3
148,1,0.1
149,4,0.4
150,3,0.3
151,5,0.5
152,1,0.1
153,1,0.1
154,1,0.1
155,4,0.4
156,2,0.2
157,3,0.3
158,4,0.4
159,8,0.8
160,4,0.4
161,3,0.3
162,5,0.5
163,3,0.3
164,1,0.1
165,3,0.3
166,4,0.4
167,0,0.0
168,2,0.2
169,11,1.1
170,3,0.3
171,2,0.2
172,7,0.7
173,0,0.0
174,4,0.4
175,3,0.3
176,5,0.5
177,4,0.4
178,14,1.4
179,9,0.9
180,2,0.2
181,6,0.6
182,10,1.0
183,9,0.9
184,9,0.9
185,1,0.1
186,2,0.2
187,4,0.4
188,3,0.3
189,1,0.1
190,3,0.3
191,9,0.9
192,13,1.3
193,8,0.8
194,7,0.7
195,8,0.8
196,8,0.8
197,10,1.0
198,3,0.3
199,6,0.6
200,4,0.4
201,5,0.5
202,2,0.2
203,6,0.6
204,3,0.3
205,0,0.0
206,1,0.1
207,4,0.4
208,8,0.8
209,7,0.7
210,3,0.3
211,7,0.7
212,9,0.9
213,8,0.8
214,7,0.7
215,4,0.4
216,3,0.3
217,4,0.4
218,5,0.5
219,5,0.5
220,5,0.5
221,6,0.6
222,6,0.6
223,2,0.2
224,3,0.3
225,4,0.4
226,6,0.6
227,4,0.4
228,1,0.1
229,3,0.3
230,4,0.4
231,6,0.6
232,2,0.2
233,3,0.3
234,5,0.5
235,5,0.5
236,5,0.5
237,1,0.1
238,5,0.5
239,2,0.2
240,4,0.4
241,1,0.1
242,2,0.2
243,4,0.4
244,2,0.2
245,1,0.1
246,2,0.2
247,4,0.4
