bin_10s,spike_count,firing_rate_hz
0,7,0.7
1,3,0.3
2,8,0.8
3,9,0.9
4,12,1.2
5,23,2.3
6,13,1.3
7,7,0.7
8,10,1.0
9,1,0.1
10,9,0.9
11,3,0.3
12,5,0.5
13,5,0.5
14,7,0.7
15,14,1.4
16,5,0.5
17,12,1.2
18,11,1.1
19,11,1.1
20,26,2.6
21,19,1.9
22,27,2.7
23,17,1.7
24,7,0.7
25,4,0.4
26,1,0.1
27,5,0.5
28,12,1.2
29,6,0.6
30,6,0.6
31,8,0.8
32,2,0.2
33,2,0.2
34,12,1.2
35,14,1.4
36,4,0.4
37,5,0.5
38,10,1.0
39,12,1.2
40,0,0.0
41,1,0.1
42,8,0.8
43,17,1.7
44,10,1.0
45,5,0.5
46,16,1.6
47,5,0.5
48,8,0.8
49,29,2.9
50,0,0.0
51,0,0.0
52,2,0.2
53,4,0.4
54,6,0.6
55,20,2.0
56,6,0.6
57,12,1.2
58,14,1.4
59,7,0.7
60,3,0.3
61,10,1.0
62,8,0.8
63,13,1.3
64,3,0.3
65,4,0.4
66,14,1.4
67,3,0.3
68,5,0.5
69,18,1.8
70,15,1.5
71,13,1.3
72,13,1.3
73,2,0.2
74,4,0.4
75,13,1.3
76,4,0.4
77,6,0.6
78,5,0.5
79,4,0.4
80,12,1.2
81,1,0.1
82,2,0.2
83,24,2.4
84,12,1.2
85,6,0.6
86,2,0.2
87,1,0.1
88,14,1.4
89,8,0.8
90,9,0.9
91,3,0.3
92,3,0.3
93,2,0.2
94,10,1.0
95,28,2.8
96,20,2.0
97,13,1.3
98,6,0.6
99,1,0.1
100,0,0.0
101,5,0.5
102,6,0.6
103,6,0.6
104,9,0.9
105,8,0.8
106,10,1.0
107,4,0.4
108,15,1.5
109,5,0.5
110,2,0.2
111,12,1.2
112,6,0.6
113,5,0.5
114,24,2.4
115,12,1.2
116,17,1.7
117,14,1.4
118,8,0.8
119,9,0.9
120,12,1.2
121,9,0.9
122,8,0.8
123,9,0.9
124,11,1.1
125,4,0.4
126,19,1.9
127,6,0.6
128,21,2.1
129,16,1.6
130,4,0.4
131,26,2.6
132,1,0.1
133,3,0.3
134,9,0.9
135,2,0.2
136,9,0.9
137,13,1.3
138,1,0.1
139,0,0.0
140,3,0.3
141,5,0.5
142,9,0.9
143,8,0.8
144,15,1.5
145,9,0.9
146,3,0.3
147,1,0.1
148,13,1.3
149,4,0.4
150,6,0.6
151,3,0.3
152,10,1.0
153,14,1.4
154,9,0.9
155,5,0.5
156,24,2.4
157,18,1.8
158,12,1.2
159,10,1.0
160,7,0.7
161,16,1.6
162,5,0.5
163,10,1.0
164,13,1.3
165,9,0.9
166,11,1.1
167,11,1.1
168,12,1.2
169,7,0.7
170,9,0.9
171,7,0.7
172,18,1.8
173,19,1.9
174,9,0.9
175,4,0.4
176,32,3.2
177,10,1.0
178,6,0.6
179,3,0.3
180,19,1.9
181,9,0.9
182,3,0.3
183,7,0.7
184,11,1.1
185,20,2.0
186,6,0.6
187,6,0.6
188,1,0.1
189,5,0.5
190,27,2.7
191,21,2.1
192,5,0.5
193,4,0.4
194,7,0.7
195,6,0.6
196,10,1.0
197,16,1.6
198,4,0.4
199,16,1.6
200,9,0.9
201,11,1.1
202,4,0.4
203,5,0.5
204,2,0.2
205,6,0.6
206,6,0.6
207,15,1.5
208,4,0.4
209,8,0.8
210,10,1.0
211,13,1.3
212,11,1.1
213,7,0.7
214,16,1.6
215,17,1.7
216,9,0.9
217,4,0.4
218,14,1.4
219,45,4.5
220,15,1.5
221,7,0.7
222,13,1.3
223,13,1.3
224,24,2.4
225,23,2.3
226,9,0.9
227,10,1.0
228,12,1.2
229,15,1.5
230,12,1.2
231,12,1.2
232,18,1.8
233,19,1.9
234,21,2.1
235,16,1.6
236,16,1.6
237,28,2.8
238,14,1.4
239,6,0.6
240,13,1.3
241,6,0.6
242,14,1.4
243,13,1.3
244,11,1.1
245,12,1.2
246,10,1.0
247,17,1.7
