units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,23.8423,0.0013,1.2999
2,23.8484,0.0074,7.3999
2,23.8639,0.0229,22.8999
2,23.8681,0.0271,27.0999
2,23.8791,0.0381,38.0999
2,23.9082,0.0672,67.1999
2,23.9118,0.0708,70.7999
2,23.9326,0.0916,91.5999
2,24.0013,0.1603,160.2999
2,24.0535,0.2125,212.4999
2,24.2360,0.3950,394.9999
2,24.3649,0.5239,523.8999
2,24.3862,0.5452,545.1999
2,24.4010,0.5600,559.9999
2,24.4267,0.5857,585.6999
2,24.4708,0.6298,629.7999
2,24.4867,0.6457,645.6999
2,24.5116,0.6706,670.5999
2,24.5526,0.7116,711.5999
2,24.5867,0.7457,745.6999
2,24.6006,0.7596,759.5999
2,24.6196,0.7786,778.5999
2,24.6363,0.7953,795.2999
2,24.6627,0.8217,821.6999
2,24.6815,0.8405,840.4999
2,24.7054,0.8644,864.3999
2,24.7366,0.8956,895.5999
2,24.9019,1.0609,1060.8999
2,25.2369,1.3959,1395.8999
2,25.3001,1.4591,1459.0999
2,25.3219,1.4809,1480.8999
2,25.3348,1.4938,1493.7999
2,25.3685,1.5275,1527.4999
2,25.3852,1.5442,1544.1999
2,25.4481,1.6071,1607.0999
2,25.5391,1.6981,1698.0999
2,25.5656,1.7246,1724.5999
2,25.7100,1.8690,1868.9999
2,25.7265,1.8855,1885.4999
2,25.7495,1.9085,1908.4999
2,25.7565,1.9155,1915.4999
2,25.7779,1.9369,1936.8999
2,25.7821,1.9411,1941.0999
2,25.8187,1.9777,1977.6999
2,25.8365,1.9955,1995.4999
2,25.8716,2.0306,2030.5999
2,25.8856,2.0446,2044.5999
2,25.9101,2.0691,2069.0999
2,25.9299,2.0889,2088.8999
2,25.9563,2.1153,2115.2999
2,25.9786,2.1376,2137.5999
2,26.0050,2.1640,2163.9999
2,26.0638,2.2228,2222.7999
2,26.0957,2.2547,2254.6999
2,26.1028,2.2618,2261.7999
2,26.1074,2.2664,2266.3999
2,26.1226,2.2816,2281.5999
2,26.1725,2.3315,2331.4999
2,26.1864,2.3454,2345.3999
2,26.2075,2.3665,2366.4999
2,26.2993,2.4583,2458.2999
2,26.3155,2.4745,2474.4999
2,26.3318,2.4908,2490.7999
2,26.3455,2.5045,2504.4999
2,26.3792,2.5382,2538.1999
2,26.4015,2.5605,2560.4999
2,26.4201,2.5791,2579.0999
2,26.4304,2.5894,2589.3999
2,26.4508,2.6098,2609.7999
2,26.4845,2.6435,2643.4999
2,26.4959,2.6549,2654.8999
2,26.5740,2.7330,2732.9999
2,26.5975,2.7565,2756.4999
2,26.6413,2.8003,2800.2999
2,26.6596,2.8186,2818.5999
2,26.6777,2.8367,2836.6999
2,26.6993,2.8583,2858.2999
2,27.0860,3.2450,3244.9999
2,27.1501,3.3091,3309.0999
2,27.3450,3.5040,3503.9999
2,27.4364,3.5954,3595.3999
2,27.5726,3.7316,3731.5999
2,27.6159,3.7749,3774.8999
2,27.6628,3.8218,3821.7999
2,27.7176,3.8766,3876.5999
2,27.7764,3.9354,3935.3999
2,27.8233,3.9823,3982.2999
2,27.8626,4.0216,4021.5999
2,27.9116,4.0706,4070.5999
2,28.0363,4.1953,4195.2999
2,28.2077,4.3667,4366.6999
2,28.2523,4.4113,4411.2999
2,28.3247,4.4837,4483.6999
2,28.5526,4.7116,4711.5999
2,28.7181,4.8771,4877.0999
2,28.8543,5.0133,5013.2999
2,29.0283,5.1873,5187.2999
2,29.0504,5.2094,5209.3999
2,29.1275,5.2865,5286.4999
2,29.1687,5.3277,5327.6999
2,29.2170,5.3760,5375.9999
2,29.2401,5.3991,5399.0999
2,29.2524,5.4114,5411.3999
2,29.3632,5.5222,5522.1999
2,29.4532,5.6122,5612.1999
2,29.4947,5.6537,5653.6999
2,29.7132,5.8722,5872.1999
2,29.7306,5.8896,5889.5999
2,29.8311,5.9901,5990.0999
2,29.8526,6.0116,6011.5999
2,29.8834,6.0424,6042.3999
2,29.8986,6.0576,6057.5999
2,29.9198,6.0788,6078.7999
2,29.9543,6.1133,6113.2999
2,29.9644,6.1234,6123.3999
2,30.1676,6.3266,6326.5999
2,30.1887,6.3477,6347.6999
2,30.2126,6.3716,6371.5999
2,30.2799,6.4389,6438.8999
2,30.3047,6.4637,6463.6999
2,30.3420,6.5010,6500.9999
2,30.3938,6.5528,6552.7999
2,30.4055,6.5645,6564.4999
2,30.4221,6.5811,6581.0999
2,30.4706,6.6296,6629.5999
2,30.4822,6.6412,6641.1999
2,30.5052,6.6642,6664.1999
2,30.5263,6.6853,6685.2999
2,30.5449,6.7039,6703.8999
2,30.6571,6.8161,6816.0999
2,30.6652,6.8242,6824.1999
2,30.6713,6.8303,6830.2999
2,30.6979,6.8569,6856.8999
2,30.7031,6.8621,6862.0999
2,30.7078,6.8668,6866.7999
2,30.7567,6.9157,6915.6999
2,30.7919,6.9509,6950.8999
2,30.8266,6.9856,6985.5999
2,30.8409,6.9999,6999.8999
2,31.0624,7.2214,7221.3999
2,31.0903,7.2493,7249.2999
2,31.1740,7.3330,7332.9999
2,31.2297,7.3887,7388.6999
2,31.2579,7.4169,7416.8999
2,31.2921,7.4511,7451.0999
2,31.3237,7.4827,7482.6999
2,31.3384,7.4974,7497.3999
2,31.3699,7.5289,7528.8999
2,31.3852,7.5442,7544.1999
2,31.3924,7.5514,7551.3999
2,31.4302,7.5892,7589.1999
2,31.4647,7.6237,7623.6999
2,31.5491,7.7081,7708.0999
2,31.5554,7.7144,7714.3999
2,31.6369,7.7959,7795.8999
2,31.6542,7.8132,7813.1999
2,31.6783,7.8373,7837.2999
2,31.6912,7.8502,7850.1999
2,31.7208,7.8798,7879.7999
2,31.7458,7.9048,7904.7999
2,31.7668,7.9258,7925.7999
2,31.7719,7.9309,7930.8999
2,31.8232,7.9822,7982.1999
2,31.8505,8.0095,8009.4999
2,31.8975,8.0565,8056.4999
2,32.3823,8.5413,8541.2999
2,32.3974,8.5564,8556.3999
2,32.4150,8.5740,8573.9999
2,32.4418,8.6008,8600.7999
