units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,23.9169,0.0759,75.8999
1,24.0969,0.2559,255.8999
1,25.7247,1.8837,1883.6999
1,26.5866,2.7456,2745.5999
1,27.5547,3.7137,3713.6999
1,27.6509,3.8099,3809.8999
1,29.9172,6.0762,6076.1999
1,30.3141,6.4731,6473.0999
1,31.4468,7.6058,7605.7999
1,31.5559,7.7149,7714.8999
1,32.1739,8.3329,8332.8999
1,32.5459,8.7049,8704.8999
1,34.7418,10.9008,10900.7999
1,38.6607,14.8197,14819.6999
1,41.9965,18.1555,18155.4999
1,42.5655,18.7245,18724.4999
1,42.6145,18.7735,18773.4999
1,42.8002,18.9592,18959.1999
1,43.0511,19.2101,19210.0999
1,44.9493,21.1083,21108.2999
1,45.3331,21.4921,21492.0999
1,46.5298,22.6888,22688.7999
1,46.9743,23.1333,23133.2999
1,49.5198,25.6788,25678.7999
1,49.5577,25.7167,25716.6999
1,49.8089,25.9679,25967.8999
1,49.8643,26.0233,26023.2999
1,49.8743,26.0333,26033.2999
1,49.8981,26.0571,26057.0999
1,53.8345,29.9935,29993.4999
1,54.4690,30.6280,30627.9999
1,59.9264,36.0854,36085.3999
1,60.5312,36.6902,36690.1999
1,60.9268,37.0858,37085.7999
1,61.1298,37.2888,37288.7999
1,61.3451,37.5041,37504.0999
1,62.0407,38.1997,38199.6999
1,68.2629,44.4219,44421.8999
1,68.4353,44.5943,44594.2999
1,68.6021,44.7611,44761.0999
1,68.6327,44.7917,44791.6999
1,68.7027,44.8617,44861.6999
1,69.1525,45.3115,45311.4999
1,69.4338,45.5928,45592.7999
1,75.3417,51.5007,51500.6999
1,75.5368,51.6958,51695.7999
1,75.7362,51.8952,51895.1999
1,77.2906,53.4496,53449.5999
1,77.3884,53.5474,53547.3999
1,78.2113,54.3703,54370.2999
1,79.0798,55.2388,55238.7999
1,79.2312,55.3902,55390.1999
1,79.3976,55.5566,55556.5999
1,79.5667,55.7257,55725.6999
1,80.9287,57.0877,57087.6999
1,81.2884,57.4474,57447.3999
1,88.0055,64.1645,64164.4999
1,88.1447,64.3037,64303.6999
1,88.7235,64.8825,64882.4999
