units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,159.9987,136.1577,136157.6999,2,1-135099-137938,79,1,1,2,True,135099.0000,137938.0000,1058.6999,1.0587
1,1628.4350,1604.5940,1604593.9999,5,1-1604391-1607163,650,1,1,5,True,1604391.0000,1607163.0000,202.9999,0.2030
1,1628.4498,1604.6088,1604608.7999,5,1-1604391-1607163,650,1,1,5,True,1604391.0000,1607163.0000,217.7999,0.2178
1,1629.3603,1605.5193,1605519.2999,5,1-1604391-1607163,650,1,1,5,True,1604391.0000,1607163.0000,1128.2999,1.1283
1,2107.1501,2083.3091,2083309.0999,13,1-2082732-2084937,867,1,1,13,True,2082732.0000,2084937.0000,577.0999,0.5771
1,2375.6896,2351.8486,2351848.5999,16,1-2351628-2352764,964,1,1,16,True,2351628.0000,2352764.0000,220.5999,0.2206
1,934.2957,910.4547,910454.6999,17,1-910091-911594,394,1,1,17,True,910091.0000,911594.0000,363.6999,0.3637
1,935.1042,911.2632,911263.1999,17,1-910091-911594,394,1,1,17,True,910091.0000,911594.0000,1172.1999,1.1722
1,935.1380,911.2970,911296.9999,17,1-910091-911594,394,1,1,17,True,910091.0000,911594.0000,1205.9999,1.2060
1,935.1745,911.3335,911333.4999,17,1-910091-911594,394,1,1,17,True,910091.0000,911594.0000,1242.4999,1.2425
1,205.6703,181.8293,181829.2999,18,1-180455-182292,107,1,1,18,True,180455.0000,182292.0000,1374.2999,1.3743
1,205.6787,181.8377,181837.6999,18,1-180455-182292,107,1,1,18,True,180455.0000,182292.0000,1382.6999,1.3827
1,205.9442,182.1032,182103.1999,18,1-180455-182292,107,1,1,18,True,180455.0000,182292.0000,1648.1999,1.6482
1,1898.6971,1874.8561,1874856.0999,19,1-1873120-1875257,783,1,1,19,True,1873120.0000,1875257.0000,1736.0999,1.7361
1,2084.7507,2060.9097,2060909.6999,21,1-2059687-2061758,857,1,1,21,True,2059687.0000,2061758.0000,1222.6999,1.2227
1,1439.3104,1415.4694,1415469.3999,24,1-1415319-1417189,560,1,1,24,True,1415319.0000,1417189.0000,150.3999,0.1504
1,1440.9356,1417.0946,1417094.5999,24,1-1415319-1417189,560,1,1,24,True,1415319.0000,1417189.0000,1775.5999,1.7756
1,320.0314,296.1904,296190.3999,25,1-295248-298120,167,1,1,25,True,295248.0000,298120.0000,942.3999,0.9424
1,320.0348,296.1938,296193.7999,25,1-295248-298120,167,1,1,25,True,295248.0000,298120.0000,945.7999,0.9458
1,321.8423,298.0013,298001.2999,25,1-295248-298120,167,1,1,25,True,295248.0000,298120.0000,2753.2999,2.7533
1,611.2693,587.4283,587428.2999,28,1-587189-590095,290,1,1,28,True,587189.0000,590095.0000,239.2999,0.2393
1,1583.4644,1559.6234,1559623.3999,30,1-1558367-1560371,634,1,1,29,True,1558367.0000,1560371.0000,1256.3999,1.2564
1,1584.0220,1560.1810,1560180.9999,30,1-1558367-1560371,634,1,1,29,True,1558367.0000,1560371.0000,1813.9999,1.8140
1,1584.1201,1560.2791,1560279.0999,30,1-1558367-1560371,634,1,1,29,True,1558367.0000,1560371.0000,1912.0999,1.9121
1,253.4621,229.6211,229621.0999,31,1-229184-231589,133,1,1,30,True,229184.0000,231589.0000,437.0999,0.4371
1,254.1217,230.2807,230280.6999,31,1-229184-231589,133,1,1,30,True,229184.0000,231589.0000,1096.6999,1.0967
1,254.2527,230.4117,230411.6999,31,1-229184-231589,133,1,1,30,True,229184.0000,231589.0000,1227.6999,1.2277
1,1221.1764,1197.3354,1197335.3999,39,1-1195286-1197991,492,1,0,69,True,1195286.0000,1197991.0000,2049.3999,2.0494
1,919.3294,895.4884,895488.3999,45,1-894728-896565,387,1,1,41,True,894728.0000,896565.0000,760.3999,0.7604
1,114.2230,90.3820,90381.9999,56,1-88875-90545,51,1,1,50,True,88875.0000,90545.0000,1506.9999,1.5070
1,1016.4269,992.5859,992585.8999,62,1-991785-994691,427,1,1,56,True,991785.0000,994691.0000,800.8999,0.8009
1,1017.6855,993.8445,993844.4999,62,1-991785-994691,427,1,1,56,True,991785.0000,994691.0000,2059.4999,2.0595
1,1018.0329,994.1919,994191.8999,62,1-991785-994691,427,1,1,56,True,991785.0000,994691.0000,2406.8999,2.4069
1,2031.9459,2008.1049,2008104.8999,63,1-2007451-2008854,833,1,1,57,True,2007451.0000,2008854.0000,653.8999,0.6539
1,357.6637,333.8227,333822.6999,66,1-331419-334391,187,1,1,60,True,331419.0000,334391.0000,2403.6999,2.4037
1,2446.8879,2423.0469,2423046.8999,69,1-2420931-2423937,995,1,0,74,True,2420931.0000,2423937.0000,2115.8999,2.1159
1,516.0930,492.2520,492251.9999,70,1-491935-493672,257,1,1,62,True,491935.0000,493672.0000,316.9999,0.3170
1,516.1413,492.3003,492300.2999,70,1-491935-493672,257,1,1,62,True,491935.0000,493672.0000,365.2999,0.3653
1,516.2213,492.3803,492380.2999,70,1-491935-493672,257,1,1,62,True,491935.0000,493672.0000,445.2999,0.4453
1,516.3284,492.4874,492487.3999,70,1-491935-493672,257,1,1,62,True,491935.0000,493672.0000,552.3999,0.5524
1,516.8892,493.0482,493048.1999,70,1-491935-493672,257,1,1,62,True,491935.0000,493672.0000,1113.1999,1.1132
1,208.3664,184.5254,184525.3999,72,1-184430-187335,109,1,1,63,True,184430.0000,187335.0000,95.3999,0.0954
