units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,867.6640,843.8230,843822.9999,1,1-842625-844596,368,1,1,1,True,842625.0000,844596.0000,1197.9999,1.1980
1,1107.0782,1083.2372,1083237.1999,3,1-1081762-1083766,458,1,1,3,True,1081762.0000,1083766.0000,1475.1999,1.4752
1,1107.3812,1083.5402,1083540.1999,3,1-1081762-1083766,458,1,1,3,True,1081762.0000,1083766.0000,1778.1999,1.7782
1,1801.7794,1777.9384,1777938.3999,6,1-1777398-1778200,733,1,1,6,True,1777398.0000,1778200.0000,540.3999,0.5404
1,1342.7899,1318.9489,1318948.8999,7,1-1318428-1321434,535,1,1,7,True,1318428.0000,1321434.0000,520.8999,0.5209
1,1342.9475,1319.1065,1319106.4999,7,1-1318428-1321434,535,1,1,7,True,1318428.0000,1321434.0000,678.4999,0.6785
1,1343.7895,1319.9485,1319948.4999,7,1-1318428-1321434,535,1,1,7,True,1318428.0000,1321434.0000,1520.4999,1.5205
1,1344.4121,1320.5711,1320571.0999,7,1-1318428-1321434,535,1,1,7,True,1318428.0000,1321434.0000,2143.0999,2.1431
1,1344.4433,1320.6023,1320602.2999,7,1-1318428-1321434,535,1,1,7,True,1318428.0000,1321434.0000,2174.2999,2.1743
1,1344.5544,1320.7134,1320713.3999,7,1-1318428-1321434,535,1,1,7,True,1318428.0000,1321434.0000,2285.3999,2.2854
1,605.9923,582.1513,582151.2999,8,1-581712-582747,287,1,1,8,True,581712.0000,582747.0000,439.2999,0.4393
1,2437.6452,2413.8042,2413804.1999,9,1-2412682-2413851,990,1,1,9,True,2412682.0000,2413851.0000,1122.1999,1.1222
1,643.5185,619.6775,619677.4999,10,1-617014-620020,300,1,1,10,True,617014.0000,620020.0000,2663.4999,2.6635
1,1921.9603,1898.1193,1898119.2999,11,1-1897768-1900006,799,1,1,11,True,1897768.0000,1900006.0000,351.2999,0.3513
1,1923.3520,1899.5110,1899510.9999,11,1-1897768-1900006,799,1,1,11,True,1897768.0000,1900006.0000,1742.9999,1.7430
1,2258.8081,2234.9671,2234967.0999,14,1-2234331-2235733,922,1,1,14,True,2234331.0000,2235733.0000,636.0999,0.6361
