units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
2,868.1491,844.3081,844308.0999,1,1-842625-844596,368,1,1,1,True,842625.0000,844596.0000,1683.0999,1.6831
2,868.3439,844.5029,844502.8999,1,1-842625-844596,368,1,1,1,True,842625.0000,844596.0000,1877.8999,1.8779
2,868.4258,844.5848,844584.7999,1,1-842625-844596,368,1,1,1,True,842625.0000,844596.0000,1959.7999,1.9598
2,1106.2088,1082.3678,1082367.7999,3,1-1081762-1083766,458,1,1,3,True,1081762.0000,1083766.0000,605.7999,0.6058
2,1106.3029,1082.4619,1082461.8999,3,1-1081762-1083766,458,1,1,3,True,1081762.0000,1083766.0000,699.8999,0.6999
2,1855.7057,1831.8647,1831864.6999,4,1-1831805-1832841,755,1,1,4,True,1831805.0000,1832841.0000,59.6999,0.0597
2,1855.9179,1832.0769,1832076.8999,4,1-1831805-1832841,755,1,1,4,True,1831805.0000,1832841.0000,271.8999,0.2719
2,1856.3300,1832.4890,1832488.9999,4,1-1831805-1832841,755,1,1,4,True,1831805.0000,1832841.0000,683.9999,0.6840
2,1628.3382,1604.4972,1604497.1999,5,1-1604391-1607163,650,1,1,5,True,1604391.0000,1607163.0000,106.1999,0.1062
2,1801.5989,1777.7579,1777757.8999,6,1-1777398-1778200,733,1,1,6,True,1777398.0000,1778200.0000,359.8999,0.3599
2,605.8514,582.0104,582010.3999,8,1-581712-582747,287,1,1,8,True,581712.0000,582747.0000,298.3999,0.2984
2,606.5223,582.6813,582681.2999,8,1-581712-582747,287,1,1,8,True,581712.0000,582747.0000,969.2999,0.9693
2,2107.0486,2083.2076,2083207.5999,13,1-2082732-2084937,867,1,1,13,True,2082732.0000,2084937.0000,475.5999,0.4756
2,2107.4338,2083.5928,2083592.7999,13,1-2082732-2084937,867,1,1,13,True,2082732.0000,2084937.0000,860.7999,0.8608
2,2107.7687,2083.9277,2083927.6999,13,1-2082732-2084937,867,1,1,13,True,2082732.0000,2084937.0000,1195.6999,1.1957
2,2376.2791,2352.4381,2352438.0999,16,1-2351628-2352764,964,1,1,16,True,2351628.0000,2352764.0000,810.0999,0.8101
2,935.2843,911.4433,911443.2999,17,1-910091-911594,394,1,1,17,True,910091.0000,911594.0000,1352.2999,1.3523
2,935.3633,911.5223,911522.2999,17,1-910091-911594,394,1,1,17,True,910091.0000,911594.0000,1431.2999,1.4313
