units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,868.2874,844.4464,844446.3999,1,1-842625-844596,368,1,1,1,True,842625.0000,844596.0000,1821.3999,1.8214
1,868.4109,844.5699,844569.8999,1,1-842625-844596,368,1,1,1,True,842625.0000,844596.0000,1944.8999,1.9449
1,1106.1324,1082.2914,1082291.3999,3,1-1081762-1083766,458,1,1,3,True,1081762.0000,1083766.0000,529.3999,0.5294
1,1856.5938,1832.7528,1832752.7999,4,1-1831805-1832841,755,1,1,4,True,1831805.0000,1832841.0000,947.7999,0.9478
1,605.7011,581.8601,581860.0999,8,1-581712-582747,287,1,1,8,True,581712.0000,582747.0000,148.0999,0.1481
1,935.1137,911.2727,911272.6999,17,1-910091-911594,394,1,1,17,True,910091.0000,911594.0000,1181.6999,1.1817
1,205.1580,181.3170,181316.9999,18,1-180455-182292,107,1,1,18,True,180455.0000,182292.0000,861.9999,0.8620
1,612.3904,588.5494,588549.3999,28,1-587189-590095,290,1,1,28,True,587189.0000,590095.0000,1360.3999,1.3604
1,1724.9348,1701.0938,1701093.7999,34,1-1698276-1701115,694,1,1,32,True,1698276.0000,1701115.0000,2817.7999,2.8178
1,1860.1090,1836.2680,1836267.9999,40,1-1835746-1837450,758,1,1,37,True,1835746.0000,1837450.0000,521.9999,0.5220
1,233.3552,209.5142,209514.1999,50,1-209145-210080,125,1,0,72,True,209145.0000,210080.0000,369.1999,0.3692
1,547.3663,523.5253,523525.2999,52,1-523430-525434,267,1,1,46,True,523430.0000,525434.0000,95.2999,0.0953
1,1747.8109,1723.9699,1723969.8999,54,1-1722557-1724561,705,1,1,48,True,1722557.0000,1724561.0000,1412.8999,1.4129
1,1769.4800,1745.6390,1745638.9999,65,1-1745469-1746304,716,1,1,59,True,1745469.0000,1746304.0000,169.9999,0.1700
1,2446.1449,2422.3039,2422303.8999,69,1-2420931-2423937,995,1,0,74,True,2420931.0000,2423937.0000,1372.8999,1.3729
1,516.4227,492.5817,492581.6999,70,1-491935-493672,257,1,1,62,True,491935.0000,493672.0000,646.6999,0.6467
