bin_10s,spike_count,firing_rate_hz
0,31,3.1
1,36,3.6
2,27,2.7
3,24,2.4
4,35,3.5
5,37,3.7
6,30,3.0
7,40,4.0
8,26,2.6
9,30,3.0
10,21,2.1
11,22,2.2
12,19,1.9
13,25,2.5
14,10,1.0
15,12,1.2
16,14,1.4
17,18,1.8
18,14,1.4
19,12,1.2
20,12,1.2
21,17,1.7
22,29,2.9
23,22,2.2
24,39,3.9
25,33,3.3
26,26,2.6
27,31,3.1
28,38,3.8
29,35,3.5
30,41,4.1
31,34,3.4
32,17,1.7
33,14,1.4
34,22,2.2
35,19,1.9
36,20,2.0
37,65,6.5
38,13,1.3
39,28,2.8
40,18,1.8
41,24,2.4
42,27,2.7
43,28,2.8
44,33,3.3
45,17,1.7
46,35,3.5
47,21,2.1
48,28,2.8
49,40,4.0
50,34,3.4
51,29,2.9
52,27,2.7
53,27,2.7
54,24,2.4
55,18,1.8
56,14,1.4
57,23,2.3
58,31,3.1
59,33,3.3
60,33,3.3
61,39,3.9
62,56,5.6
63,45,4.5
64,30,3.0
65,20,2.0
66,23,2.3
67,16,1.6
68,13,1.3
69,20,2.0
70,21,2.1
71,17,1.7
72,24,2.4
73,17,1.7
74,19,1.9
75,23,2.3
76,11,1.1
77,27,2.7
78,29,2.9
79,18,1.8
80,17,1.7
81,14,1.4
82,22,2.2
83,27,2.7
84,23,2.3
85,38,3.8
86,17,1.7
87,21,2.1
88,8,0.8
89,16,1.6
90,5,0.5
91,15,1.5
92,21,2.1
93,55,5.5
94,22,2.2
95,27,2.7
96,32,3.2
97,30,3.0
98,24,2.4
99,26,2.6
100,14,1.4
101,16,1.6
102,18,1.8
103,21,2.1
104,18,1.8
105,26,2.6
106,34,3.4
107,13,1.3
108,26,2.6
109,32,3.2
110,35,3.5
111,16,1.6
112,16,1.6
113,20,2.0
114,37,3.7
115,32,3.2
116,15,1.5
117,16,1.6
118,20,2.0
119,18,1.8
120,21,2.1
121,31,3.1
122,26,2.6
123,25,2.5
124,26,2.6
125,25,2.5
126,20,2.0
127,30,3.0
128,22,2.2
129,29,2.9
130,28,2.8
131,21,2.1
132,43,4.3
133,33,3.3
134,20,2.0
135,31,3.1
136,27,2.7
137,23,2.3
138,29,2.9
139,22,2.2
140,23,2.3
141,18,1.8
142,11,1.1
143,12,1.2
144,36,3.6
145,30,3.0
146,24,2.4
147,26,2.6
148,28,2.8
149,25,2.5
150,29,2.9
151,29,2.9
152,15,1.5
153,31,3.1
154,20,2.0
155,16,1.6
156,25,2.5
157,33,3.3
158,15,1.5
159,13,1.3
160,35,3.5
161,29,2.9
162,13,1.3
163,27,2.7
164,22,2.2
165,14,1.4
166,33,3.3
167,41,4.1
168,26,2.6
169,27,2.7
170,23,2.3
171,38,3.8
172,35,3.5
173,27,2.7
174,28,2.8
175,20,2.0
176,24,2.4
177,16,1.6
178,26,2.6
179,42,4.2
180,27,2.7
181,24,2.4
182,27,2.7
183,52,5.2
184,44,4.4
185,37,3.7
186,24,2.4
187,30,3.0
188,21,2.1
189,38,3.8
190,41,4.1
191,23,2.3
192,36,3.6
193,38,3.8
194,20,2.0
195,30,3.0
196,35,3.5
197,24,2.4
198,21,2.1
199,26,2.6
200,17,1.7
201,24,2.4
202,22,2.2
203,21,2.1
204,30,3.0
205,15,1.5
206,20,2.0
207,47,4.7
208,30,3.0
209,25,2.5
210,31,3.1
211,30,3.0
212,31,3.1
213,31,3.1
214,21,2.1
215,24,2.4
216,35,3.5
217,29,2.9
218,28,2.8
219,26,2.6
220,27,2.7
221,27,2.7
222,62,6.2
223,29,2.9
224,32,3.2
225,21,2.1
226,26,2.6
227,18,1.8
228,30,3.0
229,25,2.5
230,13,1.3
231,27,2.7
232,31,3.1
233,21,2.1
234,17,1.7
235,18,1.8
236,24,2.4
237,30,3.0
238,21,2.1
239,24,2.4
240,19,1.9
241,18,1.8
242,22,2.2
243,14,1.4
244,18,1.8
245,22,2.2
246,15,1.5
247,14,1.4
