bin_10s,spike_count,firing_rate_hz
0,7,0.7
1,8,0.8
2,5,0.5
3,7,0.7
4,6,0.6
5,9,0.9
6,9,0.9
7,7,0.7
8,5,0.5
9,10,1.0
10,10,1.0
11,2,0.2
12,7,0.7
13,6,0.6
14,8,0.8
15,13,1.3
16,3,0.3
17,7,0.7
18,3,0.3
19,9,0.9
20,9,0.9
21,13,1.3
22,13,1.3
23,19,1.9
24,20,2.0
25,12,1.2
26,8,0.8
27,15,1.5
28,12,1.2
29,9,0.9
30,20,2.0
31,8,0.8
32,12,1.2
33,8,0.8
34,12,1.2
35,7,0.7
36,16,1.6
37,24,2.4
38,23,2.3
39,14,1.4
40,10,1.0
41,11,1.1
42,5,0.5
43,19,1.9
44,21,2.1
45,12,1.2
46,5,0.5
47,5,0.5
48,15,1.5
49,13,1.3
50,18,1.8
51,10,1.0
52,14,1.4
53,32,3.2
54,15,1.5
55,17,1.7
56,6,0.6
57,13,1.3
58,23,2.3
59,20,2.0
60,11,1.1
61,31,3.1
62,7,0.7
63,17,1.7
64,12,1.2
65,22,2.2
66,23,2.3
67,6,0.6
68,6,0.6
69,4,0.4
70,20,2.0
71,6,0.6
72,29,2.9
73,10,1.0
74,5,0.5
75,20,2.0
76,18,1.8
77,11,1.1
78,5,0.5
79,12,1.2
80,31,3.1
81,22,2.2
82,16,1.6
83,8,0.8
84,26,2.6
85,16,1.6
86,14,1.4
87,0,0.0
88,10,1.0
89,6,0.6
90,9,0.9
91,14,1.4
92,21,2.1
93,20,2.0
94,5,0.5
95,7,0.7
96,27,2.7
97,12,1.2
98,19,1.9
99,13,1.3
100,20,2.0
101,16,1.6
102,31,3.1
103,10,1.0
104,11,1.1
105,51,5.1
106,39,3.9
107,4,0.4
108,23,2.3
109,10,1.0
110,5,0.5
111,24,2.4
112,16,1.6
113,28,2.8
114,24,2.4
115,11,1.1
116,12,1.2
117,18,1.8
118,24,2.4
119,10,1.0
120,16,1.6
121,38,3.8
122,8,0.8
123,15,1.5
124,4,0.4
125,13,1.3
126,22,2.2
127,13,1.3
128,30,3.0
129,23,2.3
130,3,0.3
131,28,2.8
132,30,3.0
133,32,3.2
134,21,2.1
135,13,1.3
136,5,0.5
137,21,2.1
138,18,1.8
139,14,1.4
140,20,2.0
141,9,0.9
142,10,1.0
143,36,3.6
144,27,2.7
145,12,1.2
146,19,1.9
147,19,1.9
148,18,1.8
149,17,1.7
150,13,1.3
151,18,1.8
152,27,2.7
153,12,1.2
154,22,2.2
155,25,2.5
156,36,3.6
157,11,1.1
158,40,4.0
159,4,0.4
160,17,1.7
161,28,2.8
162,25,2.5
163,36,3.6
164,12,1.2
165,8,0.8
166,2,0.2
167,6,0.6
168,23,2.3
169,18,1.8
170,34,3.4
171,53,5.3
172,17,1.7
173,12,1.2
174,6,0.6
175,6,0.6
176,45,4.5
177,34,3.4
178,19,1.9
179,27,2.7
180,7,0.7
181,3,0.3
182,1,0.1
183,5,0.5
184,10,1.0
185,10,1.0
186,9,0.9
187,19,1.9
188,38,3.8
189,11,1.1
190,15,1.5
191,23,2.3
192,26,2.6
193,12,1.2
194,1,0.1
195,8,0.8
196,6,0.6
197,22,2.2
198,10,1.0
199,10,1.0
200,4,0.4
201,16,1.6
202,17,1.7
203,16,1.6
204,8,0.8
205,14,1.4
206,6,0.6
207,20,2.0
208,13,1.3
209,20,2.0
210,17,1.7
211,4,0.4
212,16,1.6
213,45,4.5
214,22,2.2
215,9,0.9
216,7,0.7
217,4,0.4
218,12,1.2
219,12,1.2
220,2,0.2
221,16,1.6
222,9,0.9
223,12,1.2
224,16,1.6
225,4,0.4
226,8,0.8
227,3,0.3
228,12,1.2
229,12,1.2
230,11,1.1
231,7,0.7
232,2,0.2
233,7,0.7
234,2,0.2
235,8,0.8
236,6,0.6
237,10,1.0
238,7,0.7
239,10,1.0
240,5,0.5
241,15,1.5
242,7,0.7
243,7,0.7
244,9,0.9
245,8,0.8
246,7,0.7
247,5,0.5
