bin_10s,spike_count,firing_rate_hz
0,3,0.3
1,7,0.7
2,3,0.3
3,5,0.5
4,5,0.5
5,5,0.5
6,9,0.9
7,10,1.0
8,9,0.9
9,11,1.1
10,16,1.6
11,9,0.9
12,11,1.1
13,9,0.9
14,11,1.1
15,7,0.7
16,8,0.8
17,5,0.5
18,13,1.3
19,21,2.1
20,14,1.4
21,15,1.5
22,9,0.9
23,16,1.6
24,8,0.8
25,16,1.6
26,6,0.6
27,5,0.5
28,5,0.5
29,9,0.9
30,8,0.8
31,7,0.7
32,7,0.7
33,13,1.3
34,7,0.7
35,9,0.9
36,4,0.4
37,4,0.4
38,7,0.7
39,5,0.5
40,10,1.0
41,7,0.7
42,2,0.2
43,5,0.5
44,2,0.2
45,1,0.1
46,2,0.2
47,9,0.9
48,7,0.7
49,14,1.4
50,9,0.9
51,6,0.6
52,2,0.2
53,5,0.5
54,4,0.4
55,2,0.2
56,7,0.7
57,13,1.3
58,7,0.7
59,6,0.6
60,3,0.3
61,5,0.5
62,7,0.7
63,10,1.0
64,3,0.3
65,6,0.6
66,8,0.8
67,10,1.0
68,20,2.0
69,24,2.4
70,20,2.0
71,16,1.6
72,24,2.4
73,15,1.5
74,36,3.6
75,26,2.6
76,9,0.9
77,7,0.7
78,11,1.1
79,12,1.2
80,1,0.1
81,9,0.9
82,21,2.1
83,21,2.1
84,9,0.9
85,16,1.6
86,18,1.8
87,29,2.9
88,24,2.4
89,11,1.1
90,25,2.5
91,13,1.3
92,4,0.4
93,7,0.7
94,12,1.2
95,7,0.7
96,10,1.0
97,9,0.9
98,5,0.5
99,4,0.4
100,7,0.7
101,9,0.9
102,15,1.5
103,10,1.0
104,9,0.9
105,6,0.6
106,2,0.2
107,9,0.9
108,6,0.6
109,3,0.3
110,9,0.9
111,6,0.6
112,4,0.4
113,8,0.8
114,19,1.9
115,13,1.3
116,17,1.7
117,12,1.2
118,6,0.6
119,9,0.9
120,1,0.1
121,2,0.2
122,6,0.6
123,2,0.2
124,17,1.7
125,10,1.0
126,13,1.3
127,27,2.7
128,17,1.7
129,8,0.8
130,12,1.2
131,13,1.3
132,5,0.5
133,6,0.6
134,7,0.7
135,6,0.6
136,19,1.9
137,7,0.7
138,3,0.3
139,14,1.4
140,5,0.5
141,7,0.7
142,10,1.0
143,11,1.1
144,4,0.4
145,21,2.1
146,10,1.0
147,11,1.1
148,18,1.8
149,20,2.0
150,11,1.1
151,9,0.9
152,5,0.5
153,6,0.6
154,10,1.0
155,5,0.5
156,8,0.8
157,19,1.9
158,14,1.4
159,16,1.6
160,25,2.5
161,18,1.8
162,4,0.4
163,9,0.9
164,13,1.3
165,7,0.7
166,8,0.8
167,14,1.4
168,8,0.8
169,11,1.1
170,4,0.4
171,2,0.2
172,8,0.8
173,2,0.2
174,6,0.6
175,3,0.3
176,8,0.8
177,14,1.4
178,8,0.8
179,11,1.1
180,21,2.1
181,22,2.2
182,10,1.0
183,6,0.6
184,12,1.2
185,14,1.4
186,21,2.1
187,6,0.6
188,7,0.7
189,10,1.0
190,22,2.2
191,9,0.9
192,8,0.8
193,13,1.3
194,12,1.2
195,7,0.7
196,6,0.6
197,7,0.7
198,5,0.5
199,10,1.0
200,4,0.4
201,10,1.0
202,3,0.3
203,8,0.8
204,7,0.7
205,4,0.4
206,7,0.7
207,5,0.5
208,6,0.6
209,6,0.6
210,2,0.2
211,8,0.8
212,9,0.9
213,10,1.0
214,12,1.2
215,11,1.1
216,3,0.3
217,12,1.2
218,9,0.9
219,20,2.0
220,6,0.6
221,5,0.5
222,15,1.5
223,8,0.8
224,20,2.0
225,18,1.8
226,17,1.7
227,20,2.0
228,25,2.5
229,21,2.1
230,20,2.0
231,16,1.6
232,21,2.1
233,18,1.8
234,19,1.9
235,15,1.5
236,15,1.5
237,17,1.7
238,22,2.2
239,12,1.2
240,14,1.4
241,23,2.3
242,23,2.3
243,22,2.2
244,21,2.1
245,16,1.6
246,15,1.5
247,14,1.4
