bin_10s,spike_count,firing_rate_hz
0,3,0.3
1,2,0.2
2,5,0.5
3,8,0.8
4,4,0.4
5,8,0.8
6,4,0.4
7,4,0.4
8,5,0.5
9,4,0.4
10,4,0.4
11,4,0.4
12,4,0.4
13,2,0.2
14,1,0.1
15,3,0.3
16,4,0.4
17,7,0.7
18,2,0.2
19,3,0.3
20,5,0.5
21,1,0.1
22,6,0.6
23,3,0.3
24,6,0.6
25,4,0.4
26,11,1.1
27,21,2.1
28,8,0.8
29,8,0.8
30,10,1.0
31,2,0.2
32,4,0.4
33,0,0.0
34,6,0.6
35,1,0.1
36,3,0.3
37,7,0.7
38,6,0.6
39,3,0.3
40,3,0.3
41,3,0.3
42,0,0.0
43,2,0.2
44,4,0.4
45,3,0.3
46,0,0.0
47,4,0.4
48,0,0.0
49,3,0.3
50,0,0.0
51,5,0.5
52,3,0.3
53,3,0.3
54,3,0.3
55,3,0.3
56,3,0.3
57,1,0.1
58,1,0.1
59,4,0.4
60,3,0.3
61,3,0.3
62,1,0.1
63,4,0.4
64,1,0.1
65,0,0.0
66,3,0.3
67,5,0.5
68,0,0.0
69,0,0.0
70,0,0.0
71,0,0.0
72,0,0.0
73,0,0.0
74,1,0.1
75,1,0.1
76,2,0.2
77,3,0.3
78,4,0.4
79,2,0.2
80,1,0.1
81,0,0.0
82,0,0.0
83,1,0.1
84,1,0.1
85,0,0.0
86,0,0.0
87,2,0.2
88,1,0.1
89,0,0.0
90,0,0.0
91,1,0.1
92,0,0.0
93,7,0.7
94,2,0.2
95,0,0.0
96,2,0.2
97,2,0.2
98,4,0.4
99,3,0.3
100,3,0.3
101,0,0.0
102,3,0.3
103,4,0.4
104,1,0.1
105,2,0.2
106,3,0.3
107,0,0.0
108,2,0.2
109,1,0.1
110,1,0.1
111,0,0.0
112,2,0.2
113,2,0.2
114,0,0.0
115,1,0.1
116,1,0.1
117,1,0.1
118,2,0.2
119,0,0.0
120,3,0.3
121,3,0.3
122,0,0.0
123,3,0.3
124,0,0.0
125,1,0.1
126,3,0.3
127,3,0.3
128,1,0.1
129,1,0.1
130,3,0.3
131,1,0.1
132,1,0.1
133,3,0.3
134,0,0.0
135,1,0.1
136,0,0.0
137,1,0.1
138,1,0.1
139,0,0.0
140,0,0.0
141,0,0.0
142,3,0.3
143,3,0.3
144,4,0.4
145,2,0.2
146,2,0.2
147,0,0.0
148,1,0.1
149,0,0.0
150,0,0.0
151,2,0.2
152,0,0.0
153,3,0.3
154,4,0.4
155,4,0.4
156,4,0.4
157,2,0.2
158,5,0.5
159,0,0.0
160,1,0.1
161,1,0.1
162,0,0.0
163,0,0.0
164,1,0.1
165,0,0.0
166,1,0.1
167,0,0.0
168,0,0.0
169,1,0.1
170,0,0.0
171,3,0.3
172,0,0.0
173,0,0.0
174,0,0.0
175,0,0.0
176,12,1.2
177,1,0.1
178,4,0.4
179,5,0.5
180,2,0.2
181,1,0.1
182,2,0.2
183,2,0.2
184,3,0.3
185,0,0.0
186,0,0.0
187,1,0.1
188,0,0.0
189,0,0.0
190,4,0.4
191,0,0.0
192,1,0.1
193,1,0.1
194,2,0.2
195,0,0.0
196,1,0.1
197,1,0.1
198,1,0.1
199,2,0.2
200,0,0.0
201,2,0.2
202,0,0.0
203,0,0.0
204,0,0.0
205,0,0.0
206,1,0.1
207,0,0.0
208,0,0.0
209,1,0.1
210,2,0.2
211,0,0.0
212,0,0.0
213,1,0.1
214,2,0.2
215,5,0.5
216,2,0.2
217,1,0.1
218,2,0.2
219,4,0.4
220,2,0.2
221,2,0.2
222,4,0.4
223,1,0.1
224,5,0.5
225,6,0.6
226,4,0.4
227,2,0.2
228,1,0.1
229,6,0.6
230,5,0.5
231,7,0.7
232,4,0.4
233,0,0.0
234,3,0.3
235,2,0.2
236,1,0.1
237,0,0.0
238,2,0.2
239,4,0.4
240,4,0.4
241,5,0.5
242,9,0.9
243,3,0.3
244,5,0.5
245,4,0.4
246,2,0.2
247,8,0.8
