units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,30.1296,0.4856,485.5999
2,30.1822,0.5382,538.1999
2,30.2981,0.6541,654.0999
2,30.3757,0.7317,731.6999
2,30.5719,0.9279,927.8999
2,30.8466,1.2026,1202.5999
2,30.8851,1.2411,1241.0999
2,30.9051,1.2611,1261.0999
2,31.0474,1.4034,1403.3999
2,31.0927,1.4487,1448.6999
2,31.1065,1.4625,1462.4999
2,31.3869,1.7429,1742.8999
2,31.5025,1.8585,1858.4999
2,31.5266,1.8826,1882.5999
2,31.6444,2.0004,2000.3999
2,31.7192,2.0752,2075.1999
2,31.7447,2.1007,2100.6999
2,31.9347,2.2907,2290.6999
2,33.2322,3.5882,3588.1999
2,34.0178,4.3738,4373.7999
2,35.0824,5.4384,5438.3999
2,35.2107,5.5667,5566.6999
2,35.7415,6.0975,6097.4999
2,38.7327,9.0887,9088.6999
2,39.2851,9.6411,9641.0999
2,39.5013,9.8573,9857.2999
2,40.0990,10.4550,10454.9999
2,41.0976,11.4536,11453.5999
2,41.6044,11.9604,11960.3999
2,42.4853,12.8413,12841.2999
2,42.5710,12.9270,12926.9999
2,42.6005,12.9565,12956.4999
2,42.9134,13.2694,13269.3999
2,43.1706,13.5266,13526.5999
2,43.5014,13.8574,13857.3999
2,43.5361,13.8921,13892.0999
2,43.5668,13.9228,13922.7999
2,53.3174,23.6734,23673.3999
2,53.3485,23.7045,23704.4999
2,53.5789,23.9349,23934.8999
2,53.6289,23.9849,23984.8999
2,54.5673,24.9233,24923.2999
2,56.1396,26.4956,26495.5999
2,56.3669,26.7229,26722.8999
2,57.3078,27.6638,27663.7999
2,57.3388,27.6948,27694.7999
2,57.3981,27.7541,27754.0999
2,58.5954,28.9514,28951.3999
2,60.8005,31.1565,31156.4999
2,60.8678,31.2238,31223.7999
2,60.8861,31.2421,31242.0999
2,60.9152,31.2712,31271.1999
2,61.4169,31.7729,31772.8999
2,61.4343,31.7903,31790.2999
2,61.8008,32.1568,32156.7999
2,61.8288,32.1848,32184.7999
2,66.0702,36.4262,36426.1999
2,66.6073,36.9633,36963.2999
2,66.9231,37.2791,37279.0999
2,67.2488,37.6048,37604.7999
2,68.6900,39.0460,39045.9999
2,80.2102,50.5662,50566.1999
2,81.1643,51.5203,51520.2999
2,86.6553,57.0113,57011.2999
2,86.7656,57.1216,57121.5999
2,96.3580,66.7140,66713.9999
2,100.5189,70.8749,70874.8999
2,102.6526,73.0086,73008.5999
2,102.6600,73.0160,73015.9999
2,102.6750,73.0310,73030.9999
2,107.6943,78.0503,78050.2999
2,107.9755,78.3315,78331.4999
2,108.7989,79.1549,79154.8999
2,108.8220,79.1780,79177.9999
2,109.4074,79.7634,79763.3999
2,109.7323,80.0883,80088.2999
2,109.7724,80.1284,80128.3999
2,110.8227,81.1787,81178.6999
2,112.4343,82.7903,82790.2999
2,113.9056,84.2616,84261.5999
2,114.2918,84.6478,84647.7999
2,114.3242,84.6802,84680.1999
2,115.3856,85.7416,85741.5999
2,115.4009,85.7569,85756.8999
2,117.6061,87.9621,87962.0999
2,120.0941,90.4501,90450.0999
2,121.5591,91.9151,91915.0999
2,122.0470,92.4030,92402.9999
2,122.0912,92.4472,92447.1999
2,122.1113,92.4673,92467.2999
2,125.0133,95.3693,95369.2999
2,125.7677,96.1237,96123.6999
2,125.7969,96.1529,96152.8999
2,126.5228,96.8788,96878.7999
2,126.6915,97.0475,97047.4999
2,127.1307,97.4867,97486.6999
2,127.1479,97.5039,97503.8999
2,130.7796,101.1356,101135.5999
2,130.8322,101.1882,101188.1999
2,130.8951,101.2511,101251.0999
2,133.7539,104.1099,104109.8999
2,134.7251,105.0811,105081.0999
2,137.5503,107.9063,107906.2999
2,137.7926,108.1486,108148.5999
2,137.8370,108.1930,108192.9999
2,138.0815,108.4375,108437.4999
2,140.3863,110.7423,110742.2999
2,140.5156,110.8716,110871.5999
2,140.6688,111.0248,111024.7999
2,141.6770,112.0330,112032.9999
2,141.7953,112.1513,112151.2999
2,143.1605,113.5165,113516.4999
2,143.3799,113.7359,113735.8999
2,144.8559,115.2119,115211.8999
2,151.2667,121.6227,121622.6999
2,151.3218,121.6778,121677.7999
2,151.5986,121.9546,121954.5999
2,151.6133,121.9693,121969.2999
2,158.7907,129.1467,129146.6999
2,159.2967,129.6527,129652.6999
2,159.5631,129.9191,129919.0999
2,159.5727,129.9287,129928.6999
2,163.7214,134.0774,134077.3999
2,166.8931,137.2491,137249.0999
2,167.1814,137.5374,137537.3999
2,167.2043,137.5603,137560.2999
2,167.8447,138.2007,138200.6999
2,167.9370,138.2930,138292.9999
2,168.0927,138.4487,138448.6999
2,170.0621,140.4181,140418.0999
2,170.0831,140.4391,140439.0999
2,172.1121,142.4681,142468.0999
2,172.6174,142.9734,142973.3999
2,172.8551,143.2111,143211.0999
2,172.9819,143.3379,143337.8999
2,173.1962,143.5522,143552.1999
2,173.2196,143.5756,143575.5999
2,183.6353,153.9913,153991.2999
2,184.5010,154.8570,154856.9999
2,185.2939,155.6499,155649.8999
2,190.7253,161.0813,161081.2999
2,195.0916,165.4476,165447.5999
2,197.0816,167.4376,167437.5999
2,199.8541,170.2101,170210.0999
2,200.4117,170.7677,170767.6999
2,200.8714,171.2274,171227.3999
2,200.8985,171.2545,171254.4999
2,200.9157,171.2717,171271.6999
2,200.9645,171.3205,171320.4999
2,206.3374,176.6934,176693.3999
2,208.3246,178.6806,178680.5999
2,208.3271,178.6831,178683.0999
2,209.8752,180.2312,180231.1999
2,212.0807,182.4367,182436.6999
2,214.4238,184.7798,184779.7999
2,221.4278,191.7838,191783.7999
2,225.7380,196.0940,196093.9999
2,228.0748,198.4308,198430.7999
2,229.9928,200.3488,200348.7999
2,230.3758,200.7318,200731.7999
2,231.7848,202.1408,202140.7999
2,234.2931,204.6491,204649.0999
2,234.3421,204.6981,204698.0999
2,234.7010,205.0570,205056.9999
2,234.8887,205.2447,205244.6999
2,235.2021,205.5581,205558.0999
2,235.8531,206.2091,206209.0999
2,239.5304,209.8864,209886.3999
2,241.5529,211.9089,211908.8999
2,242.3008,212.6568,212656.7999
2,242.5053,212.8613,212861.2999
2,243.5210,213.8770,213876.9999
2,244.0089,214.3649,214364.8999
2,251.6613,222.0173,222017.2999
2,251.8487,222.2047,222204.6999
2,257.5096,227.8656,227865.5999
2,261.0357,231.3917,231391.6999
2,261.3511,231.7071,231707.0999
2,261.5188,231.8748,231874.7999
2,262.0098,232.3658,232365.7999
2,262.9584,233.3144,233314.3999
2,263.0896,233.4456,233445.5999
2,264.1020,234.4580,234457.9999
2,264.1159,234.4719,234471.8999
2,264.1713,234.5273,234527.2999
2,264.7921,235.1481,235148.0999
2,265.7986,236.1546,236154.5999
2,268.7109,239.0669,239066.8999
2,269.8422,240.1982,240198.1999
2,269.8680,240.2240,240223.9999
2,272.6161,242.9721,242972.0999
2,272.8330,243.1890,243188.9999
2,272.9276,243.2836,243283.5999
2,273.0631,243.4191,243419.0999
2,273.2800,243.6360,243635.9999
2,274.8511,245.2071,245207.0999
2,275.0310,245.3870,245386.9999
2,275.3041,245.6601,245660.0999
2,275.3756,245.7316,245731.5999
2,275.5872,245.9432,245943.1999
2,277.7330,248.0890,248088.9999
2,278.7706,249.1266,249126.5999
2,278.8723,249.2283,249228.2999
2,279.0720,249.4280,249427.9999
2,280.3281,250.6841,250684.0999
2,281.6526,252.0086,252008.5999
2,284.9069,255.2629,255262.8999
2,284.9860,255.3420,255341.9999
2,285.0382,255.3942,255394.1999
2,285.2596,255.6156,255615.5999
2,285.5814,255.9374,255937.3999
2,286.1689,256.5249,256524.8999
2,287.1622,257.5182,257518.1999
2,287.2271,257.5831,257583.0999
2,287.7888,258.1448,258144.7999
2,287.8916,258.2476,258247.5999
2,288.0278,258.3838,258383.7999
2,290.4073,260.7633,260763.2999
2,291.9148,262.2708,262270.7999
2,292.5129,262.8689,262868.8999
2,295.7186,266.0746,266074.5999
2,295.8288,266.1848,266184.7999
2,296.1479,266.5039,266503.8999
2,296.2478,266.6038,266603.7999
2,296.4305,266.7865,266786.4999
2,296.5756,266.9316,266931.5999
2,296.7062,267.0622,267062.1999
2,296.8129,267.1689,267168.8999
2,297.4759,267.8319,267831.8999
2,297.5153,267.8713,267871.2999
2,297.5934,267.9494,267949.3999
2,297.7168,268.0728,268072.7999
2,297.9142,268.2702,268270.1999
2,297.9630,268.3190,268318.9999
2,298.0261,268.3821,268382.0999
2,298.0311,268.3871,268387.0999
2,298.1856,268.5416,268541.5999
2,298.3992,268.7552,268755.1999
2,298.4279,268.7839,268783.8999
2,298.4774,268.8334,268833.3999
2,298.5251,268.8811,268881.0999
2,298.6015,268.9575,268957.4999
2,298.6519,269.0079,269007.8999
2,298.7646,269.1206,269120.5999
2,298.8134,269.1694,269169.3999
2,298.9913,269.3473,269347.2999
2,299.0378,269.3938,269393.7999
2,300.7044,271.0604,271060.3999
2,301.0676,271.4236,271423.5999
2,301.1331,271.4891,271489.0999
2,301.6617,272.0177,272017.6999
2,301.6833,272.0393,272039.2999
2,304.9594,275.3154,275315.3999
2,305.1680,275.5240,275523.9999
2,307.0985,277.4545,277454.4999
2,310.7905,281.1465,281146.4999
2,311.0907,281.4467,281446.6999
2,319.5406,289.8966,289896.5999
2,319.6617,290.0177,290017.6999
2,319.6952,290.0512,290051.1999
2,320.4884,290.8444,290844.3999
2,320.7886,291.1446,291144.5999
2,321.4101,291.7661,291766.0999
2,321.4904,291.8464,291846.3999
2,325.1465,295.5025,295502.4999
2,327.0498,297.4058,297405.7999
2,330.2363,300.5923,300592.2999
2,331.1257,301.4817,301481.6999
2,331.1769,301.5329,301532.8999
2,332.9546,303.3106,303310.5999
2,334.7663,305.1223,305122.2999
2,334.8814,305.2374,305237.3999
2,334.9951,305.3511,305351.0999
2,335.2166,305.5726,305572.5999
2,335.3675,305.7235,305723.4999
2,335.6751,306.0311,306031.0999
2,336.4722,306.8282,306828.1999
2,336.6793,307.0353,307035.2999
2,336.8733,307.2293,307229.2999
2,336.8944,307.2504,307250.3999
2,337.6985,308.0545,308054.4999
2,338.3842,308.7402,308740.1999
2,338.4167,308.7727,308772.6999
2,338.7360,309.0920,309091.9999
2,338.9394,309.2954,309295.3999
2,339.1248,309.4808,309480.7999
2,339.1865,309.5425,309542.4999
2,339.5429,309.8989,309898.8999
2,340.0712,310.4272,310427.1999
2,340.8261,311.1821,311182.0999
2,342.0747,312.4307,312430.6999
2,342.8338,313.1898,313189.7999
2,346.4311,316.7871,316787.0999
2,349.3018,319.6578,319657.7999
2,349.4320,319.7880,319787.9999
2,349.5689,319.9249,319924.8999
2,350.5707,320.9267,320926.6999
2,351.8082,322.1642,322164.1999
2,353.1306,323.4866,323486.5999
2,353.2941,323.6501,323650.0999
2,353.5704,323.9264,323926.3999
2,354.4807,324.8367,324836.6999
2,354.5389,324.8949,324894.8999
2,355.7425,326.0985,326098.4999
2,355.8299,326.1859,326185.8999
2,356.1482,326.5042,326504.1999
2,358.3345,328.6905,328690.4999
2,358.3784,328.7344,328734.3999
2,358.4132,328.7692,328769.1999
2,360.0017,330.3577,330357.6999
2,360.2816,330.6376,330637.5999
2,360.3669,330.7229,330722.8999
2,360.5463,330.9023,330902.2999
2,360.6699,331.0259,331025.8999
2,360.7291,331.0851,331085.0999
2,360.7387,331.0947,331094.6999
2,361.2718,331.6278,331627.7999
2,362.0150,332.3710,332370.9999
2,362.1490,332.5050,332504.9999
2,362.3339,332.6899,332689.8999
2,362.3554,332.7114,332711.3999
2,363.4215,333.7775,333777.4999
2,363.4594,333.8154,333815.3999
2,363.5629,333.9189,333918.8999
2,364.4739,334.8299,334829.8999
2,368.1038,338.4598,338459.7999
2,368.3870,338.7430,338742.9999
2,370.0693,340.4253,340425.2999
2,371.3763,341.7323,341732.2999
2,371.4728,341.8288,341828.7999
2,371.5069,341.8629,341862.8999
2,373.1873,343.5433,343543.2999
2,378.7147,349.0707,349070.6999
2,385.7737,356.1297,356129.6999
2,388.4303,358.7863,358786.2999
2,388.8886,359.2446,359244.5999
2,388.9164,359.2724,359272.3999
2,389.6227,359.9787,359978.6999
2,390.0958,360.4518,360451.7999
2,395.5347,365.8907,365890.6999
2,397.9833,368.3393,368339.2999
2,398.1997,368.5557,368555.6999
2,399.1803,369.5363,369536.2999
2,401.1079,371.4639,371463.8999
2,401.6474,372.0034,372003.3999
2,401.6933,372.0493,372049.2999
2,401.8410,372.1970,372196.9999
2,402.0499,372.4059,372405.8999
2,402.1973,372.5533,372553.2999
2,403.1070,373.4630,373462.9999
2,404.8382,375.1942,375194.1999
2,405.1485,375.5045,375504.4999
2,405.2000,375.5560,375555.9999
2,405.2165,375.5725,375572.4999
2,405.2314,375.5874,375587.3999
2,406.5135,376.8695,376869.4999
