units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
3,32.0135,2.3695,2369.4999
3,33.1176,3.4736,3473.5999
3,33.8549,4.2109,4210.8999
3,34.5097,4.8657,4865.6999
3,37.3319,7.6879,7687.8999
3,37.7506,8.1066,8106.5999
3,40.5219,10.8779,10877.8999
3,43.6960,14.0520,14051.9999
3,43.7242,14.0802,14080.1999
3,43.7549,14.1109,14110.8999
3,49.1369,19.4929,19492.8999
3,49.5627,19.9187,19918.6999
3,51.6904,22.0464,22046.3999
3,51.9500,22.3060,22305.9999
3,53.7974,24.1534,24153.3999
3,58.8822,29.2382,29238.1999
3,58.8903,29.2463,29246.2999
3,66.5453,36.9013,36901.2999
3,71.1841,41.5401,41540.0999
3,72.7394,43.0954,43095.3999
3,74.0334,44.3894,44389.3999
3,76.7822,47.1382,47138.1999
3,77.7036,48.0596,48059.5999
3,78.2145,48.5705,48570.4999
3,78.2392,48.5952,48595.1999
3,78.2669,48.6229,48622.8999
3,78.2749,48.6309,48630.8999
3,78.2875,48.6435,48643.4999
3,78.7277,49.0837,49083.6999
3,78.7422,49.0982,49098.1999
3,78.7864,49.1424,49142.3999
3,78.8927,49.2487,49248.6999
3,78.9459,49.3019,49301.8999
3,78.9594,49.3154,49315.3999
3,79.1021,49.4581,49458.0999
3,79.1287,49.4847,49484.6999
3,79.1544,49.5104,49510.3999
3,79.2467,49.6027,49602.6999
3,79.3119,49.6679,49667.8999
3,79.3406,49.6966,49696.5999
3,79.3988,49.7548,49754.7999
3,80.3572,50.7132,50713.1999
3,80.4947,50.8507,50850.6999
3,80.5017,50.8577,50857.6999
3,80.5681,50.9241,50924.0999
3,84.1328,54.4888,54488.7999
3,84.3420,54.6980,54697.9999
3,86.1883,56.5443,56544.2999
3,86.6052,56.9612,56961.1999
3,87.8261,58.1821,58182.0999
3,88.2727,58.6287,58628.6999
3,88.6673,59.0233,59023.2999
3,90.3232,60.6792,60679.1999
3,90.4242,60.7802,60780.1999
3,90.5194,60.8754,60875.3999
3,90.6728,61.0288,61028.7999
3,90.7018,61.0578,61057.7999
3,90.7137,61.0697,61069.6999
3,90.7702,61.1262,61126.1999
3,90.7759,61.1319,61131.8999
3,90.9757,61.3317,61331.6999
3,91.0498,61.4058,61405.7999
3,91.6142,61.9702,61970.1999
3,92.6380,62.9940,62993.9999
3,95.8881,66.2441,66244.0999
3,99.3517,69.7077,69707.6999
3,99.4921,69.8481,69848.0999
3,104.3109,74.6669,74666.8999
3,104.3161,74.6721,74672.0999
3,105.5257,75.8817,75881.6999
3,105.6511,76.0071,76007.0999
3,105.7465,76.1025,76102.4999
3,106.3655,76.7215,76721.4999
3,106.9421,77.2981,77298.0999
3,107.0213,77.3773,77377.2999
3,107.1604,77.5164,77516.3999
3,107.2302,77.5862,77586.1999
3,107.2926,77.6486,77648.5999
3,107.3955,77.7515,77751.4999
3,107.4393,77.7953,77795.2999
3,107.4554,77.8114,77811.3999
3,107.4850,77.8410,77840.9999
3,107.5217,77.8777,77877.6999
3,107.5518,77.9078,77907.7999
3,107.5761,77.9321,77932.0999
3,121.5891,91.9451,91945.0999
3,124.6792,95.0352,95035.1999
3,125.0322,95.3882,95388.1999
3,127.2075,97.5635,97563.4999
3,128.7338,99.0898,99089.7999
3,128.8630,99.2190,99218.9999
3,129.5615,99.9175,99917.4999
3,129.6024,99.9584,99958.3999
3,129.6409,99.9969,99996.8999
3,130.7434,101.0994,101099.3999
3,134.1520,104.5080,104507.9999
3,136.1604,106.5164,106516.3999
3,136.5565,106.9125,106912.4999
3,140.4886,110.8446,110844.5999
3,141.0996,111.4556,111455.5999
3,141.7182,112.0742,112074.1999
3,142.3746,112.7306,112730.5999
3,143.0757,113.4317,113431.6999
3,143.1328,113.4888,113488.7999
3,143.2084,113.5644,113564.3999
3,143.3599,113.7159,113715.8999
3,143.5222,113.8782,113878.1999
3,143.5930,113.9490,113948.9999
3,143.6818,114.0378,114037.7999
3,144.1798,114.5358,114535.7999
3,159.1863,129.5423,129542.2999
3,159.4577,129.8137,129813.6999
3,160.0047,130.3607,130360.6999
3,160.3206,130.6766,130676.5999
3,163.5880,133.9440,133943.9999
3,163.9758,134.3318,134331.7999
3,164.5550,134.9110,134910.9999
3,164.5988,134.9548,134954.7999
3,165.0642,135.4202,135420.1999
3,168.5937,138.9497,138949.6999
3,170.7831,141.1391,141139.0999
3,173.0295,143.3855,143385.4999
3,173.5560,143.9120,143911.9999
3,176.9487,147.3047,147304.6999
3,177.1846,147.5406,147540.5999
3,178.4442,148.8002,148800.1999
3,178.4573,148.8133,148813.2999
3,178.4657,148.8217,148821.6999
3,180.5395,150.8955,150895.4999
3,181.6290,151.9850,151984.9999
3,181.6478,152.0038,152003.7999
3,181.8644,152.2204,152220.3999
3,182.0275,152.3835,152383.4999
3,184.5489,154.9049,154904.8999
3,189.1217,159.4777,159477.6999
3,190.4130,160.7690,160768.9999
3,192.7729,163.1289,163128.8999
3,194.7914,165.1474,165147.3999
3,194.9556,165.3116,165311.5999
3,198.6569,169.0129,169012.8999
3,201.9935,172.3495,172349.4999
3,203.6801,174.0361,174036.0999
3,207.5782,177.9342,177934.1999
3,209.0534,179.4094,179409.3999
3,209.3621,179.7181,179718.0999
3,209.4028,179.7588,179758.7999
3,209.5289,179.8849,179884.8999
3,209.6101,179.9661,179966.0999
3,209.7100,180.0660,180065.9999
3,212.7970,183.1530,183152.9999
3,213.2940,183.6500,183649.9999
3,214.9311,185.2871,185287.0999
3,215.7495,186.1055,186105.4999
3,218.5019,188.8579,188857.8999
3,218.7474,189.1034,189103.3999
3,218.7770,189.1330,189132.9999
3,218.8286,189.1846,189184.5999
3,220.0054,190.3614,190361.3999
3,220.9776,191.3336,191333.5999
3,222.4846,192.8406,192840.5999
3,223.2419,193.5979,193597.8999
3,224.6608,195.0168,195016.7999
3,225.1683,195.5243,195524.2999
3,225.7930,196.1490,196148.9999
3,234.6049,204.9609,204960.8999
3,239.4910,209.8470,209846.9999
3,244.8271,215.1831,215183.0999
3,246.7393,217.0953,217095.2999
3,250.7907,221.1467,221146.6999
3,253.2494,223.6054,223605.3999
3,254.2896,224.6456,224645.5999
3,254.3441,224.7001,224700.0999
3,254.7341,225.0901,225090.0999
3,254.7873,225.1433,225143.2999
3,258.5071,228.8631,228863.0999
3,258.5350,228.8910,228890.9999
3,258.5703,228.9263,228926.2999
3,260.8067,231.1627,231162.6999
3,261.3567,231.7127,231712.6999
3,262.2918,232.6478,232647.7999
3,262.3336,232.6896,232689.5999
3,262.3426,232.6986,232698.5999
3,262.4191,232.7751,232775.0999
3,263.1623,233.5183,233518.2999
3,265.5675,235.9235,235923.4999
3,267.3397,237.6957,237695.6999
3,267.4645,237.8205,237820.4999
3,267.7004,238.0564,238056.3999
3,268.2924,238.6484,238648.3999
3,268.8276,239.1836,239183.5999
3,268.8911,239.2471,239247.0999
3,269.1428,239.4988,239498.7999
3,269.4400,239.7960,239795.9999
3,269.5641,239.9201,239920.0999
3,269.8554,240.2114,240211.3999
3,269.8765,240.2325,240232.4999
3,270.2461,240.6021,240602.0999
3,270.2924,240.6484,240648.3999
3,270.4320,240.7880,240787.9999
3,271.0324,241.3884,241388.3999
3,271.5130,241.8690,241868.9999
3,272.4116,242.7676,242767.5999
3,272.7918,243.1478,243147.7999
3,273.5817,243.9377,243937.6999
3,274.1532,244.5092,244509.1999
3,274.8858,245.2418,245241.7999
3,275.0089,245.3649,245364.8999
3,276.1909,246.5469,246546.8999
3,276.4346,246.7906,246790.5999
3,277.8338,248.1898,248189.7999
3,278.0529,248.4089,248408.8999
3,278.2672,248.6232,248623.1999
3,279.7705,250.1265,250126.4999
3,279.9463,250.3023,250302.2999
3,280.3195,250.6755,250675.4999
3,281.7614,252.1174,252117.3999
3,282.1379,252.4939,252493.8999
3,283.5225,253.8785,253878.4999
3,283.5460,253.9020,253901.9999
3,283.5771,253.9331,253933.0999
3,283.7872,254.1432,254143.1999
3,286.4134,256.7694,256769.3999
3,290.3169,260.6729,260672.8999
3,290.8041,261.1601,261160.0999
3,292.5664,262.9224,262922.3999
3,293.0522,263.4082,263408.1999
3,295.8896,266.2456,266245.5999
3,296.1924,266.5484,266548.3999
3,298.6324,268.9884,268988.3999
3,299.0866,269.4426,269442.5999
3,303.5883,273.9443,273944.2999
3,306.2313,276.5873,276587.2999
3,310.8999,281.2559,281255.8999
3,313.5602,283.9162,283916.1999
