units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,30.5672,0.9232,923.1999
1,36.1332,6.4892,6489.1999
1,62.5869,32.9429,32942.8999
1,75.1793,45.5353,45535.2999
1,78.2818,48.6378,48637.7999
1,80.9200,51.2760,51275.9999
1,81.8149,52.1709,52170.8999
1,85.5823,55.9383,55938.2999
1,90.1182,60.4742,60474.1999
1,90.8587,61.2147,61214.6999
1,91.8801,62.2361,62236.0999
1,104.3039,74.6599,74659.8999
1,118.4984,88.8544,88854.3999
1,125.4485,95.8045,95804.4999
1,138.4773,108.8333,108833.2999
1,168.5928,138.9488,138948.7999
1,175.3695,145.7255,145725.4999
1,175.9235,146.2795,146279.4999
1,178.6500,149.0060,149005.9999
1,178.8168,149.1728,149172.7999
1,204.7527,175.1087,175108.6999
1,232.1172,202.4732,202473.1999
1,240.1466,210.5026,210502.5999
1,253.2740,223.6300,223629.9999
1,276.5788,246.9348,246934.7999
1,338.4161,308.7721,308772.0999
1,341.6774,312.0334,312033.3999
1,346.0296,316.3856,316385.5999
1,346.0482,316.4042,316404.1999
1,351.0865,321.4425,321442.4999
1,352.7595,323.1155,323115.4999
1,390.4869,360.8429,360842.8999
1,428.3073,398.6633,398663.2999
1,442.9288,413.2848,413284.7999
1,445.7600,416.1160,416115.9999
1,449.2098,419.5658,419565.7999
1,453.0356,423.3916,423391.5999
1,462.3130,432.6690,432668.9999
1,474.8945,445.2505,445250.4999
1,488.0871,458.4431,458443.0999
1,493.6339,463.9899,463989.8999
1,584.7912,555.1472,555147.1999
1,644.8241,615.1801,615180.0999
1,663.3272,633.6832,633683.1999
1,677.9369,648.2929,648292.8999
1,681.6584,652.0144,652014.3999
1,682.5508,652.9068,652906.7999
1,683.0845,653.4405,653440.4999
1,683.1337,653.4897,653489.6999
1,694.7778,665.1338,665133.7999
1,698.6099,668.9659,668965.8999
1,700.0478,670.4038,670403.7999
1,702.1449,672.5009,672500.8999
1,713.2913,683.6473,683647.2999
1,713.4653,683.8213,683821.2999
1,720.2415,690.5975,690597.4999
1,721.1475,691.5035,691503.4999
1,723.1438,693.4998,693499.7999
1,724.5057,694.8617,694861.6999
1,742.4142,712.7702,712770.1999
1,750.2399,720.5959,720595.8999
1,754.4096,724.7656,724765.5999
1,755.5185,725.8745,725874.4999
1,779.7747,750.1307,750130.6999
1,785.4608,755.8168,755816.7999
1,794.7936,765.1496,765149.5999
1,798.4219,768.7779,768777.8999
1,807.6197,777.9757,777975.6999
1,810.1455,780.5015,780501.4999
1,846.7918,817.1478,817147.7999
1,850.1433,820.4993,820499.2999
1,851.2101,821.5661,821566.0999
1,860.1546,830.5106,830510.5999
1,860.1587,830.5147,830514.6999
1,865.9981,836.3541,836354.0999
1,867.2790,837.6350,837634.9999
1,869.1993,839.5553,839555.2999
1,873.6140,843.9700,843969.9999
1,876.6335,846.9895,846989.4999
1,880.5681,850.9241,850924.0999
1,880.7952,851.1512,851151.1999
1,906.1449,876.5009,876500.8999
1,935.5354,905.8914,905891.3999
1,935.5415,905.8975,905897.4999
1,945.4297,915.7857,915785.6999
1,958.0073,928.3633,928363.2999
1,958.8621,929.2181,929218.0999
1,962.7673,933.1233,933123.2999
1,980.8969,951.2529,951252.8999
1,1000.7690,971.1250,971124.9999
1,1003.6646,974.0206,974020.5999
1,1007.9537,978.3097,978309.6999
1,1008.2940,978.6500,978649.9999
1,1020.5689,990.9249,990924.8999
1,1031.1207,1001.4767,1001476.6999
1,1031.2140,1001.5700,1001569.9999
1,1031.3222,1001.6782,1001678.1999
1,1035.8083,1006.1643,1006164.2999
1,1041.0880,1011.4440,1011443.9999
1,1064.3754,1034.7314,1034731.3999
1,1072.0324,1042.3884,1042388.3999
1,1079.0892,1049.4452,1049445.1999
1,1090.0430,1060.3990,1060398.9999
1,1100.3904,1070.7464,1070746.3999
1,1117.7139,1088.0699,1088069.8999
1,1118.1337,1088.4897,1088489.6999
1,1122.9930,1093.3490,1093348.9999
1,1129.5392,1099.8952,1099895.1999
1,1139.1384,1109.4944,1109494.3999
1,1148.8200,1119.1760,1119175.9999
1,1152.5709,1122.9269,1122926.8999
1,1159.0134,1129.3694,1129369.3999
1,1159.4473,1129.8033,1129803.2999
1,1170.5892,1140.9452,1140945.1999
1,1175.3976,1145.7536,1145753.5999
1,1190.6319,1160.9879,1160987.8999
1,1202.4690,1172.8250,1172824.9999
1,1233.3849,1203.7409,1203740.8999
1,1240.3147,1210.6707,1210670.6999
1,1276.1601,1246.5161,1246516.0999
1,1305.4326,1275.7886,1275788.5999
1,1306.1589,1276.5149,1276514.8999
1,1309.1578,1279.5138,1279513.7999
1,1309.3516,1279.7076,1279707.5999
1,1310.4995,1280.8555,1280855.4999
1,1333.5897,1303.9457,1303945.6999
1,1354.0169,1324.3729,1324372.8999
1,1367.2608,1337.6168,1337616.7999
1,1379.6239,1349.9799,1349979.8999
1,1381.7684,1352.1244,1352124.3999
1,1386.0111,1356.3671,1356367.0999
1,1388.3458,1358.7018,1358701.7999
1,1397.6022,1367.9582,1367958.1999
1,1411.9457,1382.3017,1382301.6999
1,1421.6283,1391.9843,1391984.2999
1,1425.8601,1396.2161,1396216.0999
1,1425.8626,1396.2186,1396218.5999
1,1426.7310,1397.0870,1397086.9999
1,1449.4120,1419.7680,1419767.9999
1,1482.0416,1452.3976,1452397.5999
1,1493.5232,1463.8792,1463879.1999
1,1505.8355,1476.1915,1476191.4999
1,1534.1017,1504.4577,1504457.6999
1,1538.7272,1509.0832,1509083.1999
1,1543.4683,1513.8243,1513824.2999
1,1545.8553,1516.2113,1516211.2999
1,1556.5817,1526.9377,1526937.6999
1,1572.3235,1542.6795,1542679.4999
1,1578.1561,1548.5121,1548512.0999
1,1578.7240,1549.0800,1549079.9999
