units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
4,29.6691,0.0251,25.0999
4,29.6721,0.0281,28.0999
4,29.6756,0.0316,31.5999
4,29.7355,0.0915,91.4999
4,29.7645,0.1205,120.4999
4,29.8458,0.2018,201.7999
4,30.4439,0.7999,799.8999
4,31.0443,1.4003,1400.2999
4,31.2457,1.6017,1601.6999
4,31.8389,2.1949,2194.8999
4,32.7083,3.0643,3064.2999
4,32.7660,3.1220,3121.9999
4,34.4779,4.8339,4833.8999
4,35.2332,5.5892,5589.1999
4,35.4167,5.7727,5772.6999
4,35.5760,5.9320,5931.9999
4,35.6687,6.0247,6024.6999
4,37.4866,7.8426,7842.5999
4,39.0224,9.3784,9378.3999
4,40.9305,11.2865,11286.4999
4,40.9396,11.2956,11295.5999
4,41.2816,11.6376,11637.5999
4,43.9283,14.2843,14284.2999
4,43.9316,14.2876,14287.5999
4,43.9356,14.2916,14291.5999
4,44.0590,14.4150,14414.9999
4,44.1181,14.4741,14474.0999
4,47.3061,17.6621,17662.0999
4,47.3401,17.6961,17696.0999
4,47.8791,18.2351,18235.0999
4,48.5034,18.8594,18859.3999
4,48.5210,18.8770,18876.9999
4,49.6081,19.9641,19964.0999
4,49.6143,19.9703,19970.2999
4,49.8816,20.2376,20237.5999
4,49.8840,20.2400,20239.9999
4,49.8898,20.2458,20245.7999
4,49.8944,20.2504,20250.3999
4,50.1817,20.5377,20537.6999
4,51.5020,21.8580,21857.9999
4,53.7150,24.0710,24070.9999
4,54.4480,24.8040,24803.9999
4,54.6715,25.0275,25027.4999
4,54.6753,25.0313,25031.2999
4,55.1104,25.4664,25466.3999
4,55.2925,25.6485,25648.4999
4,57.8125,28.1685,28168.4999
4,57.8752,28.2312,28231.1999
4,58.0698,28.4258,28425.7999
4,58.0769,28.4329,28432.8999
4,58.1363,28.4923,28492.2999
4,58.3193,28.6753,28675.2999
4,58.6315,28.9875,28987.4999
4,58.9113,29.2673,29267.2999
4,59.9692,30.3252,30325.1999
4,60.7253,31.0813,31081.2999
4,61.0423,31.3983,31398.2999
4,61.3271,31.6831,31683.0999
4,61.3297,31.6857,31685.6999
4,61.8425,32.1985,32198.4999
4,61.9905,32.3465,32346.4999
4,62.4046,32.7606,32760.5999
4,62.6038,32.9598,32959.7999
4,62.9497,33.3057,33305.6999
4,63.3857,33.7417,33741.6999
4,63.4705,33.8265,33826.4999
4,64.4389,34.7949,34794.8999
4,64.7762,35.1322,35132.1999
4,65.7471,36.1031,36103.0999
4,66.4118,36.7678,36767.7999
4,66.4428,36.7988,36798.7999
4,67.6692,38.0252,38025.1999
4,69.0262,39.3822,39382.1999
4,69.6318,39.9878,39987.7999
4,69.6348,39.9908,39990.7999
4,69.6388,39.9948,39994.7999
4,71.6449,42.0009,42000.8999
4,72.8495,43.2055,43205.4999
4,74.3196,44.6756,44675.5999
4,74.7073,45.0633,45063.2999
4,74.7110,45.0670,45066.9999
4,74.7517,45.1077,45107.6999
4,76.9425,47.2985,47298.4999
4,77.0863,47.4423,47442.2999
4,78.5451,48.9011,48901.0999
4,78.6034,48.9594,48959.3999
4,79.0480,49.4040,49403.9999
4,79.2318,49.5878,49587.7999
4,79.2713,49.6273,49627.2999
4,80.4174,50.7734,50773.3999
4,82.1374,52.4934,52493.3999
4,82.6556,53.0116,53011.5999
4,82.6586,53.0146,53014.5999
4,82.6624,53.0184,53018.3999
4,83.8450,54.2010,54200.9999
4,84.1738,54.5298,54529.7999
4,84.4544,54.8104,54810.3999
4,85.0136,55.3696,55369.5999
4,85.0234,55.3794,55379.3999
4,86.9424,57.2984,57298.3999
4,87.7336,58.0896,58089.5999
4,87.7712,58.1272,58127.1999
4,87.8205,58.1765,58176.4999
4,88.9144,59.2704,59270.3999
4,89.3058,59.6618,59661.7999
4,91.0373,61.3933,61393.2999
4,91.5609,61.9169,61916.8999
4,92.1491,62.5051,62505.0999
4,92.7141,63.0701,63070.0999
4,92.9566,63.3126,63312.5999
4,94.2690,64.6250,64624.9999
4,94.9125,65.2685,65268.4999
4,95.0262,65.3822,65382.1999
4,95.8140,66.1700,66169.9999
4,96.0512,66.4072,66407.1999
4,96.0545,66.4105,66410.4999
4,97.0391,67.3951,67395.0999
4,97.7164,68.0724,68072.3999
4,98.0704,68.4264,68426.3999
4,99.5737,69.9297,69929.6999
4,100.2759,70.6319,70631.8999
4,100.2796,70.6356,70635.5999
4,100.5789,70.9349,70934.8999
4,100.5834,70.9394,70939.3999
4,100.7423,71.0983,71098.2999
4,101.8267,72.1827,72182.6999
4,101.9313,72.2873,72287.2999
4,102.5234,72.8794,72879.3999
4,102.6946,73.0506,73050.5999
4,102.7486,73.1046,73104.5999
4,103.5375,73.8935,73893.4999
4,104.3536,74.7096,74709.5999
4,104.3716,74.7276,74727.5999
4,104.3998,74.7558,74755.7999
4,104.7449,75.1009,75100.8999
4,104.9858,75.3418,75341.7999
4,105.5478,75.9038,75903.7999
4,105.5513,75.9073,75907.2999
4,106.3073,76.6633,76663.2999
4,107.7085,78.0645,78064.4999
4,108.4604,78.8164,78816.3999
4,108.9921,79.3481,79348.0999
4,108.9957,79.3517,79351.6999
4,109.0265,79.3825,79382.4999
4,109.8544,80.2104,80210.3999
4,110.2616,80.6176,80617.5999
4,110.4942,80.8502,80850.1999
4,110.9795,81.3355,81335.4999
4,111.0308,81.3868,81386.7999
4,111.1272,81.4832,81483.1999
4,111.6482,82.0042,82004.1999
4,111.8579,82.2139,82213.8999
4,112.2556,82.6116,82611.5999
4,113.3136,83.6696,83669.5999
4,113.3429,83.6989,83698.8999
4,113.4021,83.7581,83758.0999
4,114.1050,84.4610,84460.9999
4,114.1425,84.4985,84498.4999
