units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
3,53.5545,23.9105,23910.4999
3,72.3599,42.7159,42715.8999
3,102.4665,72.8225,72822.4999
3,103.1679,73.5239,73523.8999
3,111.5187,81.8747,81874.6999
3,399.9962,370.3522,370352.1999
3,412.0549,382.4109,382410.8999
3,445.0179,415.3739,415373.8999
3,454.3480,424.7040,424703.9999
3,567.9684,538.3244,538324.3999
3,571.6785,542.0345,542034.4999
3,583.4709,553.8269,553826.8999
3,588.4213,558.7773,558777.2999
3,593.5410,563.8970,563896.9999
3,598.1379,568.4939,568493.8999
3,622.2238,592.5798,592579.7999
3,641.4214,611.7774,611777.3999
3,720.4776,690.8336,690833.5999
3,729.3650,699.7210,699720.9999
3,744.1673,714.5233,714523.2999
3,744.1692,714.5252,714525.1999
3,749.1365,719.4925,719492.4999
3,867.7038,838.0598,838059.7999
3,882.2090,852.5650,852564.9999
3,882.2973,852.6533,852653.2999
3,883.9375,854.2935,854293.4999
3,906.2785,876.6345,876634.4999
3,906.5562,876.9122,876912.1999
3,906.5640,876.9200,876919.9999
3,1306.1464,1276.5024,1276502.3999
3,1306.4723,1276.8283,1276828.2999
3,1306.4741,1276.8301,1276830.0999
3,1306.5319,1276.8879,1276887.8999
3,1306.6784,1277.0344,1277034.3999
3,1306.7172,1277.0732,1277073.1999
3,1306.8063,1277.1623,1277162.2999
3,1306.8563,1277.2123,1277212.2999
3,1307.1334,1277.4894,1277489.3999
3,1307.3719,1277.7279,1277727.8999
3,1307.5784,1277.9344,1277934.3999
3,1307.7362,1278.0922,1278092.1999
3,1307.8064,1278.1624,1278162.3999
3,1307.9026,1278.2586,1278258.5999
3,1307.9043,1278.2603,1278260.2999
3,1308.0985,1278.4545,1278454.4999
3,1308.1270,1278.4830,1278482.9999
3,1308.1503,1278.5063,1278506.2999
3,1308.2017,1278.5577,1278557.6999
3,1308.2245,1278.5805,1278580.4999
3,1308.3733,1278.7293,1278729.2999
3,1308.3793,1278.7353,1278735.2999
3,1308.9792,1279.3352,1279335.1999
3,1309.0001,1279.3561,1279356.0999
3,1309.0677,1279.4237,1279423.6999
3,1309.2052,1279.5612,1279561.1999
3,1309.6476,1280.0036,1280003.5999
3,1309.6613,1280.0173,1280017.2999
3,1310.5610,1280.9170,1280916.9999
3,1312.5544,1282.9104,1282910.3999
3,1312.6290,1282.9850,1282984.9999
3,1314.2834,1284.6394,1284639.3999
3,1315.5033,1285.8593,1285859.2999
3,1317.2904,1287.6464,1287646.3999
3,1345.9104,1316.2664,1316266.3999
3,1345.9165,1316.2725,1316272.4999
3,1373.4948,1343.8508,1343850.7999
3,1418.7754,1389.1314,1389131.3999
3,1419.0304,1389.3864,1389386.3999
3,1544.6123,1514.9683,1514968.2999
3,1595.6124,1565.9684,1565968.3999
3,1597.2035,1567.5595,1567559.4999
3,1597.2195,1567.5755,1567575.4999
3,1597.2211,1567.5771,1567577.0999
3,1931.9832,1902.3392,1902339.1999
3,1934.0098,1904.3658,1904365.7999
3,1945.7701,1916.1261,1916126.0999
3,1946.7659,1917.1219,1917121.8999
3,1952.2230,1922.5790,1922578.9999
3,1957.0728,1927.4288,1927428.7999
3,1957.0746,1927.4306,1927430.5999
3,1958.6030,1928.9590,1928958.9999
3,1958.6872,1929.0432,1929043.1999
3,1958.9538,1929.3098,1929309.7999
3,1959.2583,1929.6143,1929614.2999
3,2441.6039,2411.9599,2411959.8999
3,2451.1650,2421.5210,2421520.9999
3,2454.3466,2424.7026,2424702.5999
3,2454.3487,2424.7047,2424704.6999
3,2454.3793,2424.7353,2424735.2999
3,2454.5960,2424.9520,2424951.9999
3,2454.8298,2425.1858,2425185.7999
3,2460.0394,2430.3954,2430395.3999
3,2463.5734,2433.9294,2433929.3999
3,2464.4258,2434.7818,2434781.7999
3,2465.0312,2435.3872,2435387.1999
3,2465.4511,2435.8071,2435807.0999
3,2469.8157,2440.1717,2440171.6999
