units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,84.8732,55.2292,55229.1999
1,208.5683,178.9243,178924.2999
1,295.3826,265.7386,265738.5999
1,358.1635,328.5195,328519.4999
1,540.6464,511.0024,511002.3999
1,540.7628,511.1188,511118.7999
1,550.7324,521.0884,521088.3999
1,591.6197,561.9757,561975.6999
1,604.7567,575.1127,575112.6999
1,638.8939,609.2499,609249.8999
1,642.4255,612.7815,612781.4999
1,643.0274,613.3834,613383.3999
1,669.8071,640.1631,640163.0999
1,692.2819,662.6379,662637.8999
1,786.8903,757.2463,757246.2999
1,881.6671,852.0231,852023.0999
1,913.4680,883.8240,883823.9999
1,1242.5204,1212.8764,1212876.3999
1,1261.6469,1232.0029,1232002.8999
1,1306.4155,1276.7715,1276771.4999
1,1306.8222,1277.1782,1277178.1999
1,1307.0336,1277.3896,1277389.5999
1,1307.8457,1278.2017,1278201.6999
1,1309.0916,1279.4476,1279447.5999
1,1309.2501,1279.6061,1279606.0999
1,1310.4139,1280.7699,1280769.8999
1,1313.9271,1284.2831,1284283.0999
1,1314.7691,1285.1251,1285125.0999
1,1314.8804,1285.2364,1285236.3999
1,1315.4287,1285.7847,1285784.6999
1,1317.2863,1287.6423,1287642.2999
1,1317.4564,1287.8124,1287812.3999
1,1351.3302,1321.6862,1321686.1999
1,1352.2835,1322.6395,1322639.4999
1,1356.5310,1326.8870,1326886.9999
1,1357.6714,1328.0274,1328027.3999
1,1368.1710,1338.5270,1338526.9999
1,1370.4283,1340.7843,1340784.2999
1,1382.5929,1352.9489,1352948.8999
1,1383.8419,1354.1979,1354197.8999
1,1384.7192,1355.0752,1355075.1999
1,1384.7703,1355.1263,1355126.2999
1,1385.1118,1355.4678,1355467.7999
1,1397.9144,1368.2704,1368270.3999
1,1450.2013,1420.5573,1420557.2999
1,1490.5855,1460.9415,1460941.4999
1,1501.5390,1471.8950,1471894.9999
1,1507.9833,1478.3393,1478339.2999
1,1579.0158,1549.3718,1549371.7999
1,1596.0008,1566.3568,1566356.7999
1,1597.3672,1567.7232,1567723.1999
1,1598.5176,1568.8736,1568873.5999
1,1598.6297,1568.9857,1568985.6999
1,1598.7929,1569.1489,1569148.8999
1,1598.7960,1569.1520,1569151.9999
1,1662.0588,1632.4148,1632414.7999
1,1868.3591,1838.7151,1838715.0999
1,1877.1375,1847.4935,1847493.4999
1,1900.4358,1870.7918,1870791.7999
1,1935.6209,1905.9769,1905976.8999
1,1948.4353,1918.7913,1918791.2999
1,1957.3877,1927.7437,1927743.6999
1,1959.2580,1929.6140,1929613.9999
1,2361.0766,2331.4326,2331432.5999
1,2384.3793,2354.7353,2354735.2999
1,2426.5495,2396.9055,2396905.4999
