units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,33.6174,3.9734,3973.3999
2,79.8191,50.1751,50175.0999
2,83.5919,53.9479,53947.8999
2,92.1559,62.5119,62511.8999
2,92.5936,62.9496,62949.5999
2,95.8794,66.2354,66235.3999
2,100.7742,71.1302,71130.1999
2,163.6711,134.0271,134027.0999
2,183.8666,154.2226,154222.5999
2,188.6051,158.9611,158961.0999
2,201.2715,171.6275,171627.4999
2,226.8938,197.2498,197249.7999
2,241.1535,211.5095,211509.4999
2,264.1172,234.4732,234473.1999
2,273.2965,243.6525,243652.4999
2,336.8517,307.2077,307207.6999
2,349.5384,319.8944,319894.3999
2,352.7891,323.1451,323145.0999
2,357.7083,328.0643,328064.2999
2,420.0559,390.4119,390411.8999
2,423.1744,393.5304,393530.3999
2,450.0189,420.3749,420374.8999
2,462.5854,432.9414,432941.3999
2,497.0165,467.3725,467372.4999
2,543.2304,513.5864,513586.3999
2,548.2803,518.6363,518636.2999
2,548.5702,518.9262,518926.1999
2,551.7490,522.1050,522104.9999
2,564.7233,535.0793,535079.2999
2,575.7191,546.0751,546075.0999
2,581.8220,552.1780,552177.9999
2,616.0439,586.3999,586399.8999
2,618.7181,589.0741,589074.0999
2,638.2346,608.5906,608590.5999
2,638.2713,608.6273,608627.2999
2,662.5348,632.8908,632890.7999
2,691.2076,661.5636,661563.5999
2,761.9611,732.3171,732317.0999
2,785.2747,755.6307,755630.6999
2,831.7409,802.0969,802096.8999
2,839.0225,809.3785,809378.4999
2,849.9581,820.3141,820314.0999
2,864.7292,835.0852,835085.1999
2,876.1012,846.4572,846457.1999
2,876.3837,846.7397,846739.6999
2,882.3681,852.7241,852724.0999
2,888.9334,859.2894,859289.3999
2,907.9426,878.2986,878298.5999
2,940.7364,911.0924,911092.3999
2,957.8211,928.1771,928177.0999
2,971.1392,941.4952,941495.1999
2,990.4857,960.8417,960841.6999
2,1036.4658,1006.8218,1006821.7999
2,1041.7689,1012.1249,1012124.8999
2,1047.1165,1017.4725,1017472.4999
2,1059.1414,1029.4974,1029497.3999
2,1068.4724,1038.8284,1038828.3999
2,1124.9257,1095.2817,1095281.6999
2,1131.6214,1101.9774,1101977.3999
2,1138.9924,1109.3484,1109348.3999
2,1145.4778,1115.8338,1115833.7999
2,1148.1699,1118.5259,1118525.8999
2,1152.4710,1122.8270,1122826.9999
2,1155.4663,1125.8223,1125822.2999
2,1170.9098,1141.2658,1141265.7999
2,1172.1712,1142.5272,1142527.1999
2,1211.4496,1181.8056,1181805.5999
2,1230.6988,1201.0548,1201054.7999
2,1252.0187,1222.3747,1222374.6999
2,1255.6070,1225.9630,1225962.9999
2,1273.0428,1243.3988,1243398.7999
2,1285.7135,1256.0695,1256069.4999
2,1290.5997,1260.9557,1260955.6999
2,1307.8109,1278.1669,1278166.8999
2,1308.4830,1278.8390,1278838.9999
2,1308.5504,1278.9064,1278906.3999
2,1308.8850,1279.2410,1279240.9999
2,1309.3433,1279.6993,1279699.2999
2,1309.5468,1279.9028,1279902.7999
2,1332.6322,1302.9882,1302988.1999
2,1369.2430,1339.5990,1339598.9999
2,1399.1849,1369.5409,1369540.8999
2,1400.2513,1370.6073,1370607.2999
2,1439.0046,1409.3606,1409360.5999
2,1497.4757,1467.8317,1467831.6999
2,1552.2767,1522.6327,1522632.6999
2,1555.2097,1525.5657,1525565.6999
2,1566.0639,1536.4199,1536419.8999
2,1609.7313,1580.0873,1580087.2999
2,1631.2567,1601.6127,1601612.6999
2,1651.2497,1621.6057,1621605.6999
2,1653.7846,1624.1406,1624140.5999
2,1665.4575,1635.8135,1635813.4999
2,1694.8154,1665.1714,1665171.3999
2,1702.8093,1673.1653,1673165.2999
2,1704.1891,1674.5451,1674545.0999
2,1748.2636,1718.6196,1718619.5999
2,1804.8005,1775.1565,1775156.4999
2,1828.0610,1798.4170,1798416.9999
2,1835.2397,1805.5957,1805595.6999
2,1854.8731,1825.2291,1825229.0999
2,1855.3043,1825.6603,1825660.2999
2,1934.2252,1904.5812,1904581.1999
2,1938.8230,1909.1790,1909178.9999
2,1947.4819,1917.8379,1917837.8999
2,1953.3275,1923.6835,1923683.4999
2,1953.7234,1924.0794,1924079.3999
2,1954.8401,1925.1961,1925196.0999
2,1957.2966,1927.6526,1927652.5999
2,1957.3118,1927.6678,1927667.7999
2,1958.9558,1929.3118,1929311.7999
2,1959.3052,1929.6612,1929661.1999
2,2034.2111,2004.5671,2004567.0999
2,2041.6486,2012.0046,2012004.5999
2,2060.4892,2030.8452,2030845.1999
2,2080.5034,2050.8594,2050859.3999
2,2109.4439,2079.7999,2079799.8999
2,2110.4844,2080.8404,2080840.3999
2,2142.2748,2112.6308,2112630.7999
2,2175.8893,2146.2453,2146245.2999
2,2212.9402,2183.2962,2183296.1999
2,2385.5884,2355.9444,2355944.3999
2,2389.6861,2360.0421,2360042.0999
2,2431.6031,2401.9591,2401959.0999
2,2434.4161,2404.7721,2404772.0999
2,2451.7586,2422.1146,2422114.5999
2,2468.6067,2438.9627,2438962.6999
2,2482.4627,2452.8187,2452818.6999
2,2482.7381,2453.0941,2453094.0999
