units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,29.7592,0.1152,115.1999
2,29.9953,0.3513,351.2999
2,30.0950,0.4510,450.9999
2,30.3636,0.7196,719.5999
2,30.5078,0.8638,863.7999
2,30.6015,0.9575,957.4999
2,30.8879,1.2439,1243.8999
2,31.1239,1.4799,1479.8999
2,31.8821,2.2381,2238.0999
2,31.9244,2.2804,2280.3999
2,31.9530,2.3090,2308.9999
2,32.0820,2.4380,2437.9999
2,32.3730,2.7290,2728.9999
2,32.4993,2.8553,2855.2999
2,32.8821,3.2381,3238.0999
2,33.2376,3.5936,3593.5999
2,33.8954,4.2514,4251.3999
2,33.9732,4.3292,4329.1999
2,35.0061,5.3621,5362.0999
2,35.2268,5.5828,5582.7999
2,35.4909,5.8469,5846.8999
2,35.7530,6.1090,6108.9999
2,36.0925,6.4485,6448.4999
2,36.2336,6.5896,6589.5999
2,36.2353,6.5913,6591.2999
2,36.4303,6.7863,6786.2999
2,36.5887,6.9447,6944.6999
2,37.3062,7.6622,7662.1999
2,39.2792,9.6352,9635.1999
2,39.4258,9.7818,9781.7999
2,39.9445,10.3005,10300.4999
2,41.0566,11.4126,11412.5999
2,41.9023,12.2583,12258.2999
2,41.9722,12.3282,12328.1999
2,42.3567,12.7127,12712.6999
2,42.4161,12.7721,12772.0999
2,42.5100,12.8660,12865.9999
2,42.7000,13.0560,13055.9999
2,42.8391,13.1951,13195.0999
2,42.8842,13.2402,13240.1999
2,42.9480,13.3040,13303.9999
2,42.9640,13.3200,13319.9999
2,43.0688,13.4248,13424.7999
2,43.1169,13.4729,13472.8999
2,43.1867,13.5427,13542.6999
2,43.5144,13.8704,13870.3999
2,43.5757,13.9317,13931.6999
2,43.8352,14.1912,14191.1999
2,44.7865,15.1425,15142.4999
2,44.8904,15.2464,15246.3999
2,45.0970,15.4530,15452.9999
2,45.4308,15.7868,15786.7999
2,45.4553,15.8113,15811.2999
2,45.5525,15.9085,15908.4999
2,45.7049,16.0609,16060.8999
2,45.7351,16.0911,16091.0999
2,45.9319,16.2879,16287.8999
2,46.4691,16.8251,16825.0999
2,46.7343,17.0903,17090.2999
2,46.7372,17.0932,17093.1999
2,46.8598,17.2158,17215.7999
2,46.9087,17.2647,17264.6999
2,48.0682,18.4242,18424.1999
2,48.1502,18.5062,18506.1999
2,48.3186,18.6746,18674.5999
2,49.7506,20.1066,20106.5999
2,50.1541,20.5101,20510.0999
2,50.3102,20.6662,20666.1999
2,50.3461,20.7021,20702.0999
2,50.4352,20.7912,20791.1999
2,50.6097,20.9657,20965.6999
2,50.7628,21.1188,21118.7999
2,50.7699,21.1259,21125.8999
2,51.1243,21.4803,21480.2999
2,51.8406,22.1966,22196.5999
2,52.0056,22.3616,22361.5999
2,52.4922,22.8482,22848.1999
2,52.6252,22.9812,22981.1999
2,52.6976,23.0536,23053.5999
2,53.2474,23.6034,23603.3999
2,53.3604,23.7164,23716.3999
2,53.5699,23.9259,23925.8999
2,53.6467,24.0027,24002.6999
2,54.0111,24.3671,24367.0999
2,54.0400,24.3960,24395.9999
2,54.8209,25.1769,25176.8999
2,55.0897,25.4457,25445.6999
2,58.9441,29.3001,29300.0999
2,59.1465,29.5025,29502.4999
2,59.6983,30.0543,30054.2999
2,59.9651,30.3211,30321.0999
2,60.1595,30.5155,30515.4999
2,60.2241,30.5801,30580.0999
2,60.5073,30.8633,30863.2999
2,61.0803,31.4363,31436.2999
2,61.3906,31.7466,31746.5999
2,61.4896,31.8456,31845.5999
2,61.9970,32.3530,32352.9999
2,62.7619,33.1179,33117.8999
2,62.9049,33.2609,33260.8999
2,62.9368,33.2928,33292.7999
2,64.1283,34.4843,34484.2999
2,64.1617,34.5177,34517.6999
2,64.4721,34.8281,34828.0999
2,64.5164,34.8724,34872.3999
2,64.6036,34.9596,34959.5999
2,64.6327,34.9887,34988.6999
2,65.0295,35.3855,35385.4999
2,65.0711,35.4271,35427.0999
2,65.6866,36.0426,36042.5999
2,66.0434,36.3994,36399.3999
