units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,248.0236,218.3796,218379.5999
1,324.6707,295.0267,295026.6999
1,324.7185,295.0745,295074.4999
1,327.5161,297.8721,297872.0999
1,440.5706,410.9266,410926.5999
1,525.5763,495.9323,495932.2999
1,550.9852,521.3412,521341.1999
1,551.0393,521.3953,521395.2999
1,698.5023,668.8583,668858.2999
1,701.3559,671.7119,671711.8999
1,701.8279,672.1839,672183.8999
1,730.2160,700.5720,700571.9999
1,908.1631,878.5191,878519.0999
1,908.4320,878.7880,878787.9999
1,908.5607,878.9167,878916.6999
1,909.2373,879.5933,879593.2999
1,909.9781,880.3341,880334.0999
1,910.0877,880.4437,880443.6999
1,1012.6167,982.9727,982972.6999
1,1072.8952,1043.2512,1043251.1999
1,1098.8742,1069.2302,1069230.1999
1,1306.1409,1276.4969,1276496.8999
1,1306.4500,1276.8060,1276805.9999
1,1307.2674,1277.6234,1277623.3999
1,1308.7469,1279.1029,1279102.8999
1,1309.3976,1279.7536,1279753.5999
1,1309.6554,1280.0114,1280011.3999
1,1310.1635,1280.5195,1280519.4999
1,1312.5456,1282.9016,1282901.5999
1,1313.5602,1283.9162,1283916.1999
1,1314.2863,1284.6423,1284642.2999
1,1314.5638,1284.9198,1284919.7999
1,1315.3412,1285.6972,1285697.1999
1,1371.6046,1341.9606,1341960.5999
1,1372.4810,1342.8370,1342836.9999
1,1384.7079,1355.0639,1355063.8999
1,1391.5710,1361.9270,1361926.9999
1,1417.7171,1388.0731,1388073.0999
1,1428.7268,1399.0828,1399082.7999
1,1468.1440,1438.5000,1438499.9999
1,1574.7733,1545.1293,1545129.2999
1,1575.1813,1545.5373,1545537.2999
1,1575.6466,1546.0026,1546002.5999
1,1577.6797,1548.0357,1548035.6999
1,1577.7955,1548.1515,1548151.4999
1,1579.2722,1549.6282,1549628.1999
1,1579.6820,1550.0380,1550037.9999
1,1598.1763,1568.5323,1568532.2999
1,1715.3600,1685.7160,1685715.9999
1,1716.4837,1686.8397,1686839.6999
1,1731.8553,1702.2113,1702211.2999
1,1845.1921,1815.5481,1815548.0999
1,1935.0196,1905.3756,1905375.5999
1,1937.7408,1908.0968,1908096.7999
1,1947.1317,1917.4877,1917487.6999
1,1947.4607,1917.8167,1917816.6999
1,1948.4955,1918.8515,1918851.4999
1,1952.6983,1923.0543,1923054.2999
1,1957.6459,1928.0019,1928001.8999
1,1958.5182,1928.8742,1928874.1999
1,1959.1758,1929.5318,1929531.7999
1,2152.9424,2123.2984,2123298.3999
1,2153.2514,2123.6074,2123607.3999
1,2155.7821,2126.1381,2126138.0999
