units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
2,1986.5988,1956.9548,1956954.7999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,504.7999,0.5048
2,1986.8457,1957.2017,1957201.6999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,751.6999,0.7517
2,1987.2949,1957.6509,1957650.8999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,1200.8999,1.2009
2,1350.3372,1320.6932,1320693.1999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,2265.1999,2.2652
2,1188.3765,1158.7325,1158732.4999,7,1.0-1158046-1160117,477.0000,1.0000,1,6,True,1158046.0000,1160117.0000,686.4999,0.6865
2,1189.1587,1159.5147,1159514.6999,7,1.0-1158046-1160117,477.0000,1.0000,1,6,True,1158046.0000,1160117.0000,1468.6999,1.4687
2,1865.4443,1835.8003,1835800.2999,10,1.0-1835746-1837450,758.0000,1.0000,1,9,True,1835746.0000,1837450.0000,54.2999,0.0543
2,550.2136,520.5696,520569.5999,12,1.0-519322-520725,264.0000,1.0000,1,11,True,519322.0000,520725.0000,1247.5999,1.2476
2,1022.7363,993.0923,993092.2999,14,1.0-991785-994691,427.0000,1.0000,1,13,True,991785.0000,994691.0000,1307.2999,1.3073
2,1023.4580,993.8140,993813.9999,14,1.0-991785-994691,427.0000,1.0000,1,13,True,991785.0000,994691.0000,2028.9999,2.0290
2,207.5219,177.8779,177877.8999,15,1.0-176314-178585,105.0000,1.0000,1,14,True,176314.0000,178585.0000,1563.8999,1.5639
2,1764.3371,1734.6931,1734693.0999,18,1.0-1732911-1735916,709.0000,1.0000,1,16,True,1732911.0000,1735916.0000,1782.0999,1.7821
2,408.7604,379.1164,379116.3999,23,1.0-378478-380616,210.0000,1.0000,1,21,True,378478.0000,380616.0000,638.3999,0.6384
2,523.0746,493.4306,493430.5999,24,1.0-491935-493672,257.0000,1.0000,1,22,True,491935.0000,493672.0000,1495.5999,1.4956
2,1445.2887,1415.6447,1415644.6999,27,1.0-1415319-1417189,560.0000,1.0000,1,24,True,1415319.0000,1417189.0000,325.6999,0.3257
2,1929.0853,1899.4413,1899441.2999,28,1.0-1897768-1900006,799.0000,1.0000,1,25,True,1897768.0000,1900006.0000,1673.2999,1.6733
2,1588.3875,1558.7435,1558743.4999,36,1.0-1558367-1560371,634.0000,1.0000,1,32,True,1558367.0000,1560371.0000,376.4999,0.3765
2,1531.6566,1502.0126,1502012.5999,38,1.0-1501923-1504394,600.0000,1.0000,0,64,True,1501923.0000,1504394.0000,89.5999,0.0896
2,1532.1373,1502.4933,1502493.2999,38,1.0-1501923-1504394,600.0000,1.0000,0,64,True,1501923.0000,1504394.0000,570.2999,0.5703
2,1533.1677,1503.5237,1503523.6999,38,1.0-1501923-1504394,600.0000,1.0000,0,64,True,1501923.0000,1504394.0000,1600.6999,1.6007
2,939.7592,910.1152,910115.1999,39,1.0-910091-911594,394.0000,1.0000,0,65,True,910091.0000,911594.0000,24.1999,0.0242
2,119.9576,90.3136,90313.5999,40,1.0-88875-90545,51.0000,1.0000,1,34,True,88875.0000,90545.0000,1438.5999,1.4386
2,74.9251,45.2811,45281.0999,41,1.0-44655-47627,24.0000,1.0000,0,66,True,44655.0000,47627.0000,626.0999,0.6261
2,76.3362,46.6922,46692.1999,41,1.0-44655-47627,24.0000,1.0000,0,66,True,44655.0000,47627.0000,2037.1999,2.0372
2,1752.6178,1722.9738,1722973.7999,42,1.0-1722557-1724561,705.0000,1.0000,1,35,True,1722557.0000,1724561.0000,416.7999,0.4168
2,1070.6724,1041.0284,1041028.3999,43,1.0-1038878-1041750,444.0000,1.0000,1,36,True,1038878.0000,1041750.0000,2150.3999,2.1504
2,1071.3376,1041.6936,1041693.5999,43,1.0-1038878-1041750,444.0000,1.0000,1,36,True,1038878.0000,1041750.0000,2815.5999,2.8156
2,2112.8797,2083.2357,2083235.6999,44,1.0-2082732-2084937,867.0000,1.0000,1,37,True,2082732.0000,2084937.0000,503.6999,0.5037
2,1749.2288,1719.5848,1719584.7999,51,1.0-1718950-1721388,703.0000,1.0000,1,43,True,1718950.0000,1721388.0000,634.7999,0.6348
2,1749.9086,1720.2646,1720264.5999,51,1.0-1718950-1721388,703.0000,1.0000,1,43,True,1718950.0000,1721388.0000,1314.5999,1.3146
2,215.6050,185.9610,185960.9999,52,1.0-184430-187335,109.0000,1.0000,1,44,True,184430.0000,187335.0000,1530.9999,1.5310
2,165.2380,135.5940,135593.9999,55,1.0-135099-137938,79.0000,1.0000,1,46,True,135099.0000,137938.0000,494.9999,0.4950
2,165.4308,135.7868,135786.7999,55,1.0-135099-137938,79.0000,1.0000,1,46,True,135099.0000,137938.0000,687.7999,0.6878
2,165.5643,135.9203,135920.2999,55,1.0-135099-137938,79.0000,1.0000,1,46,True,135099.0000,137938.0000,821.2999,0.8213
2,361.7371,332.0931,332093.0999,56,1.0-331419-334391,187.0000,1.0000,0,69,True,331419.0000,334391.0000,674.0999,0.6741
2,363.0356,333.3916,333391.5999,56,1.0-331419-334391,187.0000,1.0000,0,69,True,331419.0000,334391.0000,1972.5999,1.9726
2,363.1603,333.5163,333516.2999,56,1.0-331419-334391,187.0000,1.0000,0,69,True,331419.0000,334391.0000,2097.2999,2.0973
2,363.1770,333.5330,333532.9999,56,1.0-331419-334391,187.0000,1.0000,0,69,True,331419.0000,334391.0000,2113.9999,2.1140
2,554.0345,524.3905,524390.4999,62,1.0-523430-525434,267.0000,1.0000,1,51,True,523430.0000,525434.0000,960.4999,0.9605
2,211.2643,181.6203,181620.2999,65,1.0-180455-182292,107.0000,1.0000,1,53,True,180455.0000,182292.0000,1165.2999,1.1653
2,211.2976,181.6536,181653.5999,65,1.0-180455-182292,107.0000,1.0000,1,53,True,180455.0000,182292.0000,1198.5999,1.1986
2,1634.7731,1605.1291,1605129.0999,66,1.0-1604391-1607163,650.0000,1.0000,1,54,True,1604391.0000,1607163.0000,738.0999,0.7381
2,1613.7682,1584.1242,1584124.1999,67,1.0-1582782-1584786,643.0000,1.0000,1,55,True,1582782.0000,1584786.0000,1342.1999,1.3422
2,1478.4338,1448.7898,1448789.7999,69,1.0-1448250-1450187,574.0000,1.0000,0,73,True,1448250.0000,1450187.0000,539.7999,0.5398
2,1478.7422,1449.0982,1449098.1999,69,1.0-1448250-1450187,574.0000,1.0000,0,73,True,1448250.0000,1450187.0000,848.1999,0.8482
2,325.8081,296.1641,296164.0999,71,1.0-295248-298120,167.0000,1.0000,0,75,True,295248.0000,298120.0000,916.0999,0.9161
2,873.1604,843.5164,843516.3999,75,1.0-842625-844596,368.0000,1.0000,1,59,True,842625.0000,844596.0000,891.3999,0.8914
