units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
4,1986.2233,1956.5793,1956579.2999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,129.2999,0.1293
4,1986.5418,1956.8978,1956897.7999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,447.7999,0.4478
4,1986.5603,1956.9163,1956916.2999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,466.2999,0.4663
4,1986.6037,1956.9597,1956959.6999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,509.6999,0.5097
4,1986.6101,1956.9661,1956966.0999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,516.0999,0.5161
4,1987.1172,1957.4732,1957473.1999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,1023.1999,1.0232
4,1987.3852,1957.7412,1957741.1999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,1291.1999,1.2912
4,1987.5688,1957.9248,1957924.7999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,1474.7999,1.4748
4,1987.9165,1958.2725,1958272.4999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,1822.4999,1.8225
4,1988.0106,1958.3666,1958366.5999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,1916.5999,1.9166
4,1988.1190,1958.4750,1958474.9999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,2024.9999,2.0250
4,1988.1651,1958.5211,1958521.0999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,2071.0999,2.0711
4,1988.5259,1958.8819,1958881.8999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,2431.8999,2.4319
4,1988.6363,1958.9923,1958992.2999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,2542.2999,2.5423
4,1988.6769,1959.0329,1959032.8999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,2582.8999,2.5829
4,925.2898,895.6458,895645.7999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,917.7999,0.9178
4,925.3153,895.6713,895671.2999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,943.2999,0.9433
4,925.3559,895.7119,895711.8999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,983.8999,0.9839
4,925.5077,895.8637,895863.6999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,1135.6999,1.1357
4,925.5790,895.9350,895934.9999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,1206.9999,1.2070
4,925.7005,896.0565,896056.4999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,1328.4999,1.3285
4,925.7862,896.1422,896142.1999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,1414.1999,1.4142
4,925.8916,896.2476,896247.5999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,1519.5999,1.5196
4,926.1197,896.4757,896475.6999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,1747.6999,1.7477
4,1807.2027,1777.5587,1777558.6999,3,1.0-1777398-1778200,733.0000,1.0000,0,60,True,1777398.0000,1778200.0000,160.6999,0.1607
4,1807.2088,1777.5648,1777564.7999,3,1.0-1777398-1778200,733.0000,1.0000,0,60,True,1777398.0000,1778200.0000,166.7999,0.1668
4,1807.2126,1777.5686,1777568.5999,3,1.0-1777398-1778200,733.0000,1.0000,0,60,True,1777398.0000,1778200.0000,170.5999,0.1706
4,1807.2194,1777.5754,1777575.3999,3,1.0-1777398-1778200,733.0000,1.0000,0,60,True,1777398.0000,1778200.0000,177.3999,0.1774
4,1807.2762,1777.6322,1777632.1999,3,1.0-1777398-1778200,733.0000,1.0000,0,60,True,1777398.0000,1778200.0000,234.1999,0.2342
4,1807.2867,1777.6427,1777642.6999,3,1.0-1777398-1778200,733.0000,1.0000,0,60,True,1777398.0000,1778200.0000,244.6999,0.2447
4,1807.2984,1777.6544,1777654.3999,3,1.0-1777398-1778200,733.0000,1.0000,0,60,True,1777398.0000,1778200.0000,256.3999,0.2564
4,1807.3232,1777.6792,1777679.1999,3,1.0-1777398-1778200,733.0000,1.0000,0,60,True,1777398.0000,1778200.0000,281.1999,0.2812
