units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
2,1988.1457,1958.5017,1958501.6999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,2051.6999,2.0517
2,1988.5158,1958.8718,1958871.7999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,2421.7999,2.4218
2,925.0830,895.4390,895438.9999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,710.9999,0.7110
2,1350.2636,1320.6196,1320619.5999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,2191.5999,2.1916
2,2451.1650,2421.5210,2421520.9999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,589.9999,0.5900
2,83.5470,53.9030,53902.9999,33,1.0-53639-55643,28.0000,1.0000,1,30,True,53639.0000,55643.0000,263.9999,0.2640
2,2358.6081,2328.9641,2328964.0999,34,1.0-2328716-2330086,954.0000,1.0000,0,63,True,2328716.0000,2330086.0000,248.0999,0.2481
2,74.5307,44.8867,44886.6999,41,1.0-44655-47627,24.0000,1.0000,0,66,True,44655.0000,47627.0000,231.6999,0.2317
2,75.8337,46.1897,46189.6999,41,1.0-44655-47627,24.0000,1.0000,0,66,True,44655.0000,47627.0000,1534.6999,1.5347
2,1070.0004,1040.3564,1040356.3999,43,1.0-1038878-1041750,444.0000,1.0000,1,36,True,1038878.0000,1041750.0000,1478.3999,1.4784
2,1071.2544,1041.6104,1041610.3999,43,1.0-1038878-1041750,444.0000,1.0000,1,36,True,1038878.0000,1041750.0000,2732.3999,2.7324
2,2460.5700,2430.9260,2430925.9999,48,1.0-2430584-2432588,999.0000,1.0000,1,41,True,2430584.0000,2432588.0000,341.9999,0.3420
2,2461.2445,2431.6005,2431600.4999,48,1.0-2430584-2432588,999.0000,1.0000,1,41,True,2430584.0000,2432588.0000,1016.4999,1.0165
2,1749.0132,1719.3692,1719369.1999,51,1.0-1718950-1721388,703.0000,1.0000,1,43,True,1718950.0000,1721388.0000,419.1999,0.4192
2,67.5000,37.8560,37855.9999,57,1.0-37607-38710,19.0000,1.0000,1,47,True,37607.0000,38710.0000,248.9999,0.2490
2,2422.5849,2392.9409,2392940.8999,58,1.0-2392509-2395515,981.0000,1.0000,0,70,True,2392509.0000,2395515.0000,431.8999,0.4319
2,2423.6939,2394.0499,2394049.8999,58,1.0-2392509-2395515,981.0000,1.0000,0,70,True,2392509.0000,2395515.0000,1540.8999,1.5409
2,2425.1305,2395.4865,2395486.4999,58,1.0-2392509-2395515,981.0000,1.0000,0,70,True,2392509.0000,2395515.0000,2977.4999,2.9775
2,1670.3900,1640.7460,1640745.9999,61,1.0-1639326-1642332,666.0000,1.0000,1,50,True,1639326.0000,1642332.0000,1419.9999,1.4200
2,553.1766,523.5326,523532.5999,62,1.0-523430-525434,267.0000,1.0000,1,51,True,523430.0000,525434.0000,102.5999,0.1026
2,2037.4404,2007.7964,2007796.3999,64,1.0-2007451-2008854,833.0000,1.0000,0,71,True,2007451.0000,2008854.0000,345.3999,0.3454
2,2038.4086,2008.7646,2008764.5999,64,1.0-2007451-2008854,833.0000,1.0000,0,71,True,2007451.0000,2008854.0000,1313.5999,1.3136
2,1634.0834,1604.4394,1604439.3999,66,1.0-1604391-1607163,650.0000,1.0000,1,54,True,1604391.0000,1607163.0000,48.3999,0.0484
2,2083.7267,2054.0827,2054082.6999,73,1.0-2053274-2054210,852.0000,1.0000,1,57,True,2053274.0000,2054210.0000,808.6999,0.8087
