units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,1986.6755,1957.0315,1957031.4999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,581.4999,0.5815
1,1986.9255,1957.2815,1957281.4999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,831.4999,0.8315
1,1987.5394,1957.8954,1957895.3999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,1445.3999,1.4454
1,1987.9930,1958.3490,1958348.9999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,1898.9999,1.8990
1,1988.6744,1959.0304,1959030.3999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,2580.3999,2.5804
1,925.1179,895.4739,895473.8999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,745.8999,0.7459
1,925.2014,895.5574,895557.3999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,829.3999,0.8294
1,925.2737,895.6297,895629.6999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,901.6999,0.9017
1,925.2814,895.6374,895637.3999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,909.3999,0.9094
1,925.2848,895.6408,895640.7999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,912.7999,0.9128
1,925.3115,895.6675,895667.4999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,939.4999,0.9395
1,925.3172,895.6732,895673.1999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,945.1999,0.9452
1,925.6854,896.0414,896041.3999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,1313.3999,1.3134
1,925.9237,896.2797,896279.6999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,1551.6999,1.5517
1,925.9424,896.2984,896298.3999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,1570.3999,1.5704
1,926.1335,896.4895,896489.4999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,1761.4999,1.7615
1,926.1458,896.5018,896501.7999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,1773.7999,1.7738
1,1807.0446,1777.4006,1777400.5999,3,1.0-1777398-1778200,733.0000,1.0000,0,60,True,1777398.0000,1778200.0000,2.5999,0.0026
1,1348.2526,1318.6086,1318608.5999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,180.5999,0.1806
1,1349.1912,1319.5472,1319547.1999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,1119.1999,1.1192
1,1349.3675,1319.7235,1319723.4999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,1295.4999,1.2955
1,1349.4850,1319.8410,1319840.9999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,1412.9999,1.4130
1,1349.8503,1320.2063,1320206.2999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,1778.2999,1.7783
1,1350.2377,1320.5937,1320593.6999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,2165.6999,2.1657
1,1350.3133,1320.6693,1320669.2999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,2241.2999,2.2413
1,1350.3615,1320.7175,1320717.4999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,2289.4999,2.2895
1,1350.3940,1320.7500,1320749.9999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,2321.9999,2.3220
1,1350.4528,1320.8088,1320808.7999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,2380.7999,2.3808
1,1350.4922,1320.8482,1320848.1999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,2420.1999,2.4202
1,1350.6246,1320.9806,1320980.5999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,2552.5999,2.5526
1,1350.8229,1321.1789,1321178.8999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,2750.8999,2.7509
1,1350.8268,1321.1828,1321182.7999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,2754.7999,2.7548
1,727.0903,697.4463,697446.2999,5,1.0-696504-698141,326.0000,1.0000,1,4,True,696504.0000,698141.0000,942.2999,0.9423
1,2450.9633,2421.3193,2421319.2999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,388.2999,0.3883
1,2451.0556,2421.4116,2421411.5999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,480.5999,0.4806
1,2451.3147,2421.6707,2421670.6999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,739.6999,0.7397
1,2451.3935,2421.7495,2421749.4999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,818.4999,0.8185
1,2451.4095,2421.7655,2421765.4999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,834.4999,0.8345
1,2451.7460,2422.1020,2422101.9999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,1170.9999,1.1710
1,2451.7517,2422.1077,2422107.6999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,1176.6999,1.1767
1,2451.8272,2422.1832,2422183.1999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,1252.1999,1.2522
1,2451.8982,2422.2542,2422254.1999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,1323.1999,1.3232
1,2452.0165,2422.3725,2422372.4999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,1441.4999,1.4415
1,2452.0830,2422.4390,2422438.9999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,1507.9999,1.5080
1,2452.1440,2422.5000,2422499.9999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,1568.9999,1.5690
1,2452.1731,2422.5291,2422529.0999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,1598.0999,1.5981
1,2452.2337,2422.5897,2422589.6999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,1658.6999,1.6587
1,2452.4738,2422.8298,2422829.7999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,1898.7999,1.8988
1,2452.4846,2422.8406,2422840.5999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,1909.5999,1.9096
1,2452.5155,2422.8715,2422871.4999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,1940.4999,1.9405
1,2452.6901,2423.0461,2423046.0999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,2115.0999,2.1151
1,2453.0363,2423.3923,2423392.2999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,2461.2999,2.4613
1,2453.3250,2423.6810,2423680.9999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,2749.9999,2.7500
1,2453.3694,2423.7254,2423725.3999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,2794.3999,2.7944
1,2453.4953,2423.8513,2423851.2999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,2920.2999,2.9203
1,1187.8741,1158.2301,1158230.0999,7,1.0-1158046-1160117,477.0000,1.0000,1,6,True,1158046.0000,1160117.0000,184.0999,0.1841
1,1187.9043,1158.2603,1158260.2999,7,1.0-1158046-1160117,477.0000,1.0000,1,6,True,1158046.0000,1160117.0000,214.2999,0.2143
1,1187.9122,1158.2682,1158268.1999,7,1.0-1158046-1160117,477.0000,1.0000,1,6,True,1158046.0000,1160117.0000,222.1999,0.2222
1,1188.0981,1158.4541,1158454.0999,7,1.0-1158046-1160117,477.0000,1.0000,1,6,True,1158046.0000,1160117.0000,408.0999,0.4081
1,1188.1559,1158.5119,1158511.8999,7,1.0-1158046-1160117,477.0000,1.0000,1,6,True,1158046.0000,1160117.0000,465.8999,0.4659
1,1188.3177,1158.6737,1158673.6999,7,1.0-1158046-1160117,477.0000,1.0000,1,6,True,1158046.0000,1160117.0000,627.6999,0.6277
1,1188.3513,1158.7073,1158707.2999,7,1.0-1158046-1160117,477.0000,1.0000,1,6,True,1158046.0000,1160117.0000,661.2999,0.6613
1,1188.3813,1158.7373,1158737.2999,7,1.0-1158046-1160117,477.0000,1.0000,1,6,True,1158046.0000,1160117.0000,691.2999,0.6913
1,1188.6082,1158.9642,1158964.1999,7,1.0-1158046-1160117,477.0000,1.0000,1,6,True,1158046.0000,1160117.0000,918.1999,0.9182
1,1188.6310,1158.9870,1158986.9999,7,1.0-1158046-1160117,477.0000,1.0000,1,6,True,1158046.0000,1160117.0000,940.9999,0.9410
1,1188.6486,1159.0046,1159004.5999,7,1.0-1158046-1160117,477.0000,1.0000,1,6,True,1158046.0000,1160117.0000,958.5999,0.9586
