units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
2,1986.2050,1956.5610,1956560.9999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,110.9999,0.1110
2,1986.4309,1956.7869,1956786.8999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,336.8999,0.3369
2,1987.7573,1958.1133,1958113.2999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,1663.2999,1.6633
2,1988.3985,1958.7545,1958754.4999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,2304.4999,2.3045
2,1348.8929,1319.2489,1319248.8999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,820.8999,0.8209
2,1349.8575,1320.2135,1320213.4999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,1785.4999,1.7855
2,1349.8664,1320.2224,1320222.3999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,1794.3999,1.7944
2,1350.6954,1321.0514,1321051.3999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,2623.3999,2.6234
2,1351.0371,1321.3931,1321393.0999,4,1.0-1318428-1321434,535.0000,1.0000,1,3,True,1318428.0000,1321434.0000,2965.0999,2.9651
2,726.1928,696.5488,696548.7999,5,1.0-696504-698141,326.0000,1.0000,1,4,True,696504.0000,698141.0000,44.7999,0.0448
2,2451.4196,2421.7756,2421775.5999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,844.5999,0.8446
2,2452.9595,2423.3155,2423315.4999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,2384.4999,2.3845
2,1188.4301,1158.7861,1158786.0999,7,1.0-1158046-1160117,477.0000,1.0000,1,6,True,1158046.0000,1160117.0000,740.0999,0.7401
2,1188.4349,1158.7909,1158790.8999,7,1.0-1158046-1160117,477.0000,1.0000,1,6,True,1158046.0000,1160117.0000,744.8999,0.7449
2,1188.6673,1159.0233,1159023.2999,7,1.0-1158046-1160117,477.0000,1.0000,1,6,True,1158046.0000,1160117.0000,977.2999,0.9773
2,740.7492,711.1052,711105.1999,8,1.0-709630-711667,330.0000,1.0000,1,7,True,709630.0000,711667.0000,1475.1999,1.4752
2,549.4568,519.8128,519812.7999,12,1.0-519322-520725,264.0000,1.0000,1,11,True,519322.0000,520725.0000,490.7999,0.4908
2,2122.6557,2093.0117,2093011.6999,13,1.0-2092151-2093253,872.0000,1.0000,1,12,True,2092151.0000,2093253.0000,860.6999,0.8607
2,1022.7728,993.1288,993128.7999,14,1.0-991785-994691,427.0000,1.0000,1,13,True,991785.0000,994691.0000,1343.7999,1.3438
