units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,1986.3990,1956.7550,1956754.9999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,304.9999,0.3050
1,1986.5694,1956.9254,1956925.3999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,475.3999,0.4754
1,1986.6246,1956.9806,1956980.5999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,530.5999,0.5306
1,1986.6727,1957.0287,1957028.6999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,578.6999,0.5787
1,1986.6847,1957.0407,1957040.6999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,590.6999,0.5907
1,1986.8825,1957.2385,1957238.4999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,788.4999,0.7885
1,1987.0374,1957.3934,1957393.3999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,943.3999,0.9434
1,1987.5410,1957.8970,1957896.9999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,1446.9999,1.4470
1,1987.5527,1957.9087,1957908.6999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,1458.6999,1.4587
1,1987.5609,1957.9169,1957916.8999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,1466.8999,1.4669
1,1987.6143,1957.9703,1957970.2999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,1520.2999,1.5203
1,1987.9690,1958.3250,1958324.9999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,1874.9999,1.8750
1,1988.0474,1958.4034,1958403.3999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,1953.3999,1.9534
1,1988.6589,1959.0149,1959014.8999,1,1.0-1956450-1959456,818.0000,1.0000,1,1,True,1956450.0000,1959456.0000,2564.8999,2.5649
1,924.9741,895.3301,895330.0999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,602.0999,0.6021
1,925.3021,895.6581,895658.0999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,930.0999,0.9301
