units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
1,924.3736,894.7296,894729.5999,2,1.0-894728-896565,387.0000,1.0000,1,2,True,894728.0000,896565.0000,1.5999,0.0016
1,2450.8370,2421.1930,2421192.9999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,261.9999,0.2620
1,2452.6137,2422.9697,2422969.6999,6,1.0-2420931-2423937,995.0000,1.0000,1,5,True,2420931.0000,2423937.0000,2038.6999,2.0387
1,549.1867,519.5427,519542.6999,12,1.0-519322-520725,264.0000,1.0000,1,11,True,519322.0000,520725.0000,220.6999,0.2207
1,2122.3732,2092.7292,2092729.1999,13,1.0-2092151-2093253,872.0000,1.0000,1,12,True,2092151.0000,2093253.0000,578.1999,0.5782
1,1022.6398,992.9958,992995.7999,14,1.0-991785-994691,427.0000,1.0000,1,13,True,991785.0000,994691.0000,1210.7999,1.2108
1,207.9043,178.2603,178260.2999,15,1.0-176314-178585,105.0000,1.0000,1,14,True,176314.0000,178585.0000,1946.2999,1.9463
1,1861.9936,1832.3496,1832349.5999,16,1.0-1831805-1832841,755.0000,1.0000,0,61,True,1831805.0000,1832841.0000,544.5999,0.5446
1,339.2927,309.6487,309648.6999,19,1.0-308207-310611,173.0000,1.0000,1,17,True,308207.0000,310611.0000,1441.6999,1.4417
1,340.0452,310.4012,310401.1999,19,1.0-308207-310611,173.0000,1.0000,1,17,True,308207.0000,310611.0000,2194.1999,2.1942
1,523.1553,493.5113,493511.2999,24,1.0-491935-493672,257.0000,1.0000,1,22,True,491935.0000,493672.0000,1576.2999,1.5763
1,941.0030,911.3590,911358.9999,39,1.0-910091-911594,394.0000,1.0000,0,65,True,910091.0000,911594.0000,1267.9999,1.2680
1,1069.6186,1039.9746,1039974.5999,43,1.0-1038878-1041750,444.0000,1.0000,1,36,True,1038878.0000,1041750.0000,1096.5999,1.0966
1,1070.1004,1040.4564,1040456.3999,43,1.0-1038878-1041750,444.0000,1.0000,1,36,True,1038878.0000,1041750.0000,1578.3999,1.5784
1,1070.6067,1040.9627,1040962.6999,43,1.0-1038878-1041750,444.0000,1.0000,1,36,True,1038878.0000,1041750.0000,2084.6999,2.0847
1,2461.7457,2432.1017,2432101.6999,48,1.0-2430584-2432588,999.0000,1.0000,1,41,True,2430584.0000,2432588.0000,1517.6999,1.5177
1,215.5731,185.9291,185929.0999,52,1.0-184430-187335,109.0000,1.0000,1,44,True,184430.0000,187335.0000,1499.0999,1.4991
1,2068.6336,2038.9896,2038989.5999,54,1.0-2038779-2041518,848.0000,1.0000,1,45,True,2038779.0000,2041518.0000,210.5999,0.2106
1,165.1047,135.4607,135460.6999,55,1.0-135099-137938,79.0000,1.0000,1,46,True,135099.0000,137938.0000,361.6999,0.3617
1,165.1252,135.4812,135481.1999,55,1.0-135099-137938,79.0000,1.0000,1,46,True,135099.0000,137938.0000,382.1999,0.3822
1,67.9749,38.3309,38330.8999,57,1.0-37607-38710,19.0000,1.0000,1,47,True,37607.0000,38710.0000,723.8999,0.7239
1,2422.5064,2392.8624,2392862.3999,58,1.0-2392509-2395515,981.0000,1.0000,0,70,True,2392509.0000,2395515.0000,353.3999,0.3534
1,1226.8926,1197.2486,1197248.5999,59,1.0-1195286-1197991,492.0000,1.0000,1,48,True,1195286.0000,1197991.0000,1962.5999,1.9626
1,1670.5141,1640.8701,1640870.0999,61,1.0-1639326-1642332,666.0000,1.0000,1,50,True,1639326.0000,1642332.0000,1544.0999,1.5441
1,649.4198,619.7758,619775.7999,63,1.0-617014-620020,300.0000,1.0000,1,52,True,617014.0000,620020.0000,2761.7999,2.7618
1,211.7116,182.0676,182067.5999,65,1.0-180455-182292,107.0000,1.0000,1,53,True,180455.0000,182292.0000,1612.5999,1.6126
1,1634.1336,1604.4896,1604489.5999,66,1.0-1604391-1607163,650.0000,1.0000,1,54,True,1604391.0000,1607163.0000,98.5999,0.0986
1,1479.6933,1450.0493,1450049.2999,69,1.0-1448250-1450187,574.0000,1.0000,0,73,True,1448250.0000,1450187.0000,1799.2999,1.7993
1,326.0509,296.4069,296406.8999,71,1.0-295248-298120,167.0000,1.0000,0,75,True,295248.0000,298120.0000,1158.8999,1.1589
1,241.5729,211.9289,211928.8999,72,1.0-210147-212351,126.0000,1.0000,1,56,True,210147.0000,212351.0000,1781.8999,1.7819
1,1486.1410,1456.4970,1456496.9999,74,1.0-1456199-1457368,577.0000,1.0000,1,58,True,1456199.0000,1457368.0000,297.9999,0.2980
1,1486.5714,1456.9274,1456927.3999,74,1.0-1456199-1457368,577.0000,1.0000,1,58,True,1456199.0000,1457368.0000,728.3999,0.7284
