bin_10s,spike_count,firing_rate_hz
0,3,0.3
1,4,0.4
2,1,0.1
3,1,0.1
4,2,0.2
5,0,0.0
6,0,0.0
7,3,0.3
8,0,0.0
9,1,0.1
10,1,0.1
11,1,0.1
12,1,0.1
13,0,0.0
14,3,0.3
15,2,0.2
16,2,0.2
17,2,0.2
18,4,0.4
19,3,0.3
20,2,0.2
21,2,0.2
22,4,0.4
23,4,0.4
24,0,0.0
25,2,0.2
26,4,0.4
27,3,0.3
28,4,0.4
29,1,0.1
30,0,0.0
31,3,0.3
32,2,0.2
33,2,0.2
34,0,0.0
35,0,0.0
36,5,0.5
37,1,0.1
38,3,0.3
39,0,0.0
40,0,0.0
41,1,0.1
42,4,0.4
43,1,0.1
44,0,0.0
45,2,0.2
46,2,0.2
47,2,0.2
48,0,0.0
49,5,0.5
50,1,0.1
51,2,0.2
52,1,0.1
53,1,0.1
54,5,0.5
55,1,0.1
56,1,0.1
57,1,0.1
58,5,0.5
59,2,0.2
60,0,0.0
61,2,0.2
62,1,0.1
63,2,0.2
64,3,0.3
65,3,0.3
66,3,0.3
67,2,0.2
68,5,0.5
69,2,0.2
70,3,0.3
71,4,0.4
72,1,0.1
73,2,0.2
74,5,0.5
75,2,0.2
76,2,0.2
77,3,0.3
78,3,0.3
79,2,0.2
80,2,0.2
81,1,0.1
82,1,0.1
83,2,0.2
84,3,0.3
85,3,0.3
86,0,0.0
87,3,0.3
88,1,0.1
89,0,0.0
90,4,0.4
91,4,0.4
92,3,0.3
93,5,0.5
94,2,0.2
95,4,0.4
96,2,0.2
97,4,0.4
98,4,0.4
99,1,0.1
100,1,0.1
101,3,0.3
102,0,0.0
103,1,0.1
104,2,0.2
105,2,0.2
106,2,0.2
107,1,0.1
108,0,0.0
109,2,0.2
110,1,0.1
111,0,0.0
112,3,0.3
113,1,0.1
114,1,0.1
115,3,0.3
116,0,0.0
117,2,0.2
118,4,0.4
119,7,0.7
120,1,0.1
121,1,0.1
122,3,0.3
123,1,0.1
124,2,0.2
125,1,0.1
126,1,0.1
127,2,0.2
128,4,0.4
129,3,0.3
130,3,0.3
131,4,0.4
132,0,0.0
133,3,0.3
134,6,0.6
135,3,0.3
136,2,0.2
137,5,0.5
138,0,0.0
139,2,0.2
140,0,0.0
141,0,0.0
142,5,0.5
143,2,0.2
144,0,0.0
145,1,0.1
146,0,0.0
147,5,0.5
148,2,0.2
149,1,0.1
150,1,0.1
151,2,0.2
152,2,0.2
153,1,0.1
154,6,0.6
155,1,0.1
156,0,0.0
157,3,0.3
158,2,0.2
159,0,0.0
160,3,0.3
161,4,0.4
162,3,0.3
163,2,0.2
164,1,0.1
165,2,0.2
166,2,0.2
167,3,0.3
168,4,0.4
169,2,0.2
170,6,0.6
171,1,0.1
172,1,0.1
173,5,0.5
174,1,0.1
175,1,0.1
176,3,0.3
177,2,0.2
178,4,0.4
179,4,0.4
180,0,0.0
181,3,0.3
182,2,0.2
183,2,0.2
184,3,0.3
185,1,0.1
186,5,0.5
187,2,0.2
188,3,0.3
189,5,0.5
190,2,0.2
191,2,0.2
192,1,0.1
193,0,0.0
194,1,0.1
195,2,0.2
196,4,0.4
197,0,0.0
198,0,0.0
199,0,0.0
200,2,0.2
201,3,0.3
202,1,0.1
203,1,0.1
204,0,0.0
205,1,0.1
206,0,0.0
207,2,0.2
208,2,0.2
209,1,0.1
210,1,0.1
211,3,0.3
212,0,0.0
213,0,0.0
214,1,0.1
215,0,0.0
216,2,0.2
217,1,0.1
218,3,0.3
219,2,0.2
220,4,0.4
221,1,0.1
222,0,0.0
223,2,0.2
224,0,0.0
225,0,0.0
226,5,0.5
227,1,0.1
228,1,0.1
229,1,0.1
230,3,0.3
231,1,0.1
232,1,0.1
233,1,0.1
234,3,0.3
235,2,0.2
236,7,0.7
237,5,0.5
238,0,0.0
239,2,0.2
240,1,0.1
241,4,0.4
242,0,0.0
243,3,0.3
244,1,0.1
245,1,0.1
246,2,0.2
247,2,0.2
