bin_10s,spike_count,firing_rate_hz
0,73,7.3
1,45,4.5
2,17,1.7
3,64,6.4
4,53,5.3
5,80,8.0
6,38,3.8
7,28,2.8
8,31,3.1
9,18,1.8
10,71,7.1
11,71,7.1
12,71,7.1
13,76,7.6
14,80,8.0
15,75,7.5
16,19,1.9
17,46,4.6
18,11,1.1
19,49,4.9
20,48,4.8
21,66,6.6
22,97,9.7
23,78,7.8
24,76,7.6
25,60,6.0
26,46,4.6
27,53,5.3
28,71,7.1
29,70,7.0
30,27,2.7
31,74,7.4
32,87,8.7
33,74,7.4
34,124,12.4
35,70,7.0
36,82,8.2
37,23,2.3
38,47,4.7
39,46,4.6
40,40,4.0
41,88,8.8
42,24,2.4
43,90,9.0
44,53,5.3
45,67,6.7
46,82,8.2
47,98,9.8
48,61,6.1
49,99,9.9
50,78,7.8
51,41,4.1
52,67,6.7
53,32,3.2
54,49,4.9
55,31,3.1
56,86,8.6
57,19,1.9
58,13,1.3
59,46,4.6
60,56,5.6
61,75,7.5
62,77,7.7
63,30,3.0
64,46,4.6
65,112,11.2
66,98,9.8
67,50,5.0
68,78,7.8
69,59,5.9
70,62,6.2
71,74,7.4
72,24,2.4
73,54,5.4
74,29,2.9
75,38,3.8
76,60,6.0
77,101,10.1
78,13,1.3
79,33,3.3
80,46,4.6
81,76,7.6
82,52,5.2
83,112,11.2
84,85,8.5
85,56,5.6
86,38,3.8
87,50,5.0
88,9,0.9
89,29,2.9
90,67,6.7
91,117,11.7
92,94,9.4
93,126,12.6
94,97,9.7
95,96,9.6
96,30,3.0
97,71,7.1
98,120,12.0
99,15,1.5
100,100,10.0
101,78,7.8
102,44,4.4
103,38,3.8
104,85,8.5
105,78,7.8
106,96,9.6
107,60,6.0
108,96,9.6
109,83,8.3
110,76,7.6
111,57,5.7
112,114,11.4
113,67,6.7
114,133,13.3
115,77,7.7
116,25,2.5
117,60,6.0
118,75,7.5
119,101,10.1
120,86,8.6
121,60,6.0
122,60,6.0
123,36,3.6
124,68,6.8
125,53,5.3
126,38,3.8
127,60,6.0
128,22,2.2
129,17,1.7
130,77,7.7
131,31,3.1
132,64,6.4
133,108,10.8
134,30,3.0
135,81,8.1
136,93,9.3
137,81,8.1
138,48,4.8
139,63,6.3
140,47,4.7
141,56,5.6
142,13,1.3
143,33,3.3
144,56,5.6
145,58,5.8
146,65,6.5
147,19,1.9
148,64,6.4
149,24,2.4
150,42,4.2
151,68,6.8
152,53,5.3
153,100,10.0
154,83,8.3
155,80,8.0
156,81,8.1
157,79,7.9
158,77,7.7
159,120,12.0
160,57,5.7
161,20,2.0
162,17,1.7
163,44,4.4
164,16,1.6
165,13,1.3
166,19,1.9
167,20,2.0
168,77,7.7
169,105,10.5
170,49,4.9
171,11,1.1
172,42,4.2
173,55,5.5
174,22,2.2
175,5,0.5
176,55,5.5
177,20,2.0
178,48,4.8
179,91,9.1
180,30,3.0
181,25,2.5
182,30,3.0
183,65,6.5
184,25,2.5
185,62,6.2
186,36,3.6
187,40,4.0
188,13,1.3
189,43,4.3
190,80,8.0
191,64,6.4
192,61,6.1
193,40,4.0
194,74,7.4
195,67,6.7
196,76,7.6
197,85,8.5
198,13,1.3
199,31,3.1
200,11,1.1
201,80,8.0
202,22,2.2
203,41,4.1
204,101,10.1
205,29,2.9
206,8,0.8
207,26,2.6
208,45,4.5
209,28,2.8
210,12,1.2
211,13,1.3
212,12,1.2
213,15,1.5
214,36,3.6
215,18,1.8
216,26,2.6
217,23,2.3
218,72,7.2
219,42,4.2
220,28,2.8
221,58,5.8
222,65,6.5
223,41,4.1
224,58,5.8
225,50,5.0
226,49,4.9
227,101,10.1
228,27,2.7
229,56,5.6
230,17,1.7
231,40,4.0
232,91,9.1
233,53,5.3
234,64,6.4
235,61,6.1
236,31,3.1
237,23,2.3
238,31,3.1
239,33,3.3
240,41,4.1
241,27,2.7
242,46,4.6
243,29,2.9
244,23,2.3
245,70,7.0
246,127,12.7
247,59,5.9
