bin_10s,spike_count,firing_rate_hz
0,42,4.2
1,49,4.9
2,59,5.9
3,48,4.8
4,66,6.6
5,82,8.2
6,30,3.0
7,68,6.8
8,47,4.7
9,27,2.7
10,55,5.5
11,55,5.5
12,57,5.7
13,43,4.3
14,26,2.6
15,77,7.7
16,59,5.9
17,45,4.5
18,24,2.4
19,36,3.6
20,22,2.2
21,35,3.5
22,34,3.4
23,43,4.3
24,66,6.6
25,59,5.9
26,41,4.1
27,36,3.6
28,28,2.8
29,36,3.6
30,21,2.1
31,21,2.1
32,35,3.5
33,30,3.0
34,23,2.3
35,13,1.3
36,12,1.2
37,21,2.1
38,21,2.1
39,30,3.0
40,19,1.9
41,32,3.2
42,12,1.2
43,10,1.0
44,21,2.1
45,40,4.0
46,20,2.0
47,35,3.5
48,26,2.6
49,22,2.2
50,27,2.7
51,21,2.1
52,26,2.6
53,22,2.2
54,26,2.6
55,22,2.2
56,30,3.0
57,31,3.1
58,26,2.6
59,31,3.1
60,22,2.2
61,23,2.3
62,14,1.4
63,43,4.3
64,26,2.6
65,30,3.0
66,10,1.0
67,18,1.8
68,21,2.1
69,26,2.6
70,26,2.6
71,29,2.9
72,32,3.2
73,16,1.6
74,24,2.4
75,25,2.5
76,18,1.8
77,15,1.5
78,19,1.9
79,35,3.5
80,24,2.4
81,11,1.1
82,20,2.0
83,10,1.0
84,16,1.6
85,27,2.7
86,43,4.3
87,12,1.2
88,22,2.2
89,28,2.8
90,33,3.3
91,27,2.7
92,22,2.2
93,36,3.6
94,18,1.8
95,9,0.9
96,13,1.3
97,15,1.5
98,37,3.7
99,23,2.3
100,14,1.4
101,16,1.6
102,13,1.3
103,12,1.2
104,34,3.4
105,24,2.4
106,27,2.7
107,18,1.8
108,31,3.1
109,40,4.0
110,21,2.1
111,14,1.4
112,30,3.0
113,16,1.6
114,28,2.8
115,25,2.5
116,30,3.0
117,22,2.2
118,36,3.6
119,35,3.5
120,21,2.1
121,18,1.8
122,28,2.8
123,14,1.4
124,25,2.5
125,13,1.3
126,21,2.1
127,48,4.8
128,30,3.0
129,23,2.3
130,10,1.0
131,17,1.7
132,13,1.3
133,19,1.9
134,10,1.0
135,13,1.3
136,8,0.8
137,13,1.3
138,25,2.5
139,10,1.0
140,6,0.6
141,9,0.9
142,9,0.9
143,18,1.8
144,31,3.1
145,19,1.9
146,12,1.2
147,19,1.9
148,31,3.1
149,31,3.1
150,7,0.7
151,20,2.0
152,4,0.4
153,4,0.4
154,11,1.1
155,8,0.8
156,9,0.9
157,30,3.0
158,27,2.7
159,24,2.4
160,13,1.3
161,6,0.6
162,23,2.3
163,13,1.3
164,17,1.7
165,11,1.1
166,18,1.8
167,15,1.5
168,24,2.4
169,23,2.3
170,15,1.5
171,21,2.1
172,16,1.6
173,17,1.7
174,20,2.0
175,26,2.6
176,27,2.7
177,18,1.8
178,41,4.1
179,19,1.9
180,12,1.2
181,33,3.3
182,21,2.1
183,12,1.2
184,20,2.0
185,21,2.1
186,38,3.8
187,28,2.8
188,34,3.4
189,17,1.7
190,18,1.8
191,34,3.4
192,41,4.1
193,21,2.1
194,14,1.4
195,33,3.3
196,20,2.0
197,16,1.6
198,37,3.7
199,12,1.2
200,23,2.3
201,31,3.1
202,35,3.5
203,59,5.9
204,16,1.6
205,23,2.3
206,24,2.4
207,18,1.8
208,18,1.8
209,16,1.6
210,11,1.1
211,8,0.8
212,15,1.5
213,17,1.7
214,10,1.0
215,14,1.4
216,17,1.7
217,23,2.3
218,24,2.4
219,15,1.5
220,13,1.3
221,17,1.7
222,25,2.5
223,20,2.0
224,19,1.9
225,16,1.6
226,11,1.1
227,21,2.1
228,10,1.0
229,11,1.1
230,8,0.8
231,9,0.9
232,13,1.3
233,18,1.8
234,13,1.3
235,12,1.2
236,19,1.9
237,25,2.5
238,19,1.9
239,28,2.8
240,27,2.7
241,14,1.4
242,26,2.6
243,39,3.9
244,58,5.8
245,22,2.2
246,18,1.8
247,37,3.7
