bin_10s,spike_count,firing_rate_hz
0,0,0.0
1,2,0.2
2,0,0.0
3,0,0.0
4,1,0.1
5,0,0.0
6,4,0.4
7,0,0.0
8,2,0.2
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,1,0.1
14,2,0.2
15,0,0.0
16,2,0.2
17,1,0.1
18,1,0.1
19,1,0.1
20,0,0.0
21,2,0.2
22,1,0.1
23,1,0.1
24,1,0.1
25,0,0.0
26,2,0.2
27,2,0.2
28,1,0.1
29,3,0.3
30,1,0.1
31,0,0.0
32,0,0.0
33,0,0.0
34,2,0.2
35,0,0.0
36,1,0.1
37,0,0.0
38,1,0.1
39,1,0.1
40,1,0.1
41,0,0.0
42,0,0.0
43,3,0.3
44,0,0.0
45,1,0.1
46,3,0.3
47,2,0.2
48,1,0.1
49,0,0.0
50,0,0.0
51,1,0.1
52,4,0.4
53,1,0.1
54,1,0.1
55,2,0.2
56,0,0.0
57,1,0.1
58,0,0.0
59,0,0.0
60,0,0.0
61,0,0.0
62,1,0.1
63,0,0.0
64,1,0.1
65,1,0.1
66,1,0.1
67,0,0.0
68,4,0.4
69,0,0.0
70,0,0.0
71,1,0.1
72,0,0.0
73,1,0.1
74,0,0.0
75,2,0.2
76,1,0.1
77,1,0.1
78,2,0.2
79,2,0.2
80,0,0.0
81,0,0.0
82,2,0.2
83,0,0.0
84,1,0.1
85,2,0.2
86,0,0.0
87,5,0.5
88,1,0.1
89,3,0.3
90,2,0.2
91,0,0.0
92,1,0.1
93,3,0.3
94,2,0.2
95,3,0.3
96,0,0.0
97,5,0.5
98,0,0.0
99,3,0.3
100,1,0.1
101,3,0.3
102,0,0.0
103,0,0.0
104,0,0.0
105,1,0.1
106,1,0.1
107,3,0.3
108,0,0.0
109,0,0.0
110,1,0.1
111,2,0.2
112,0,0.0
113,2,0.2
114,0,0.0
115,0,0.0
116,1,0.1
117,1,0.1
118,0,0.0
119,4,0.4
120,1,0.1
121,0,0.0
122,0,0.0
123,2,0.2
124,1,0.1
125,3,0.3
126,1,0.1
127,34,3.4
128,12,1.2
129,2,0.2
130,1,0.1
131,2,0.2
132,1,0.1
133,1,0.1
134,2,0.2
135,0,0.0
136,1,0.1
137,1,0.1
138,6,0.6
139,1,0.1
140,0,0.0
141,3,0.3
142,4,0.4
143,0,0.0
144,2,0.2
145,2,0.2
146,2,0.2
147,0,0.0
148,2,0.2
149,0,0.0
150,0,0.0
151,2,0.2
152,1,0.1
153,0,0.0
154,0,0.0
155,0,0.0
156,9,0.9
157,2,0.2
158,0,0.0
159,1,0.1
160,0,0.0
161,5,0.5
162,0,0.0
163,1,0.1
164,2,0.2
165,1,0.1
166,1,0.1
167,0,0.0
168,1,0.1
169,1,0.1
170,0,0.0
171,0,0.0
172,1,0.1
173,3,0.3
174,2,0.2
175,0,0.0
176,1,0.1
177,2,0.2
178,5,0.5
179,1,0.1
180,1,0.1
181,3,0.3
182,1,0.1
183,2,0.2
184,0,0.0
185,3,0.3
186,2,0.2
187,0,0.0
188,1,0.1
189,1,0.1
190,8,0.8
191,6,0.6
192,6,0.6
193,2,0.2
194,1,0.1
195,0,0.0
196,0,0.0
197,4,0.4
198,3,0.3
199,0,0.0
200,2,0.2
201,1,0.1
202,2,0.2
203,0,0.0
204,4,0.4
205,1,0.1
206,2,0.2
207,0,0.0
208,4,0.4
209,2,0.2
210,0,0.0
211,0,0.0
212,0,0.0
213,3,0.3
214,0,0.0
215,2,0.2
216,0,0.0
217,5,0.5
218,0,0.0
219,0,0.0
220,2,0.2
221,1,0.1
222,1,0.1
223,1,0.1
224,3,0.3
225,1,0.1
226,0,0.0
227,4,0.4
228,2,0.2
229,2,0.2
230,1,0.1
231,0,0.0
232,2,0.2
233,0,0.0
234,0,0.0
235,4,0.4
236,0,0.0
237,3,0.3
238,2,0.2
239,5,0.5
240,1,0.1
241,5,0.5
242,6,0.6
243,2,0.2
244,0,0.0
245,1,0.1
246,1,0.1
247,1,0.1
