bin_10s,spike_count,firing_rate_hz
0,6,0.6
1,5,0.5
2,3,0.3
3,4,0.4
4,1,0.1
5,2,0.2
6,2,0.2
7,5,0.5
8,3,0.3
9,4,0.4
10,4,0.4
11,3,0.3
12,0,0.0
13,5,0.5
14,2,0.2
15,4,0.4
16,1,0.1
17,3,0.3
18,1,0.1
19,6,0.6
20,3,0.3
21,0,0.0
22,4,0.4
23,0,0.0
24,10,1.0
25,2,0.2
26,8,0.8
27,5,0.5
28,1,0.1
29,6,0.6
30,4,0.4
31,8,0.8
32,1,0.1
33,5,0.5
34,3,0.3
35,0,0.0
36,2,0.2
37,4,0.4
38,9,0.9
39,3,0.3
40,3,0.3
41,3,0.3
42,1,0.1
43,5,0.5
44,6,0.6
45,6,0.6
46,1,0.1
47,3,0.3
48,1,0.1
49,3,0.3
50,5,0.5
51,4,0.4
52,4,0.4
53,6,0.6
54,2,0.2
55,5,0.5
56,8,0.8
57,11,1.1
58,12,1.2
59,5,0.5
60,2,0.2
61,10,1.0
62,5,0.5
63,2,0.2
64,3,0.3
65,5,0.5
66,4,0.4
67,8,0.8
68,4,0.4
69,5,0.5
70,5,0.5
71,5,0.5
72,3,0.3
73,2,0.2
74,3,0.3
75,4,0.4
76,1,0.1
77,0,0.0
78,3,0.3
79,5,0.5
80,5,0.5
81,2,0.2
82,2,0.2
83,3,0.3
84,1,0.1
85,13,1.3
86,6,0.6
87,11,1.1
88,4,0.4
89,7,0.7
90,13,1.3
91,4,0.4
92,4,0.4
93,5,0.5
94,1,0.1
95,5,0.5
96,11,1.1
97,9,0.9
98,11,1.1
99,5,0.5
100,5,0.5
101,1,0.1
102,3,0.3
103,4,0.4
104,2,0.2
105,6,0.6
106,4,0.4
107,3,0.3
108,2,0.2
109,1,0.1
110,2,0.2
111,4,0.4
112,4,0.4
113,0,0.0
114,3,0.3
115,3,0.3
116,8,0.8
117,3,0.3
118,2,0.2
119,12,1.2
120,2,0.2
121,12,1.2
122,6,0.6
123,7,0.7
124,12,1.2
125,5,0.5
126,7,0.7
127,14,1.4
128,12,1.2
129,1,0.1
130,8,0.8
131,3,0.3
132,12,1.2
133,6,0.6
134,6,0.6
135,9,0.9
136,1,0.1
137,3,0.3
138,7,0.7
139,2,0.2
140,11,1.1
141,5,0.5
142,4,0.4
143,1,0.1
144,4,0.4
145,0,0.0
146,5,0.5
147,3,0.3
148,2,0.2
149,4,0.4
150,1,0.1
151,1,0.1
152,6,0.6
153,4,0.4
154,4,0.4
155,0,0.0
156,3,0.3
157,10,1.0
158,2,0.2
159,2,0.2
160,2,0.2
161,3,0.3
162,2,0.2
163,2,0.2
164,0,0.0
165,1,0.1
166,1,0.1
167,0,0.0
168,7,0.7
169,2,0.2
170,6,0.6
171,6,0.6
172,4,0.4
173,3,0.3
174,5,0.5
175,1,0.1
176,1,0.1
177,3,0.3
178,1,0.1
179,10,1.0
180,2,0.2
181,2,0.2
182,4,0.4
183,13,1.3
184,6,0.6
185,3,0.3
186,4,0.4
187,5,0.5
188,14,1.4
189,5,0.5
190,2,0.2
191,1,0.1
192,7,0.7
193,3,0.3
194,1,0.1
195,3,0.3
196,5,0.5
197,8,0.8
198,8,0.8
199,5,0.5
200,5,0.5
201,6,0.6
202,4,0.4
203,5,0.5
204,0,0.0
205,4,0.4
206,5,0.5
207,2,0.2
208,5,0.5
209,6,0.6
210,6,0.6
211,4,0.4
212,6,0.6
213,5,0.5
214,2,0.2
215,5,0.5
216,4,0.4
217,6,0.6
218,7,0.7
219,7,0.7
220,3,0.3
221,2,0.2
222,3,0.3
223,4,0.4
224,9,0.9
225,3,0.3
226,7,0.7
227,4,0.4
228,6,0.6
229,4,0.4
230,3,0.3
231,3,0.3
232,5,0.5
233,9,0.9
234,1,0.1
235,2,0.2
236,7,0.7
237,3,0.3
238,2,0.2
239,4,0.4
240,3,0.3
241,4,0.4
242,4,0.4
243,3,0.3
244,3,0.3
245,2,0.2
246,3,0.3
247,2,0.2
