bin_10s,spike_count,firing_rate_hz
0,6,0.6
1,2,0.2
2,4,0.4
3,11,1.1
4,7,0.7
5,7,0.7
6,18,1.8
7,12,1.2
8,12,1.2
9,4,0.4
10,7,0.7
11,6,0.6
12,3,0.3
13,6,0.6
14,4,0.4
15,0,0.0
16,6,0.6
17,4,0.4
18,16,1.6
19,6,0.6
20,6,0.6
21,6,0.6
22,6,0.6
23,6,0.6
24,2,0.2
25,3,0.3
26,2,0.2
27,7,0.7
28,4,0.4
29,9,0.9
30,9,0.9
31,5,0.5
32,5,0.5
33,6,0.6
34,5,0.5
35,9,0.9
36,7,0.7
37,10,1.0
38,7,0.7
39,1,0.1
40,5,0.5
41,3,0.3
42,4,0.4
43,3,0.3
44,5,0.5
45,4,0.4
46,6,0.6
47,6,0.6
48,2,0.2
49,5,0.5
50,6,0.6
51,4,0.4
52,7,0.7
53,5,0.5
54,5,0.5
55,4,0.4
56,4,0.4
57,8,0.8
58,6,0.6
59,3,0.3
60,7,0.7
61,9,0.9
62,2,0.2
63,6,0.6
64,2,0.2
65,2,0.2
66,3,0.3
67,2,0.2
68,3,0.3
69,7,0.7
70,13,1.3
71,3,0.3
72,8,0.8
73,3,0.3
74,5,0.5
75,4,0.4
76,5,0.5
77,3,0.3
78,5,0.5
79,2,0.2
80,3,0.3
81,4,0.4
82,2,0.2
83,5,0.5
84,3,0.3
85,6,0.6
86,2,0.2
87,7,0.7
88,5,0.5
89,4,0.4
90,7,0.7
91,3,0.3
92,3,0.3
93,5,0.5
94,6,0.6
95,6,0.6
96,4,0.4
97,6,0.6
98,3,0.3
99,3,0.3
100,4,0.4
101,1,0.1
102,14,1.4
103,2,0.2
104,3,0.3
105,3,0.3
106,1,0.1
107,3,0.3
108,7,0.7
109,9,0.9
110,8,0.8
111,9,0.9
112,3,0.3
113,2,0.2
114,9,0.9
115,6,0.6
116,4,0.4
117,4,0.4
118,9,0.9
119,4,0.4
120,2,0.2
121,3,0.3
122,5,0.5
123,7,0.7
124,3,0.3
125,10,1.0
126,5,0.5
127,9,0.9
128,6,0.6
129,0,0.0
130,5,0.5
131,11,1.1
132,7,0.7
133,4,0.4
134,5,0.5
135,9,0.9
136,7,0.7
137,3,0.3
138,5,0.5
139,10,1.0
140,1,0.1
141,4,0.4
142,6,0.6
143,4,0.4
144,5,0.5
145,2,0.2
146,6,0.6
147,6,0.6
148,2,0.2
149,2,0.2
150,5,0.5
151,9,0.9
152,9,0.9
153,8,0.8
154,0,0.0
155,7,0.7
156,5,0.5
157,2,0.2
158,1,0.1
159,3,0.3
160,1,0.1
161,9,0.9
162,3,0.3
163,4,0.4
164,5,0.5
165,1,0.1
166,3,0.3
167,5,0.5
168,5,0.5
169,5,0.5
170,5,0.5
171,7,0.7
172,5,0.5
173,2,0.2
174,3,0.3
175,8,0.8
176,4,0.4
177,4,0.4
178,5,0.5
179,3,0.3
180,5,0.5
181,1,0.1
182,4,0.4
183,4,0.4
184,3,0.3
185,4,0.4
186,3,0.3
187,5,0.5
188,5,0.5
189,6,0.6
190,6,0.6
191,5,0.5
192,20,2.0
193,6,0.6
194,4,0.4
195,4,0.4
196,1,0.1
197,5,0.5
198,6,0.6
199,3,0.3
200,9,0.9
201,4,0.4
202,6,0.6
203,8,0.8
204,10,1.0
205,3,0.3
206,5,0.5
207,8,0.8
208,4,0.4
209,2,0.2
210,4,0.4
211,8,0.8
212,4,0.4
213,7,0.7
214,3,0.3
215,3,0.3
216,6,0.6
217,8,0.8
218,3,0.3
219,4,0.4
220,6,0.6
221,4,0.4
222,5,0.5
223,9,0.9
224,7,0.7
225,6,0.6
226,9,0.9
227,6,0.6
228,7,0.7
229,9,0.9
230,3,0.3
231,7,0.7
232,9,0.9
233,5,0.5
234,9,0.9
235,2,0.2
236,7,0.7
237,4,0.4
238,4,0.4
239,3,0.3
240,5,0.5
241,4,0.4
242,1,0.1
243,10,1.0
244,6,0.6
245,2,0.2
246,9,0.9
247,4,0.4
