bin_10s,spike_count,firing_rate_hz
0,1,0.1
1,2,0.2
2,0,0.0
3,3,0.3
4,2,0.2
5,1,0.1
6,2,0.2
7,0,0.0
8,1,0.1
9,0,0.0
10,0,0.0
11,0,0.0
12,2,0.2
13,0,0.0
14,1,0.1
15,0,0.0
16,0,0.0
17,1,0.1
18,0,0.0
19,2,0.2
20,0,0.0
21,3,0.3
22,0,0.0
23,4,0.4
24,3,0.3
25,2,0.2
26,3,0.3
27,1,0.1
28,2,0.2
29,0,0.0
30,2,0.2
31,3,0.3
32,0,0.0
33,1,0.1
34,1,0.1
35,1,0.1
36,1,0.1
37,2,0.2
38,2,0.2
39,4,0.4
40,0,0.0
41,2,0.2
42,0,0.0
43,1,0.1
44,1,0.1
45,3,0.3
46,3,0.3
47,1,0.1
48,0,0.0
49,0,0.0
50,0,0.0
51,3,0.3
52,1,0.1
53,1,0.1
54,3,0.3
55,4,0.4
56,6,0.6
57,2,0.2
58,2,0.2
59,3,0.3
60,1,0.1
61,1,0.1
62,5,0.5
63,4,0.4
64,0,0.0
65,2,0.2
66,2,0.2
67,1,0.1
68,1,0.1
69,0,0.0
70,0,0.0
71,1,0.1
72,2,0.2
73,1,0.1
74,2,0.2
75,2,0.2
76,1,0.1
77,1,0.1
78,1,0.1
79,2,0.2
80,0,0.0
81,0,0.0
82,1,0.1
83,0,0.0
84,0,0.0
85,3,0.3
86,2,0.2
87,9,0.9
88,3,0.3
89,4,0.4
90,4,0.4
91,1,0.1
92,0,0.0
93,1,0.1
94,5,0.5
95,2,0.2
96,2,0.2
97,3,0.3
98,1,0.1
99,1,0.1
100,1,0.1
101,1,0.1
102,5,0.5
103,4,0.4
104,1,0.1
105,4,0.4
106,2,0.2
107,2,0.2
108,0,0.0
109,5,0.5
110,0,0.0
111,4,0.4
112,2,0.2
113,4,0.4
114,2,0.2
115,1,0.1
116,1,0.1
117,0,0.0
118,2,0.2
119,6,0.6
120,2,0.2
121,2,0.2
122,4,0.4
123,0,0.0
124,1,0.1
125,1,0.1
126,4,0.4
127,22,2.2
128,17,1.7
129,7,0.7
130,4,0.4
131,3,0.3
132,3,0.3
133,1,0.1
134,4,0.4
135,4,0.4
136,1,0.1
137,0,0.0
138,3,0.3
139,0,0.0
140,1,0.1
141,2,0.2
142,5,0.5
143,3,0.3
144,2,0.2
145,1,0.1
146,2,0.2
147,0,0.0
148,0,0.0
149,1,0.1
150,0,0.0
151,0,0.0
152,3,0.3
153,0,0.0
154,1,0.1
155,3,0.3
156,1,0.1
157,0,0.0
158,5,0.5
159,3,0.3
160,4,0.4
161,2,0.2
162,4,0.4
163,2,0.2
164,1,0.1
165,2,0.2
166,2,0.2
167,1,0.1
168,4,0.4
169,4,0.4
170,1,0.1
171,3,0.3
172,2,0.2
173,3,0.3
174,0,0.0
175,3,0.3
176,3,0.3
177,2,0.2
178,3,0.3
179,3,0.3
180,2,0.2
181,0,0.0
182,3,0.3
183,1,0.1
184,1,0.1
185,1,0.1
186,2,0.2
187,0,0.0
188,2,0.2
189,2,0.2
190,7,0.7
191,3,0.3
192,2,0.2
193,1,0.1
194,4,0.4
195,0,0.0
196,2,0.2
197,8,0.8
198,6,0.6
199,4,0.4
200,1,0.1
201,2,0.2
202,2,0.2
203,4,0.4
204,2,0.2
205,0,0.0
206,2,0.2
207,3,0.3
208,3,0.3
209,3,0.3
210,4,0.4
211,8,0.8
212,0,0.0
213,4,0.4
214,1,0.1
215,3,0.3
216,1,0.1
217,6,0.6
218,1,0.1
219,3,0.3
220,2,0.2
221,0,0.0
222,3,0.3
223,3,0.3
224,2,0.2
225,1,0.1
226,2,0.2
227,2,0.2
228,1,0.1
229,4,0.4
230,2,0.2
231,1,0.1
232,2,0.2
233,0,0.0
234,0,0.0
235,2,0.2
236,1,0.1
237,1,0.1
238,4,0.4
239,2,0.2
240,3,0.3
241,2,0.2
242,6,0.6
243,2,0.2
244,3,0.3
245,1,0.1
246,3,0.3
247,2,0.2
