bin_10s,spike_count,firing_rate_hz
0,9,0.9
1,6,0.6
2,4,0.4
3,1,0.1
4,3,0.3
5,8,0.8
6,2,0.2
7,0,0.0
8,1,0.1
9,9,0.9
10,6,0.6
11,8,0.8
12,6,0.6
13,5,0.5
14,0,0.0
15,0,0.0
16,0,0.0
17,3,0.3
18,1,0.1
19,0,0.0
20,5,0.5
21,3,0.3
22,2,0.2
23,7,0.7
24,2,0.2
25,0,0.0
26,1,0.1
27,0,0.0
28,20,2.0
29,7,0.7
30,2,0.2
31,4,0.4
32,4,0.4
33,5,0.5
34,4,0.4
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,4,0.4
40,6,0.6
41,7,0.7
42,12,1.2
43,0,0.0
44,1,0.1
45,2,0.2
46,0,0.0
47,0,0.0
48,0,0.0
49,1,0.1
50,3,0.3
51,2,0.2
52,12,1.2
53,11,1.1
54,9,0.9
55,0,0.0
56,3,0.3
57,2,0.2
58,1,0.1
59,0,0.0
60,8,0.8
61,0,0.0
62,2,0.2
63,3,0.3
64,1,0.1
65,12,1.2
66,23,2.3
67,13,1.3
68,4,0.4
69,6,0.6
70,0,0.0
71,16,1.6
72,7,0.7
73,3,0.3
74,1,0.1
75,8,0.8
76,10,1.0
77,7,0.7
78,8,0.8
79,0,0.0
80,5,0.5
81,2,0.2
82,1,0.1
83,1,0.1
84,5,0.5
85,9,0.9
86,13,1.3
87,3,0.3
88,10,1.0
89,8,0.8
90,3,0.3
91,0,0.0
92,0,0.0
93,0,0.0
94,0,0.0
95,4,0.4
96,1,0.1
97,3,0.3
98,4,0.4
99,1,0.1
100,5,0.5
101,30,3.0
102,8,0.8
103,9,0.9
104,0,0.0
105,0,0.0
106,7,0.7
107,6,0.6
108,0,0.0
109,2,0.2
110,10,1.0
111,3,0.3
112,2,0.2
113,2,0.2
114,4,0.4
115,3,0.3
116,2,0.2
117,22,2.2
118,14,1.4
119,1,0.1
120,9,0.9
121,7,0.7
122,6,0.6
123,4,0.4
124,6,0.6
125,5,0.5
126,4,0.4
127,0,0.0
128,1,0.1
129,11,1.1
130,5,0.5
131,0,0.0
132,0,0.0
133,6,0.6
134,2,0.2
135,2,0.2
136,1,0.1
137,0,0.0
138,20,2.0
139,8,0.8
140,10,1.0
141,3,0.3
142,9,0.9
143,8,0.8
144,7,0.7
145,8,0.8
146,4,0.4
147,1,0.1
148,0,0.0
149,0,0.0
150,0,0.0
151,6,0.6
152,3,0.3
153,4,0.4
154,4,0.4
155,3,0.3
156,4,0.4
157,5,0.5
158,3,0.3
159,1,0.1
160,1,0.1
161,0,0.0
162,3,0.3
163,7,0.7
164,6,0.6
165,17,1.7
166,12,1.2
167,0,0.0
168,2,0.2
169,0,0.0
170,0,0.0
171,16,1.6
172,8,0.8
173,0,0.0
174,0,0.0
175,3,0.3
176,0,0.0
177,3,0.3
178,0,0.0
179,2,0.2
180,0,0.0
181,1,0.1
182,3,0.3
183,5,0.5
184,3,0.3
185,0,0.0
186,1,0.1
187,19,1.9
188,3,0.3
189,0,0.0
190,1,0.1
191,1,0.1
192,1,0.1
193,0,0.0
194,0,0.0
195,0,0.0
196,0,0.0
197,0,0.0
198,1,0.1
199,0,0.0
200,1,0.1
201,0,0.0
202,0,0.0
203,0,0.0
204,0,0.0
205,6,0.6
206,0,0.0
207,0,0.0
208,5,0.5
209,7,0.7
210,4,0.4
211,0,0.0
212,1,0.1
213,7,0.7
214,1,0.1
215,1,0.1
216,1,0.1
217,0,0.0
218,7,0.7
219,2,0.2
220,3,0.3
221,1,0.1
222,1,0.1
223,4,0.4
224,15,1.5
225,18,1.8
226,3,0.3
227,7,0.7
228,1,0.1
229,3,0.3
230,0,0.0
231,1,0.1
232,0,0.0
233,0,0.0
234,1,0.1
235,2,0.2
236,0,0.0
237,3,0.3
238,3,0.3
239,0,0.0
240,23,2.3
241,3,0.3
242,4,0.4
243,2,0.2
244,18,1.8
245,17,1.7
246,26,2.6
247,13,1.3
