units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,29.7809,0.1369,136.8999
1,29.8420,0.1980,197.9999
1,29.8815,0.2375,237.4999
1,30.4750,0.8310,830.9999
1,31.1668,1.5228,1522.7999
1,31.4089,1.7649,1764.8999
1,31.5870,1.9430,1942.9999
1,31.7006,2.0566,2056.5999
1,31.7373,2.0933,2093.2999
1,31.7439,2.0999,2099.8999
1,31.7758,2.1318,2131.7999
1,32.0945,2.4505,2450.4999
1,32.2072,2.5632,2563.1999
1,32.4926,2.8486,2848.5999
1,32.6643,3.0203,3020.2999
1,32.8675,3.2235,3223.4999
1,33.0950,3.4510,3450.9999
1,33.1441,3.5001,3500.0999
1,33.3240,3.6800,3679.9999
1,33.5722,3.9282,3928.1999
1,33.5886,3.9446,3944.5999
1,33.6505,4.0065,4006.4999
1,33.8108,4.1668,4166.7999
1,34.2080,4.5640,4563.9999
1,34.4110,4.7670,4766.9999
1,35.1415,5.4975,5497.4999
1,35.1959,5.5519,5551.8999
1,35.2654,5.6214,5621.3999
1,35.2949,5.6509,5650.8999
1,35.3326,5.6886,5688.5999
1,35.3593,5.7153,5715.2999
1,35.4432,5.7992,5799.1999
1,35.4653,5.8213,5821.2999
1,35.7914,6.1474,6147.3999
1,35.8688,6.2248,6224.7999
1,36.2341,6.5901,6590.0999
1,36.5892,6.9452,6945.1999
1,37.1310,7.4870,7486.9999
1,37.2239,7.5799,7579.8999
1,37.2463,7.6023,7602.2999
1,37.2708,7.6268,7626.7999
1,37.3333,7.6893,7689.2999
1,38.6032,8.9592,8959.1999
1,38.7565,9.1125,9112.4999
1,39.2165,9.5725,9572.4999
1,39.2770,9.6330,9632.9999
1,39.3741,9.7301,9730.0999
1,39.3760,9.7320,9731.9999
1,39.3789,9.7349,9734.8999
1,39.3842,9.7402,9740.1999
1,39.5988,9.9548,9954.7999
1,40.3541,10.7101,10710.0999
1,40.4355,10.7915,10791.4999
1,40.5281,10.8841,10884.0999
1,40.6367,10.9927,10992.6999
1,41.0997,11.4557,11455.6999
1,41.1437,11.4997,11499.6999
1,41.3279,11.6839,11683.8999
1,42.1306,12.4866,12486.5999
1,42.3305,12.6865,12686.4999
1,42.4030,12.7590,12758.9999
1,42.4710,12.8270,12826.9999
1,42.5165,12.8725,12872.4999
1,42.5744,12.9304,12930.3999
1,42.6754,13.0314,13031.3999
1,43.1047,13.4607,13460.6999
1,43.1522,13.5082,13508.1999
1,43.1969,13.5529,13552.8999
1,43.2722,13.6282,13628.1999
1,43.6662,14.0222,14022.1999
1,43.8936,14.2496,14249.5999
1,44.4171,14.7731,14773.0999
1,44.8650,15.2210,15220.9999
1,44.8895,15.2455,15245.4999
1,51.2115,21.5675,21567.4999
1,51.2194,21.5754,21575.3999
1,51.2469,21.6029,21602.8999
1,51.2489,21.6049,21604.8999
1,51.2605,21.6165,21616.4999
1,51.2856,21.6416,21641.5999
1,51.2987,21.6547,21654.6999
1,51.3141,21.6701,21670.0999
1,51.3739,21.7299,21729.8999
1,51.3959,21.7519,21751.8999
1,51.8820,22.2380,22237.9999
1,52.0411,22.3971,22397.0999
1,52.3552,22.7112,22711.1999
1,53.0198,23.3758,23375.7999
1,53.1004,23.4564,23456.3999
1,53.3258,23.6818,23681.7999
1,53.3481,23.7041,23704.0999
1,53.4367,23.7927,23792.6999
1,53.7987,24.1547,24154.6999
1,53.8491,24.2051,24205.0999
1,54.7360,25.0920,25091.9999
1,54.7533,25.1093,25109.2999
1,54.7594,25.1154,25115.3999
1,54.9673,25.3233,25323.2999
1,55.1716,25.5276,25527.5999
1,55.3819,25.7379,25737.8999
1,55.4424,25.7984,25798.3999
1,55.5436,25.8996,25899.5999
1,55.5601,25.9161,25916.0999
1,56.2597,26.6157,26615.6999
1,56.3003,26.6563,26656.2999
1,56.4130,26.7690,26768.9999
1,56.4489,26.8049,26804.8999
1,56.4930,26.8490,26848.9999
1,56.8617,27.2177,27217.6999
1,57.4954,27.8514,27851.3999
1,57.8422,28.1982,28198.1999
1,58.0612,28.4172,28417.1999
1,58.1306,28.4866,28486.5999
1,58.1979,28.5539,28553.8999
1,58.3231,28.6791,28679.0999
1,58.3561,28.7121,28712.0999
1,58.3624,28.7184,28718.3999
1,58.3812,28.7372,28737.1999
1,58.3988,28.7548,28754.7999
1,58.7735,29.1295,29129.4999
1,58.8017,29.1577,29157.6999
1,59.0205,29.3765,29376.4999
1,59.2884,29.6444,29644.3999
1,59.5336,29.8896,29889.5999
1,59.5563,29.9123,29912.2999
1,59.9938,30.3498,30349.7999
1,60.0486,30.4046,30404.5999
1,60.8449,31.2009,31200.8999
1,61.0577,31.4137,31413.6999
1,61.1792,31.5352,31535.1999
1,61.2040,31.5600,31559.9999
1,61.2226,31.5786,31578.5999
1,61.3481,31.7041,31704.0999
1,61.7042,32.0602,32060.1999
1,62.1503,32.5063,32506.2999
1,62.2770,32.6330,32632.9999
1,62.3728,32.7288,32728.7999
1,62.4346,32.7906,32790.5999
1,62.5813,32.9373,32937.2999
1,66.3338,36.6898,36689.7999
1,66.3997,36.7557,36755.6999
1,66.5653,36.9213,36921.2999
1,66.5983,36.9543,36954.2999
1,67.0215,37.3775,37377.4999
1,67.1546,37.5106,37510.5999
1,67.2795,37.6355,37635.4999
1,67.4021,37.7581,37758.0999
1,67.4589,37.8149,37814.8999
1,67.6266,37.9826,37982.5999
1,67.7833,38.1393,38139.2999
1,67.9371,38.2931,38293.0999
1,68.1123,38.4683,38468.2999
1,68.1808,38.5368,38536.7999
1,68.2118,38.5678,38567.7999
1,68.5648,38.9208,38920.7999
1,68.7842,39.1402,39140.1999
1,69.0344,39.3904,39390.3999
1,69.0970,39.4530,39452.9999
1,69.7769,40.1329,40132.8999
1,69.8154,40.1714,40171.3999
1,70.3344,40.6904,40690.3999
1,70.3532,40.7092,40709.1999
1,70.4139,40.7699,40769.8999
1,70.4456,40.8016,40801.5999
1,70.5006,40.8566,40856.5999
1,70.6792,41.0352,41035.1999
1,70.8305,41.1865,41186.4999
1,70.9150,41.2710,41270.9999
1,71.0346,41.3906,41390.5999
1,71.1433,41.4993,41499.2999
1,71.2485,41.6045,41604.4999
1,71.4791,41.8351,41835.0999
1,71.8660,42.2220,42221.9999
1,71.9155,42.2715,42271.4999
1,71.9835,42.3395,42339.4999
1,72.0775,42.4335,42433.4999
1,72.3067,42.6627,42662.6999
1,72.4005,42.7565,42756.4999
1,72.4346,42.7906,42790.5999
1,72.5075,42.8635,42863.4999
1,72.6685,43.0245,43024.4999
1,72.6840,43.0400,43039.9999
1,72.7604,43.1164,43116.3999
1,73.1266,43.4826,43482.5999
1,73.3305,43.6865,43686.4999
1,73.3931,43.7491,43749.0999
1,73.7279,44.0839,44083.8999
1,73.7378,44.0938,44093.7999
1,73.7811,44.1371,44137.0999
1,73.9311,44.2871,44287.0999
1,73.9704,44.3264,44326.3999
1,74.0151,44.3711,44371.0999
1,74.0525,44.4085,44408.4999
1,74.2003,44.5563,44556.2999
1,74.2133,44.5693,44569.2999
1,74.2387,44.5947,44594.6999
1,74.7309,45.0869,45086.8999
1,74.9563,45.3123,45312.2999
1,74.9756,45.3316,45331.5999
1,75.0785,45.4345,45434.4999
1,75.1417,45.4977,45497.6999
1,75.1768,45.5328,45532.7999
1,75.2218,45.5778,45577.7999
1,75.3035,45.6595,45659.4999
1,75.3588,45.7148,45714.7999
1,75.9883,46.3443,46344.2999
1,76.0118,46.3678,46367.7999
1,76.1220,46.4780,46477.9999
1,76.3041,46.6601,46660.0999
1,76.5574,46.9134,46913.3999
1,76.6193,46.9753,46975.2999
1,76.7643,47.1203,47120.2999
1,77.4020,47.7580,47757.9999
1,77.4172,47.7732,47773.1999
1,77.5635,47.9195,47919.4999
1,77.9684,48.3244,48324.3999
1,78.0694,48.4254,48425.3999
1,78.0890,48.4450,48444.9999
1,78.1307,48.4867,48486.6999
1,78.7846,49.1406,49140.5999
1,78.8989,49.2549,49254.8999
1,78.9133,49.2693,49269.2999
1,78.9149,49.2709,49270.8999
1,79.3517,49.7077,49707.6999
1,79.5585,49.9145,49914.4999
1,79.7383,50.0943,50094.2999
1,79.7866,50.1426,50142.5999
1,80.0127,50.3687,50368.6999
1,80.0589,50.4149,50414.8999
1,80.0708,50.4268,50426.7999
1,80.1004,50.4564,50456.3999
1,80.1641,50.5201,50520.0999
1,80.2610,50.6170,50616.9999
1,80.9647,51.3207,51320.6999
1,81.2441,51.6001,51600.0999
1,81.4016,51.7576,51757.5999
1,81.4367,51.7927,51792.6999
1,81.7416,52.0976,52097.5999
1,81.9843,52.3403,52340.2999
1,82.1211,52.4771,52477.0999
1,82.1738,52.5298,52529.7999
1,82.2019,52.5579,52557.8999
1,82.4740,52.8300,52829.9999
1,82.5063,52.8623,52862.2999
1,82.7308,53.0868,53086.7999
1,82.7527,53.1087,53108.6999
1,82.9081,53.2641,53264.0999
1,82.9987,53.3547,53354.6999
1,83.7547,54.1107,54110.6999
1,83.9727,54.3287,54328.6999
1,84.0394,54.3954,54395.3999
1,84.1639,54.5199,54519.8999
1,84.5074,54.8634,54863.3999
1,84.7573,55.1133,55113.2999
1,84.8244,55.1804,55180.3999
1,84.9421,55.2981,55298.0999
1,85.0174,55.3734,55373.3999
1,85.2656,55.6216,55621.5999
1,85.4582,55.8142,55814.1999
1,85.7352,56.0912,56091.1999
1,85.7965,56.1525,56152.4999
1,85.8232,56.1792,56179.1999
1,85.8600,56.2160,56215.9999
1,85.9303,56.2863,56286.2999
1,85.9347,56.2907,56290.6999
1,86.2280,56.5840,56583.9999
1,86.3883,56.7443,56744.2999
1,86.3912,56.7472,56747.1999
1,86.6928,57.0488,57048.7999
1,86.7425,57.0985,57098.4999
1,86.7802,57.1362,57136.1999
1,87.1377,57.4937,57493.6999
1,87.1577,57.5137,57513.6999
1,87.1613,57.5173,57517.2999
1,87.2497,57.6057,57605.6999
1,87.2658,57.6218,57621.7999
1,87.3895,57.7455,57745.4999
1,87.4227,57.7787,57778.6999
1,87.5275,57.8835,57883.4999
1,87.5706,57.9266,57926.5999
1,87.6552,58.0112,58011.1999
1,87.7065,58.0625,58062.4999
1,87.7744,58.1304,58130.3999
1,87.8186,58.1746,58174.5999
1,87.8820,58.2380,58237.9999
1,87.8895,58.2455,58245.4999
1,87.9340,58.2900,58289.9999
1,87.9617,58.3177,58317.6999
1,87.9875,58.3435,58343.4999
1,88.0500,58.4060,58405.9999
1,88.1060,58.4620,58461.9999
1,88.1287,58.4847,58484.6999
1,88.1434,58.4994,58499.3999
1,88.2178,58.5738,58573.7999
1,88.3086,58.6646,58664.5999
1,88.3151,58.6711,58671.0999
1,88.3450,58.7010,58700.9999
1,88.3915,58.7475,58747.4999
1,88.4033,58.7593,58759.2999
1,88.4796,58.8356,58835.5999
1,88.8269,59.1829,59182.8999
