units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
3,29.6662,0.0222,22.1999
3,29.7591,0.1151,115.0999
3,29.7745,0.1305,130.4999
3,29.8684,0.2244,224.3999
3,29.9541,0.3101,310.0999
3,29.9770,0.3330,332.9999
3,30.0411,0.3971,397.0999
3,30.2476,0.6036,603.5999
3,31.3090,1.6650,1664.9999
3,31.3375,1.6935,1693.4999
3,31.6072,1.9632,1963.1999
3,31.6273,1.9833,1983.2999
3,31.6452,2.0012,2001.1999
3,32.2392,2.5952,2595.1999
3,32.2828,2.6388,2638.7999
3,32.3027,2.6587,2658.6999
3,32.3585,2.7145,2714.4999
3,32.3714,2.7274,2727.3999
3,32.3952,2.7512,2751.1999
3,32.4022,2.7582,2758.1999
3,32.4112,2.7672,2767.1999
3,32.4535,2.8095,2809.4999
3,32.4741,2.8301,2830.0999
3,32.4912,2.8472,2847.1999
3,32.5055,2.8615,2861.4999
3,32.5331,2.8891,2889.0999
3,32.5881,2.9441,2944.0999
3,34.4104,4.7664,4766.3999
3,34.4340,4.7900,4789.9999
3,34.4888,4.8448,4844.7999
3,34.5757,4.9317,4931.6999
3,34.6914,5.0474,5047.3999
3,34.7023,5.0583,5058.2999
3,34.8795,5.2355,5235.4999
3,34.8925,5.2485,5248.4999
3,34.8990,5.2550,5254.9999
3,34.9189,5.2749,5274.8999
3,34.9517,5.3077,5307.6999
3,34.9825,5.3385,5338.4999
3,34.9881,5.3441,5344.0999
3,35.0215,5.3775,5377.4999
3,35.1049,5.4609,5460.8999
3,35.2994,5.6554,5655.3999
3,35.4314,5.7874,5787.3999
3,35.5014,5.8574,5857.3999
3,35.5180,5.8740,5873.9999
3,35.5536,5.9096,5909.5999
3,35.5706,5.9266,5926.5999
3,35.6050,5.9610,5960.9999
3,35.6194,5.9754,5975.3999
3,35.6256,5.9816,5981.5999
3,35.6392,5.9952,5995.1999
3,35.6610,6.0170,6016.9999
3,35.6806,6.0366,6036.5999
3,36.1407,6.4967,6496.6999
3,36.1518,6.5078,6507.7999
3,36.1730,6.5290,6528.9999
3,36.2408,6.5968,6596.7999
3,36.2695,6.6255,6625.4999
3,36.6658,7.0218,7021.7999
3,37.1650,7.5210,7520.9999
3,37.1891,7.5451,7545.0999
3,38.3199,8.6759,8675.8999
3,38.3390,8.6950,8694.9999
3,38.6937,9.0497,9049.6999
3,38.7233,9.0793,9079.2999
3,38.7350,9.0910,9090.9999
3,38.7519,9.1079,9107.8999
3,38.7754,9.1314,9131.3999
3,38.7934,9.1494,9149.3999
3,38.8431,9.1991,9199.0999
3,38.8579,9.2139,9213.8999
3,39.0289,9.3849,9384.8999
3,40.9859,11.3419,11341.8999
3,41.0416,11.3976,11397.5999
3,41.0885,11.4445,11444.4999
3,41.3485,11.7045,11704.4999
3,41.3904,11.7464,11746.3999
3,41.4699,11.8259,11825.8999
3,41.9984,12.3544,12354.3999
3,42.0033,12.3593,12359.2999
3,42.0111,12.3671,12367.0999
3,42.0655,12.4215,12421.4999
3,42.0814,12.4374,12437.3999
3,42.0969,12.4529,12452.8999
3,42.2135,12.5695,12569.4999
3,42.2366,12.5926,12592.5999
3,42.2500,12.6060,12605.9999
3,42.2700,12.6260,12625.9999
3,42.3224,12.6784,12678.3999
3,42.3507,12.7067,12706.6999
3,42.3902,12.7462,12746.1999
3,42.4119,12.7679,12767.8999
3,42.6890,13.0450,13044.9999
3,42.7824,13.1384,13138.3999
3,42.8593,13.2153,13215.2999
3,43.0922,13.4482,13448.1999
3,43.6357,13.9917,13991.6999
3,43.7176,14.0736,14073.5999
3,43.7265,14.0825,14082.4999
3,43.7460,14.1020,14101.9999
3,43.7904,14.1464,14146.3999
3,43.8171,14.1731,14173.0999
3,43.9961,14.3521,14352.0999
3,45.4524,15.8084,15808.3999
3,45.8905,16.2465,16246.4999
3,46.3168,16.6728,16672.7999
3,46.3784,16.7344,16734.3999
3,46.6426,16.9986,16998.5999
3,46.6958,17.0518,17051.7999
3,46.7845,17.1405,17140.4999
3,46.8167,17.1727,17172.6999
3,46.8568,17.2128,17212.7999
3,46.8722,17.2282,17228.1999
3,46.8840,17.2400,17239.9999
3,47.2405,17.5965,17596.4999
3,47.2524,17.6084,17608.3999
3,49.0356,19.3916,19391.5999
3,51.0795,21.4355,21435.4999
3,51.0937,21.4497,21449.6999
3,51.4145,21.7705,21770.4999
3,51.8622,22.2182,22218.1999
3,52.2026,22.5586,22558.5999
3,56.4064,26.7624,26762.3999
3,56.4509,26.8069,26806.8999
3,56.9144,27.2704,27270.3999
3,57.6848,28.0408,28040.7999
3,57.7160,28.0720,28071.9999
3,57.7331,28.0891,28089.0999
3,57.8424,28.1984,28198.3999
3,57.8863,28.2423,28242.2999
3,59.0032,29.3592,29359.1999
3,59.3289,29.6849,29684.8999
3,59.4522,29.8082,29808.1999
3,59.4807,29.8367,29836.6999
3,60.0631,30.4191,30419.0999
3,60.1639,30.5199,30519.8999
3,60.2574,30.6134,30613.3999
3,60.3181,30.6741,30674.0999
3,60.3265,30.6825,30682.4999
3,60.4048,30.7608,30760.7999
3,60.4731,30.8291,30829.0999
3,60.7606,31.1166,31116.5999
3,60.8902,31.2462,31246.1999
3,60.9005,31.2565,31256.4999
3,61.0750,31.4310,31430.9999
3,61.6562,32.0122,32012.1999
3,62.1286,32.4846,32484.5999
3,62.1946,32.5506,32550.5999
3,62.2643,32.6203,32620.2999
3,62.5090,32.8650,32864.9999
3,62.5390,32.8950,32894.9999
3,62.6417,32.9977,32997.6999
3,62.6709,33.0269,33026.8999
3,62.6778,33.0338,33033.7999
3,62.8144,33.1704,33170.3999
3,62.8167,33.1727,33172.6999
3,62.8237,33.1797,33179.6999
3,62.8494,33.2054,33205.3999
3,62.8624,33.2184,33218.3999
3,62.9003,33.2563,33256.2999
3,62.9065,33.2625,33262.4999
3,62.9460,33.3020,33301.9999
3,63.2962,33.6522,33652.1999
3,63.6814,34.0374,34037.3999
3,63.7069,34.0629,34062.8999
3,63.7193,34.0753,34075.2999
3,63.9928,34.3488,34348.7999
3,64.0698,34.4258,34425.7999
3,64.8316,35.1876,35187.5999
3,65.0675,35.4235,35423.4999
3,65.4063,35.7623,35762.2999
3,65.4893,35.8453,35845.2999
3,65.5476,35.9036,35903.5999
3,65.5598,35.9158,35915.7999
3,65.6103,35.9663,35966.2999
3,65.6568,36.0128,36012.7999
3,65.6670,36.0230,36022.9999
3,65.6859,36.0419,36041.8999
3,65.6970,36.0530,36052.9999
3,65.7066,36.0626,36062.5999
3,65.8735,36.2295,36229.4999
3,65.8853,36.2413,36241.2999
3,65.9131,36.2691,36269.0999
3,65.9658,36.3218,36321.7999
3,66.0420,36.3980,36397.9999
3,66.1921,36.5481,36548.0999
3,66.2651,36.6211,36621.0999
3,66.4103,36.7663,36766.2999
3,66.5420,36.8980,36897.9999
3,66.5491,36.9051,36905.0999
3,66.6134,36.9694,36969.3999
3,66.8318,37.1878,37187.7999
3,67.4787,37.8347,37834.6999
3,67.4909,37.8469,37846.8999
3,67.5182,37.8742,37874.1999
3,68.6561,39.0121,39012.0999
3,68.6805,39.0365,39036.4999
3,69.2357,39.5917,39591.6999
3,69.7321,40.0881,40088.0999
3,70.0866,40.4426,40442.5999
3,70.0933,40.4493,40449.2999
3,70.2968,40.6528,40652.7999
3,70.3295,40.6855,40685.4999
3,70.4417,40.7977,40797.6999
3,70.4478,40.8038,40803.7999
3,71.1758,41.5318,41531.7999
3,71.1966,41.5526,41552.5999
3,71.8349,42.1909,42190.8999
3,71.9398,42.2958,42295.7999
3,72.2615,42.6175,42617.4999
3,72.2660,42.6220,42621.9999
3,72.3008,42.6568,42656.7999
3,72.4065,42.7625,42762.4999
3,72.4613,42.8173,42817.2999
3,72.4986,42.8546,42854.5999
3,72.5388,42.8948,42894.7999
3,72.5909,42.9469,42946.8999
3,73.2533,43.6093,43609.2999
3,74.1417,44.4977,44497.6999
3,74.1708,44.5268,44526.7999
3,74.1963,44.5523,44552.2999
3,74.2191,44.5751,44575.0999
3,74.2540,44.6100,44609.9999
3,74.5829,44.9389,44938.8999
3,74.5916,44.9476,44947.5999
3,74.7431,45.0991,45099.0999
3,75.2834,45.6394,45639.3999
3,75.3011,45.6571,45657.0999
3,75.8852,46.2412,46241.1999
3,76.2678,46.6238,46623.7999
3,76.3065,46.6625,46662.4999
3,76.3728,46.7288,46728.7999
3,76.8313,47.1873,47187.2999
3,76.8762,47.2322,47232.1999
3,76.9480,47.3040,47303.9999
3,77.4248,47.7808,47780.7999
3,77.5416,47.8976,47897.5999
3,77.6018,47.9578,47957.7999
3,77.6757,48.0317,48031.6999
3,77.7817,48.1377,48137.6999
3,77.8048,48.1608,48160.7999
3,78.1448,48.5008,48500.7999
3,78.1592,48.5152,48515.1999
3,78.2122,48.5682,48568.1999
3,78.2334,48.5894,48589.3999
3,78.5898,48.9458,48945.7999
3,78.6522,49.0082,49008.1999
3,78.8023,49.1583,49158.2999
3,78.8490,49.2050,49204.9999
3,78.9082,49.2642,49264.1999
3,78.9411,49.2971,49297.0999
3,80.8999,51.2559,51255.8999
3,81.0073,51.3633,51363.2999
3,81.0440,51.4000,51399.9999
3,81.1012,51.4572,51457.1999
3,81.1272,51.4832,51483.1999
3,81.1715,51.5275,51527.4999
3,81.1765,51.5325,51532.4999
3,81.1970,51.5530,51552.9999
3,81.2480,51.6040,51603.9999
3,81.2725,51.6285,51628.4999
3,81.3194,51.6754,51675.3999
3,81.3531,51.7091,51709.0999
3,81.3673,51.7233,51723.2999
3,81.4230,51.7790,51778.9999
3,81.5752,51.9312,51931.1999
3,81.7046,52.0606,52060.5999
3,81.7547,52.1107,52110.6999
3,81.8453,52.2013,52201.2999
3,81.8674,52.2234,52223.3999
3,81.9199,52.2759,52275.8999
3,81.9284,52.2844,52284.3999
3,81.9370,52.2930,52292.9999
3,81.9777,52.3337,52333.6999
3,82.0265,52.3825,52382.4999
3,82.0412,52.3972,52397.1999
3,82.2975,52.6535,52653.4999
3,82.3231,52.6791,52679.0999
3,82.3286,52.6846,52684.5999
3,82.4396,52.7956,52795.5999
3,82.4737,52.8297,52829.6999
3,82.7490,53.1050,53104.9999
3,82.7644,53.1204,53120.3999
3,82.8136,53.1696,53169.5999
3,83.2175,53.5735,53573.4999
3,83.2465,53.6025,53602.4999
3,83.2601,53.6161,53616.0999
3,83.4936,53.8496,53849.5999
3,84.9489,55.3049,55304.8999
3,84.9776,55.3336,55333.5999
3,84.9875,55.3435,55343.4999
3,85.0142,55.3702,55370.1999
3,85.1164,55.4724,55472.3999
3,85.1376,55.4936,55493.5999
3,85.2207,55.5767,55576.6999
3,85.4552,55.8112,55811.1999
3,85.4641,55.8201,55820.0999
3,85.4768,55.8328,55832.7999
3,85.4847,55.8407,55840.6999
3,85.5117,55.8677,55867.6999
3,85.5178,55.8738,55873.7999
3,85.5613,55.9173,55917.2999
3,85.5952,55.9512,55951.1999
3,85.6049,55.9609,55960.8999
3,85.6506,56.0066,56006.5999
3,85.6697,56.0257,56025.6999
3,85.7322,56.0882,56088.1999
3,85.9328,56.2888,56288.7999
3,86.2864,56.6424,56642.3999
3,87.5286,57.8846,57884.5999
3,87.5321,57.8881,57888.0999
3,88.2810,58.6370,58636.9999
3,88.3015,58.6575,58657.4999
3,88.3180,58.6740,58673.9999
3,88.3283,58.6843,58684.2999
3,88.3786,58.7346,58734.5999
3,88.3992,58.7552,58755.1999
3,88.4118,58.7678,58767.7999
3,88.4172,58.7732,58773.1999
3,88.4253,58.7813,58781.2999
3,88.4519,58.8079,58807.8999
3,88.4652,58.8212,58821.1999
3,88.4990,58.8550,58854.9999
3,88.5044,58.8604,58860.3999
3,88.5262,58.8822,58882.1999
3,88.5348,58.8908,58890.7999
3,88.5912,58.9472,58947.1999
3,88.6355,58.9915,58991.4999
3,88.6985,59.0545,59054.4999
3,88.7097,59.0657,59065.6999
3,88.8651,59.2211,59221.0999
3,90.1895,60.5455,60545.4999
3,91.2175,61.5735,61573.4999
3,91.3264,61.6824,61682.3999
3,91.5592,61.9152,61915.1999
3,91.5757,61.9317,61931.6999
3,91.5843,61.9403,61940.2999
3,91.7084,62.0644,62064.3999
3,91.7603,62.1163,62116.2999
3,93.2227,63.5787,63578.6999
3,93.5170,63.8730,63872.9999
3,93.5232,63.8792,63879.1999
3,94.0260,64.3820,64381.9999
3,94.5825,64.9385,64938.4999
3,94.6711,65.0271,65027.0999
3,94.7057,65.0617,65061.6999
3,94.9920,65.3480,65347.9999
3,95.3700,65.7260,65725.9999
3,95.3849,65.7409,65740.8999
3,95.3947,65.7507,65750.6999
3,95.4138,65.7698,65769.7999
3,95.4720,65.8280,65827.9999
3,95.4889,65.8449,65844.8999
3,95.5231,65.8791,65879.0999
3,95.5441,65.9001,65900.0999
3,95.5564,65.9124,65912.3999
3,95.6060,65.9620,65961.9999
3,95.9504,66.3064,66306.3999
3,95.9650,66.3210,66320.9999
3,95.9714,66.3274,66327.3999
3,96.0031,66.3591,66359.0999
3,97.6822,68.0382,68038.1999
3,97.7322,68.0882,68088.1999
3,98.2342,68.5902,68590.1999
3,98.2494,68.6054,68605.3999
3,98.2633,68.6193,68619.2999
3,98.2947,68.6507,68650.6999
3,98.4509,68.8069,68806.8999
3,98.4593,68.8153,68815.2999
3,101.8507,72.2067,72206.6999
3,101.8605,72.2165,72216.4999
3,101.9072,72.2632,72263.1999
3,101.9420,72.2980,72297.9999
3,101.9776,72.3336,72333.5999
3,102.0857,72.4417,72441.6999
3,102.1049,72.4609,72460.8999
3,102.1366,72.4926,72492.5999
3,102.2072,72.5632,72563.1999
3,102.5384,72.8944,72894.3999
3,102.6195,72.9755,72975.4999
3,103.0626,73.4186,73418.5999
3,103.1326,73.4886,73488.5999
3,103.1734,73.5294,73529.3999
3,103.1964,73.5524,73552.3999
3,103.5868,73.9428,73942.7999
3,103.8106,74.1666,74166.5999
3,103.8255,74.1815,74181.4999
3,103.8351,74.1911,74191.0999
3,104.3820,74.7380,74737.9999
3,104.4132,74.7692,74769.1999
3,104.4336,74.7896,74789.5999
3,104.6224,74.9784,74978.3999
3,104.8046,75.1606,75160.5999
3,104.9462,75.3022,75302.1999
3,105.2100,75.5660,75565.9999
3,105.2515,75.6075,75607.4999
3,109.4636,79.8196,79819.5999
3,112.6471,83.0031,83003.0999
3,112.7793,83.1353,83135.2999
3,113.1362,83.4922,83492.1999
3,114.8411,85.1971,85197.0999
3,115.6346,85.9906,85990.5999
3,115.6381,85.9941,85994.0999
3,116.0992,86.4552,86455.1999
3,116.1914,86.5474,86547.3999
3,116.3187,86.6747,86674.6999
3,116.3300,86.6860,86685.9999
3,116.3565,86.7125,86712.4999
3,116.7029,87.0589,87058.8999
3,116.8355,87.1915,87191.4999
