units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,29.9756,0.3316,331.5999
1,30.0714,0.4274,427.3999
1,30.2064,0.5624,562.3999
1,30.2966,0.6526,652.5999
1,30.3528,0.7088,708.7999
1,30.3637,0.7197,719.6999
1,30.3690,0.7250,724.9999
1,30.3768,0.7328,732.7999
1,30.3868,0.7428,742.7999
1,30.4071,0.7631,763.0999
1,30.4600,0.8160,815.9999
1,30.5414,0.8974,897.3999
1,30.6315,0.9875,987.4999
1,30.6852,1.0412,1041.1999
1,30.7145,1.0705,1070.4999
1,30.7511,1.1071,1107.0999
1,31.2001,1.5561,1556.0999
1,31.2750,1.6310,1630.9999
1,31.2773,1.6333,1633.2999
1,31.2953,1.6513,1651.2999
1,31.4043,1.7603,1760.2999
1,31.7153,2.0713,2071.2999
1,32.5949,2.9509,2950.8999
1,32.8786,3.2346,3234.5999
1,33.5547,3.9107,3910.6999
1,33.5679,3.9239,3923.8999
1,33.5925,3.9485,3948.4999
1,33.8316,4.1876,4187.5999
1,33.9865,4.3425,4342.4999
1,34.1151,4.4711,4471.0999
1,34.2055,4.5615,4561.4999
1,34.2862,4.6422,4642.1999
1,34.4498,4.8058,4805.7999
1,34.4894,4.8454,4845.3999
1,34.8777,5.2337,5233.6999
1,34.9207,5.2767,5276.6999
1,34.9222,5.2782,5278.1999
1,35.1555,5.5115,5511.4999
1,35.2601,5.6161,5616.0999
1,35.2700,5.6260,5625.9999
1,35.6345,5.9905,5990.4999
1,35.6545,6.0105,6010.4999
1,35.9489,6.3049,6304.8999
1,36.0482,6.4042,6404.1999
1,36.2492,6.6052,6605.1999
1,36.2523,6.6083,6608.2999
1,36.4360,6.7920,6791.9999
1,36.4746,6.8306,6830.5999
1,36.5935,6.9495,6949.4999
1,36.6100,6.9660,6965.9999
1,36.6597,7.0157,7015.6999
1,36.7538,7.1098,7109.7999
1,36.7969,7.1529,7152.8999
1,37.1430,7.4990,7498.9999
1,37.1913,7.5473,7547.2999
1,37.2204,7.5764,7576.3999
1,37.2356,7.5916,7591.5999
1,37.2573,7.6133,7613.2999
1,37.3039,7.6599,7659.8999
1,37.3579,7.7139,7713.8999
1,37.4457,7.8017,7801.6999
1,37.5577,7.9137,7913.6999
1,37.5818,7.9378,7937.7999
1,37.6250,7.9810,7980.9999
1,37.7640,8.1200,8119.9999
1,37.8056,8.1616,8161.5999
1,37.8246,8.1806,8180.5999
1,37.9199,8.2759,8275.8999
1,37.9235,8.2795,8279.4999
1,37.9280,8.2840,8283.9999
1,37.9957,8.3517,8351.6999
1,38.1545,8.5105,8510.4999
1,38.1905,8.5465,8546.4999
1,38.2065,8.5625,8562.4999
1,38.2237,8.5797,8579.6999
1,38.2447,8.6007,8600.6999
1,38.4029,8.7589,8758.8999
1,38.4123,8.7683,8768.2999
1,38.5406,8.8966,8896.5999
1,38.9720,9.3280,9327.9999
1,39.0912,9.4472,9447.1999
1,39.1856,9.5416,9541.5999
1,39.2418,9.5978,9597.7999
1,39.2895,9.6455,9645.4999
1,39.3664,9.7224,9722.3999
1,39.5358,9.8918,9891.7999
1,39.6278,9.9838,9983.7999
1,39.8913,10.2473,10247.2999
1,39.8948,10.2508,10250.7999
1,39.8992,10.2552,10255.1999
1,40.1240,10.4800,10479.9999
1,40.2652,10.6212,10621.1999
1,40.2725,10.6285,10628.4999
1,40.5396,10.8956,10895.5999
1,40.6136,10.9696,10969.5999
1,40.7035,11.0595,11059.4999
1,41.1271,11.4831,11483.0999
1,41.1303,11.4863,11486.2999
1,41.1349,11.4909,11490.8999
1,41.2829,11.6389,11638.8999
1,41.4430,11.7990,11798.9999
1,41.4938,11.8498,11849.7999
1,41.5431,11.8991,11899.0999
1,41.5918,11.9478,11947.7999
1,41.6001,11.9561,11956.0999
1,41.6839,12.0399,12039.8999
1,41.7447,12.1007,12100.6999
1,42.2018,12.5578,12557.7999
1,42.3717,12.7277,12727.6999
1,42.4134,12.7694,12769.3999
1,42.6438,12.9998,12999.7999
1,42.7771,13.1331,13133.0999
1,42.8033,13.1593,13159.2999
1,42.8110,13.1670,13166.9999
1,42.8660,13.2220,13221.9999
1,42.8883,13.2443,13244.2999
1,42.9422,13.2982,13298.1999
1,43.5331,13.8891,13889.0999
1,43.6148,13.9708,13970.7999
1,44.0065,14.3625,14362.4999
1,44.1141,14.4701,14470.0999
1,44.1655,14.5215,14521.4999
1,44.1895,14.5455,14545.4999
1,44.2787,14.6347,14634.6999
1,44.3878,14.7438,14743.7999
1,44.4561,14.8121,14812.0999
1,44.7842,15.1402,15140.1999
1,44.8431,15.1991,15199.0999
1,44.9739,15.3299,15329.8999
1,44.9886,15.3446,15344.5999
1,45.0163,15.3723,15372.2999
1,45.0862,15.4422,15442.1999
1,45.2681,15.6241,15624.0999
1,45.3238,15.6798,15679.7999
1,45.4284,15.7844,15784.3999
1,45.5188,15.8748,15874.7999
1,45.6864,16.0424,16042.3999
1,45.6987,16.0547,16054.6999
1,45.7230,16.0790,16078.9999
1,45.7640,16.1200,16119.9999
1,45.8068,16.1628,16162.7999
1,45.8138,16.1698,16169.7999
1,45.8362,16.1922,16192.1999
1,45.8529,16.2089,16208.8999
1,45.8824,16.2384,16238.3999
1,45.9620,16.3180,16317.9999
1,45.9690,16.3250,16324.9999
1,46.0002,16.3562,16356.1999
