units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,29.6538,0.0098,9.7999
1,29.7004,0.0564,56.3999
1,29.8729,0.2289,228.8999
1,29.9052,0.2612,261.1999
1,29.9271,0.2831,283.0999
1,29.9632,0.3192,319.1999
1,30.1452,0.5012,501.1999
1,30.3006,0.6566,656.5999
1,30.3286,0.6846,684.5999
1,30.9326,1.2886,1288.5999
1,30.9417,1.2977,1297.6999
1,30.9848,1.3408,1340.7999
1,31.0867,1.4427,1442.6999
1,31.3031,1.6591,1659.0999
1,31.3890,1.7450,1744.9999
1,31.3978,1.7538,1753.7999
1,31.4478,1.8038,1803.7999
1,31.6382,1.9942,1994.1999
1,31.7725,2.1285,2128.4999
1,31.8337,2.1897,2189.6999
1,32.2937,2.6497,2649.6999
1,32.4215,2.7775,2777.4999
1,32.5795,2.9355,2935.4999
1,32.6453,3.0013,3001.2999
1,32.7197,3.0757,3075.6999
1,32.7364,3.0924,3092.3999
1,32.9936,3.3496,3349.5999
1,33.0085,3.3645,3364.4999
1,33.0227,3.3787,3378.6999
1,33.1074,3.4634,3463.3999
1,33.2238,3.5798,3579.7999
1,33.5171,3.8731,3873.0999
1,33.5628,3.9188,3918.7999
1,33.6049,3.9609,3960.8999
1,33.6708,4.0268,4026.7999
1,33.7254,4.0814,4081.3999
1,33.7497,4.1057,4105.6999
1,33.7714,4.1274,4127.3999
1,33.7793,4.1353,4135.2999
1,33.8163,4.1723,4172.2999
1,33.9900,4.3460,4345.9999
1,34.1349,4.4909,4490.8999
1,34.1809,4.5369,4536.8999
1,34.1987,4.5547,4554.6999
1,34.3194,4.6754,4675.3999
1,34.3417,4.6977,4697.6999
1,34.4847,4.8407,4840.6999
1,34.7085,5.0645,5064.4999
1,34.7392,5.0952,5095.1999
1,34.7521,5.1081,5108.0999
1,34.7720,5.1280,5127.9999
1,34.8030,5.1590,5158.9999
1,34.9791,5.3351,5335.0999
1,35.1044,5.4604,5460.3999
1,35.1384,5.4944,5494.3999
1,35.1890,5.5450,5544.9999
1,35.2164,5.5724,5572.3999
1,35.3899,5.7459,5745.8999
1,35.4399,5.7959,5795.8999
1,35.5158,5.8718,5871.7999
1,35.5496,5.9056,5905.5999
1,35.5814,5.9374,5937.3999
1,35.9541,6.3101,6310.0999
1,35.9946,6.3506,6350.5999
1,36.0343,6.3903,6390.2999
1,36.1775,6.5335,6533.4999
1,36.2310,6.5870,6586.9999
1,36.2630,6.6190,6618.9999
1,36.6098,6.9658,6965.7999
1,36.8883,7.2443,7244.2999
1,36.9460,7.3020,7301.9999
1,36.9755,7.3315,7331.4999
1,36.9874,7.3434,7343.3999
1,36.9940,7.3500,7349.9999
1,37.0938,7.4498,7449.7999
1,37.1783,7.5343,7534.2999
1,37.2092,7.5652,7565.1999
1,37.3367,7.6927,7692.6999
1,37.4505,7.8065,7806.4999
1,37.4909,7.8469,7846.8999
1,37.7561,8.1121,8112.0999
1,37.8309,8.1869,8186.8999
1,37.8854,8.2414,8241.3999
1,37.9123,8.2683,8268.2999
1,38.0127,8.3687,8368.6999
1,38.1544,8.5104,8510.3999
1,38.1760,8.5320,8531.9999
1,38.3723,8.7283,8728.2999
1,38.5404,8.8964,8896.3999
1,38.6460,9.0020,9001.9999
1,38.6499,9.0059,9005.8999
1,38.9415,9.2975,9297.4999
1,39.1888,9.5448,9544.7999
1,39.3615,9.7175,9717.4999
1,39.3805,9.7365,9736.4999
1,39.4139,9.7699,9769.8999
1,39.4709,9.8269,9826.8999
1,39.5272,9.8832,9883.1999
1,39.5540,9.9100,9909.9999
1,39.7860,10.1420,10141.9999
1,39.8068,10.1628,10162.7999
1,39.8597,10.2157,10215.6999
1,39.8920,10.2480,10247.9999
1,39.9720,10.3280,10327.9999
1,39.9938,10.3498,10349.7999
1,40.0006,10.3566,10356.5999
1,40.1363,10.4923,10492.2999
1,40.1815,10.5375,10537.4999
1,40.4135,10.7695,10769.4999
1,40.7158,11.0718,11071.7999
1,40.8668,11.2228,11222.7999
1,40.9185,11.2745,11274.4999
1,41.1287,11.4847,11484.6999
1,41.2949,11.6509,11650.8999
1,41.3070,11.6630,11662.9999
1,41.3295,11.6855,11685.4999
1,41.3369,11.6929,11692.8999
1,41.3602,11.7162,11716.1999
1,41.5271,11.8831,11883.0999
1,41.5386,11.8946,11894.5999
1,41.5980,11.9540,11953.9999
1,41.9402,12.2962,12296.1999
1,41.9996,12.3556,12355.5999
1,42.0284,12.3844,12384.3999
1,42.1974,12.5534,12553.3999
1,42.2578,12.6138,12613.7999
1,42.3892,12.7452,12745.1999
1,42.4366,12.7926,12792.5999
