units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,72.3621,42.7181,42718.0999
2,89.8206,60.1766,60176.5999
2,133.7849,104.1409,104140.8999
2,205.4497,175.8057,175805.6999
2,521.1076,491.4636,491463.5999
2,550.7728,521.1288,521128.7999
2,552.2927,522.6487,522648.6999
2,552.6114,522.9674,522967.3999
2,588.4229,558.7789,558778.8999
2,950.5728,920.9288,920928.7999
2,950.5747,920.9307,920930.6999
2,1092.1492,1062.5052,1062505.1999
2,1308.4146,1278.7706,1278770.5999
2,1309.3177,1279.6737,1279673.6999
2,1309.5177,1279.8737,1279873.6999
2,1310.5591,1280.9151,1280915.0999
2,1314.0596,1284.4156,1284415.5999
2,1314.0696,1284.4256,1284425.5999
2,1349.5257,1319.8817,1319881.6999
2,1370.8268,1341.1828,1341182.7999
2,1630.3773,1600.7333,1600733.2999
2,1925.8392,1896.1952,1896195.1999
2,1958.3207,1928.6767,1928676.6999
2,1958.6814,1929.0374,1929037.3999
2,2079.4493,2049.8053,2049805.2999
2,2278.2886,2248.6446,2248644.5999
2,2405.9762,2376.3322,2376332.1999
2,2446.7184,2417.0744,2417074.3999
