units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,30.0393,0.3953,395.2999
2,32.7551,3.1111,3111.0999
2,32.9993,3.3553,3355.2999
2,34.1111,4.4671,4467.0999
2,35.0126,5.3686,5368.5999
2,35.3098,5.6658,5665.7999
2,35.8628,6.2188,6218.7999
2,35.9933,6.3493,6349.2999
2,37.5642,7.9202,7920.1999
2,37.5710,7.9270,7926.9999
2,37.6910,8.0470,8046.9999
2,37.7020,8.0580,8057.9999
2,37.7556,8.1116,8111.5999
2,38.4099,8.7659,8765.8999
2,38.5643,8.9203,8920.2999
2,38.5693,8.9253,8925.2999
2,39.0445,9.4005,9400.4999
2,39.0568,9.4128,9412.7999
2,39.1905,9.5465,9546.4999
2,39.4285,9.7845,9784.4999
2,40.7883,11.1443,11144.2999
2,40.9058,11.2618,11261.7999
2,40.9567,11.3127,11312.6999
2,41.1765,11.5325,11532.4999
2,41.8670,12.2230,12222.9999
2,41.8901,12.2461,12246.0999
2,41.9525,12.3085,12308.4999
2,44.9815,15.3375,15337.4999
2,45.0080,15.3640,15363.9999
2,45.1572,15.5132,15513.1999
2,45.3168,15.6728,15672.7999
2,45.4951,15.8511,15851.0999
2,45.7276,16.0836,16083.5999
2,45.7441,16.1001,16100.0999
2,45.7944,16.1504,16150.3999
2,45.8005,16.1565,16156.4999
2,46.2089,16.5649,16564.8999
2,46.3956,16.7516,16751.5999
2,46.8855,17.2415,17241.4999
2,46.8893,17.2453,17245.2999
2,46.9040,17.2600,17259.9999
2,46.9158,17.2718,17271.7999
2,47.3552,17.7112,17711.1999
2,47.6769,18.0329,18032.8999
2,47.7239,18.0799,18079.8999
2,47.8010,18.1570,18156.9999
2,48.0846,18.4406,18440.5999
2,49.8229,20.1789,20178.8999
2,50.2904,20.6464,20646.3999
2,51.1813,21.5373,21537.2999
2,51.2146,21.5706,21570.5999
2,51.3507,21.7067,21706.6999
2,51.5526,21.9086,21908.5999
2,51.5637,21.9197,21919.6999
2,52.3798,22.7358,22735.7999
2,52.6220,22.9780,22977.9999
2,52.6321,22.9881,22988.0999
2,52.7628,23.1188,23118.7999
2,52.8213,23.1773,23177.2999
2,53.0394,23.3954,23395.3999
2,53.0455,23.4015,23401.4999
2,53.1880,23.5440,23543.9999
2,54.3906,24.7466,24746.5999
2,57.4734,27.8294,27829.3999
2,57.6571,28.0131,28013.0999
2,57.6956,28.0516,28051.5999
2,57.7142,28.0702,28070.1999
2,58.6997,29.0557,29055.6999
2,59.6824,30.0384,30038.3999
2,59.6956,30.0516,30051.5999
2,59.7584,30.1144,30114.3999
2,60.0535,30.4095,30409.4999
2,60.3540,30.7100,30709.9999
2,60.3767,30.7327,30732.6999
2,60.5422,30.8982,30898.1999
2,62.0969,32.4529,32452.8999
2,62.5803,32.9363,32936.2999
2,63.7910,34.1470,34146.9999
2,63.9800,34.3360,34335.9999
2,64.6990,35.0550,35054.9999
2,65.0669,35.4229,35422.8999
2,65.1149,35.4709,35470.8999
2,67.2361,37.5921,37592.0999
2,67.3906,37.7466,37746.5999
2,67.4602,37.8162,37816.1999
2,67.6190,37.9750,37974.9999
2,67.6258,37.9818,37981.7999
2,67.7549,38.1109,38110.8999
2,68.0943,38.4503,38450.2999
2,68.1257,38.4817,38481.6999
2,68.1914,38.5474,38547.3999
2,68.3173,38.6733,38673.2999
2,68.3203,38.6763,38676.2999
2,68.4481,38.8041,38804.0999
2,68.5309,38.8869,38886.8999
2,68.9273,39.2833,39283.2999
2,69.1778,39.5338,39533.7999
2,69.4705,39.8265,39826.4999
2,69.9071,40.2631,40263.0999
2,69.9167,40.2727,40272.6999
2,69.9207,40.2767,40276.6999
2,72.1740,42.5300,42529.9999
2,72.9382,43.2942,43294.1999
2,73.0050,43.3610,43360.9999
2,73.7066,44.0626,44062.5999
2,73.7668,44.1228,44122.7999
2,74.5003,44.8563,44856.2999
2,74.5608,44.9168,44916.7999
2,74.5758,44.9318,44931.7999
2,74.5775,44.9335,44933.4999
2,74.9415,45.2975,45297.4999
2,75.0273,45.3833,45383.2999
2,75.0492,45.4052,45405.1999
2,75.2962,45.6522,45652.1999
2,75.3119,45.6679,45667.8999
2,75.5302,45.8862,45886.1999
2,76.8378,47.1938,47193.7999
2,77.2978,47.6538,47653.7999
2,77.7881,48.1441,48144.0999
2,78.2604,48.6164,48616.3999
2,78.2638,48.6198,48619.7999
