units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
2,29.6458,0.0018,1.7999
2,29.6961,0.0521,52.0999
2,29.7268,0.0828,82.7999
2,29.7825,0.1385,138.4999
2,29.7943,0.1503,150.2999
2,29.8021,0.1581,158.0999
2,29.8957,0.2517,251.6999
2,29.9056,0.2616,261.5999
2,29.9402,0.2962,296.1999
2,30.0192,0.3752,375.1999
2,30.1153,0.4713,471.2999
2,30.1370,0.4930,492.9999
2,30.3578,0.7138,713.7999
2,30.4045,0.7605,760.4999
2,30.4119,0.7679,767.8999
2,30.5331,0.8891,889.0999
2,30.5425,0.8985,898.4999
2,30.6385,0.9945,994.4999
2,30.6640,1.0200,1019.9999
2,30.7786,1.1346,1134.5999
2,30.7823,1.1383,1138.2999
2,30.7849,1.1409,1140.8999
2,30.8792,1.2352,1235.1999
2,30.9473,1.3033,1303.2999
2,31.0727,1.4287,1428.6999
2,31.1385,1.4945,1494.4999
2,31.2009,1.5569,1556.8999
2,31.2231,1.5791,1579.0999
2,31.3210,1.6770,1676.9999
2,31.3824,1.7384,1738.3999
2,31.4124,1.7684,1768.3999
2,31.4709,1.8269,1826.8999
2,31.9524,2.3084,2308.3999
2,32.8852,3.2412,3241.1999
2,33.0076,3.3636,3363.5999
2,33.6187,3.9747,3974.6999
2,33.9550,4.3110,4310.9999
2,35.7692,6.1252,6125.1999
2,35.8830,6.2390,6238.9999
2,35.9855,6.3415,6341.4999
2,35.9951,6.3511,6351.0999
2,36.4489,6.8049,6804.8999
2,36.4576,6.8136,6813.5999
2,38.0743,8.4303,8430.2999
2,38.3180,8.6740,8673.9999
2,38.3978,8.7538,8753.7999
2,38.5093,8.8653,8865.2999
2,38.7587,9.1147,9114.6999
2,38.8682,9.2242,9224.1999
2,38.9655,9.3215,9321.4999
2,39.0006,9.3566,9356.5999
2,39.8646,10.2206,10220.5999
2,41.5627,11.9187,11918.6999
2,41.6007,11.9567,11956.6999
2,41.6112,11.9672,11967.1999
2,41.7091,12.0651,12065.0999
2,41.7141,12.0701,12070.0999
2,41.7939,12.1499,12149.8999
2,42.4315,12.7875,12787.4999
2,43.0520,13.4080,13407.9999
2,43.8183,14.1743,14174.2999
2,45.5141,15.8701,15870.0999
2,45.5342,15.8902,15890.1999
2,45.8270,16.1830,16182.9999
2,46.0843,16.4403,16440.2999
2,46.2566,16.6126,16612.5999
2,47.0070,17.3630,17362.9999
2,47.6023,17.9583,17958.2999
2,48.9861,19.3421,19342.0999
2,49.6044,19.9604,19960.3999
2,50.0001,20.3561,20356.0999
2,50.3070,20.6630,20662.9999
2,50.8245,21.1805,21180.4999
2,50.9065,21.2625,21262.4999
2,50.9735,21.3295,21329.4999
2,51.9190,22.2750,22274.9999
2,52.1071,22.4631,22463.0999
2,52.3684,22.7244,22724.3999
2,52.5129,22.8689,22868.8999
2,52.6314,22.9874,22987.3999
2,52.7724,23.1284,23128.3999
2,52.9006,23.2566,23256.5999
2,53.0624,23.4184,23418.3999
2,54.8577,25.2137,25213.6999
2,55.0258,25.3818,25381.7999
2,55.8588,26.2148,26214.7999
2,57.2736,27.6296,27629.5999
2,57.5202,27.8762,27876.1999
2,57.6181,27.9741,27974.0999
