units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
4,30.1008,0.4568,456.7999
4,30.3085,0.6645,664.4999
4,30.6081,0.9641,964.0999
4,30.9775,1.3335,1333.4999
4,31.0380,1.3940,1393.9999
4,31.2891,1.6451,1645.0999
4,31.4946,1.8506,1850.5999
4,31.6796,2.0356,2035.5999
4,32.3081,2.6641,2664.0999
4,32.3334,2.6894,2689.3999
4,33.7182,4.0742,4074.1999
4,34.8027,5.1587,5158.6999
4,36.0472,6.4032,6403.1999
4,36.9061,7.2621,7262.0999
4,36.9431,7.2991,7299.0999
4,37.4932,7.8492,7849.1999
4,37.7956,8.1516,8151.5999
4,37.9397,8.2957,8295.6999
4,39.3012,9.6572,9657.1999
4,40.3158,10.6718,10671.7999
4,40.5511,10.9071,10907.0999
4,40.8425,11.1985,11198.4999
4,41.0856,11.4416,11441.5999
4,41.1926,11.5486,11548.5999
4,41.3012,11.6572,11657.1999
4,41.5929,11.9489,11948.8999
4,43.0732,13.4292,13429.1999
4,43.1767,13.5327,13532.6999
4,45.5124,15.8684,15868.3999
4,46.3246,16.6806,16680.5999
4,46.5877,16.9437,16943.6999
4,47.6329,17.9889,17988.8999
4,47.8820,18.2380,18237.9999
4,48.0674,18.4234,18423.3999
4,50.4627,20.8187,20818.6999
4,52.7075,23.0635,23063.4999
4,53.0348,23.3908,23390.7999
4,53.5865,23.9425,23942.4999
4,54.0069,24.3629,24362.8999
4,56.5495,26.9055,26905.4999
4,56.6858,27.0418,27041.7999
4,58.0252,28.3812,28381.1999
4,58.0709,28.4269,28426.8999
4,59.0512,29.4072,29407.1999
4,60.3937,30.7497,30749.6999
4,60.7554,31.1114,31111.3999
4,61.2871,31.6431,31643.0999
4,61.5028,31.8588,31858.7999
4,61.6029,31.9589,31958.8999
4,62.2837,32.6397,32639.6999
4,64.9236,35.2796,35279.5999
4,66.4777,36.8337,36833.6999
4,67.1676,37.5236,37523.5999
4,68.9939,39.3499,39349.8999
4,69.3289,39.6849,39684.8999
4,72.4203,42.7763,42776.2999
4,72.7236,43.0796,43079.5999
4,72.8974,43.2534,43253.3999
4,73.4788,43.8348,43834.7999
4,73.9735,44.3295,44329.4999
4,74.5835,44.9395,44939.4999
4,75.0338,45.3898,45389.7999
4,75.0856,45.4416,45441.5999
4,75.6896,46.0456,46045.5999
4,79.4895,49.8455,49845.4999
4,81.8754,52.2314,52231.3999
4,82.3697,52.7257,52725.6999
4,82.9930,53.3490,53348.9999
4,83.6165,53.9725,53972.4999
4,83.7407,54.0967,54096.6999
4,83.7602,54.1162,54116.1999
4,84.9135,55.2695,55269.4999
4,86.1984,56.5544,56554.3999
4,89.4267,59.7827,59782.6999
4,91.0625,61.4185,61418.4999
4,92.9299,63.2859,63285.8999
4,93.8111,64.1671,64167.0999
