units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs
1,37.5139,7.8699,7869.8999
1,41.9809,12.3369,12336.8999
1,81.2335,51.5895,51589.4999
1,102.0267,72.3827,72382.6999
1,110.3715,80.7275,80727.4999
1,164.5489,134.9049,134904.8999
1,171.3003,141.6563,141656.2999
1,194.0384,164.3944,164394.3999
1,210.2305,180.5865,180586.4999
1,215.2584,185.6144,185614.3999
1,223.3714,193.7274,193727.3999
1,226.7343,197.0903,197090.2999
1,246.5850,216.9410,216940.9999
1,285.3713,255.7273,255727.2999
1,311.2108,281.5668,281566.7999
1,312.1025,282.4585,282458.4999
1,313.4140,283.7700,283769.9999
1,359.0669,329.4229,329422.8999
1,364.3474,334.7034,334703.3999
1,367.3713,337.7273,337727.2999
1,372.1640,342.5200,342519.9999
1,550.8040,521.1600,521159.9999
1,560.2222,530.5782,530578.1999
1,561.8785,532.2345,532234.4999
1,564.5996,534.9556,534955.5999
1,683.0779,653.4339,653433.8999
1,693.3409,663.6969,663696.8999
1,730.1225,700.4785,700478.4999
1,773.4474,743.8034,743803.3999
1,824.5614,794.9174,794917.3999
1,831.4920,801.8480,801847.9999
1,906.9287,877.2847,877284.6999
1,908.0199,878.3759,878375.8999
1,955.0627,925.4187,925418.6999
1,1012.1580,982.5140,982513.9999
1,1014.3421,984.6981,984698.0999
1,1014.4400,984.7960,984795.9999
1,1059.7859,1030.1419,1030141.8999
1,1089.8218,1060.1778,1060177.7999
1,1090.6691,1061.0251,1061025.0999
1,1152.4855,1122.8415,1122841.4999
1,1163.6193,1133.9753,1133975.2999
1,1186.5711,1156.9271,1156927.0999
1,1215.9849,1186.3409,1186340.8999
1,1239.8289,1210.1849,1210184.8999
1,1271.9602,1242.3162,1242316.1999
1,1283.0096,1253.3656,1253365.5999
1,1293.7138,1264.0698,1264069.7999
1,1306.0803,1276.4363,1276436.2999
1,1306.2520,1276.6080,1276607.9999
1,1306.8831,1277.2391,1277239.0999
1,1306.9328,1277.2888,1277288.7999
1,1307.1147,1277.4707,1277470.6999
1,1307.9030,1278.2590,1278258.9999
1,1308.1309,1278.4869,1278486.8999
1,1308.2730,1278.6290,1278628.9999
1,1308.2856,1278.6416,1278641.5999
1,1308.4209,1278.7769,1278776.8999
1,1308.4363,1278.7923,1278792.2999
1,1308.8469,1279.2029,1279202.8999
1,1312.0079,1282.3639,1282363.8999
1,1312.4658,1282.8218,1282821.7999
1,1313.7143,1284.0703,1284070.2999
1,1313.9443,1284.3003,1284300.2999
1,1314.1293,1284.4853,1284485.2999
1,1314.4443,1284.8003,1284800.2999
1,1314.9911,1285.3471,1285347.0999
1,1328.5034,1298.8594,1298859.3999
1,1331.0368,1301.3928,1301392.7999
1,1379.8486,1350.2046,1350204.5999
1,1399.3384,1369.6944,1369694.3999
1,1404.5258,1374.8818,1374881.7999
1,1419.1107,1389.4667,1389466.6999
1,1464.0495,1434.4055,1434405.4999
1,1464.6836,1435.0396,1435039.5999
1,1469.0024,1439.3584,1439358.3999
1,1473.3948,1443.7508,1443750.7999
1,1522.6596,1493.0156,1493015.5999
1,1575.8946,1546.2506,1546250.5999
1,1597.8146,1568.1706,1568170.5999
1,1598.1070,1568.4630,1568462.9999
1,1630.6167,1600.9727,1600972.6999
1,1642.0848,1612.4408,1612440.7999
1,1642.2800,1612.6360,1612635.9999
1,1723.7879,1694.1439,1694143.8999
1,1749.3691,1719.7251,1719725.0999
1,1840.3303,1810.6863,1810686.2999
1,1894.5578,1864.9138,1864913.7999
1,1919.3191,1889.6751,1889675.0999
1,1925.4674,1895.8234,1895823.3999
1,1925.5449,1895.9009,1895900.8999
1,1933.8267,1904.1827,1904182.6999
1,1935.7274,1906.0834,1906083.3999
1,1947.8919,1918.2479,1918247.8999
1,1948.1167,1918.4727,1918472.6999
1,1952.4419,1922.7979,1922797.8999
1,1956.0962,1926.4522,1926452.1999
1,1956.8329,1927.1889,1927188.8999
1,1956.8790,1927.2350,1927234.9999
1,1958.5362,1928.8922,1928892.1999
1,1958.6158,1928.9718,1928971.7999
1,1958.7464,1929.1024,1929102.3999
1,1958.8457,1929.2017,1929201.6999
1,1959.0108,1929.3668,1929366.7999
1,1969.1476,1939.5036,1939503.5999
1,1969.7706,1940.1266,1940126.5999
1,2002.1531,1972.5091,1972509.0999
1,2021.4498,1991.8058,1991805.7999
1,2071.6684,2042.0244,2042024.3999
1,2088.0660,2058.4220,2058421.9999
1,2241.5142,2211.8702,2211870.1999
1,2278.4629,2248.8189,2248818.8999
1,2354.1837,2324.5397,2324539.6999
1,2442.5527,2412.9087,2412908.6999
1,2449.2147,2419.5707,2419570.6999
1,2451.3549,2421.7109,2421710.8999
1,2473.3682,2443.7242,2443724.1999
