units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
4,1986.8950,1957.2510,1957250.9999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,800.9999,0.8010
4,1350.4162,1320.7722,1320772.1999,4,1-1318428-1321434,535,1,1,3,True,1318428.0000,1321434.0000,2344.1999,2.3442
4,2452.1467,2422.5027,2422502.6999,6,1-2420931-2423937,995,1,1,5,True,2420931.0000,2423937.0000,1571.6999,1.5717
4,1787.0900,1757.4460,1757445.9999,11,1-1757225-1758928,723,1,1,10,True,1757225.0000,1758928.0000,220.9999,0.2210
4,549.8740,520.2300,520229.9999,12,1-519322-520725,264,1,1,11,True,519322.0000,520725.0000,907.9999,0.9080
4,1023.4710,993.8270,993826.9999,14,1-991785-994691,427,1,1,13,True,991785.0000,994691.0000,2041.9999,2.0420
4,1112.8991,1083.2551,1083255.0999,17,1-1081762-1083766,458,1,1,15,True,1081762.0000,1083766.0000,1493.0999,1.4931
4,410.1048,380.4608,380460.7999,23,1-378478-380616,210,1,1,21,True,378478.0000,380616.0000,1982.7999,1.9828
4,522.0303,492.3863,492386.2999,24,1-491935-493672,257,1,1,22,True,491935.0000,493672.0000,451.2999,0.4513
4,1927.4702,1897.8262,1897826.1999,28,1-1897768-1900006,799,1,1,25,True,1897768.0000,1900006.0000,58.1999,0.0582
4,1928.3536,1898.7096,1898709.5999,28,1-1897768-1900006,799,1,1,25,True,1897768.0000,1900006.0000,941.5999,0.9416
4,1928.5575,1898.9135,1898913.4999,28,1-1897768-1900006,799,1,1,25,True,1897768.0000,1900006.0000,1145.4999,1.1455
4,1928.8529,1899.2089,1899208.8999,28,1-1897768-1900006,799,1,1,25,True,1897768.0000,1900006.0000,1440.8999,1.4409
4,399.1548,369.5108,369510.7999,32,1-369293-370863,205,1,1,29,True,369293.0000,370863.0000,217.7999,0.2178
4,399.7010,370.0570,370056.9999,32,1-369293-370863,205,1,1,29,True,369293.0000,370863.0000,763.9999,0.7640
4,399.7075,370.0635,370063.4999,32,1-369293-370863,205,1,1,29,True,369293.0000,370863.0000,770.4999,0.7705
4,400.2342,370.5902,370590.1999,32,1-369293-370863,205,1,1,29,True,369293.0000,370863.0000,1297.1999,1.2972
4,123.0881,93.4441,93444.0999,35,1-92849-93584,54,1,1,31,True,92849.0000,93584.0000,595.0999,0.5951
4,1588.1711,1558.5271,1558527.0999,36,1-1558367-1560371,634,1,1,32,True,1558367.0000,1560371.0000,160.0999,0.1601
4,1588.1759,1558.5319,1558531.8999,36,1-1558367-1560371,634,1,1,32,True,1558367.0000,1560371.0000,164.8999,0.1649
4,618.1142,588.4702,588470.1999,37,1-587189-590095,290,1,1,33,True,587189.0000,590095.0000,1281.1999,1.2812
4,119.0114,89.3674,89367.3999,40,1-88875-90545,51,1,1,34,True,88875.0000,90545.0000,492.3999,0.4924
4,75.0701,45.4261,45426.0999,41,1-44655-47627,24,1,0,66,True,44655.0000,47627.0000,771.0999,0.7711
4,1753.3962,1723.7522,1723752.1999,42,1-1722557-1724561,705,1,1,35,True,1722557.0000,1724561.0000,1195.1999,1.1952
4,1070.5174,1040.8734,1040873.3999,43,1-1038878-1041750,444,1,1,36,True,1038878.0000,1041750.0000,1995.3999,1.9954
4,1070.9110,1041.2670,1041266.9999,43,1-1038878-1041750,444,1,1,36,True,1038878.0000,1041750.0000,2388.9999,2.3890
4,2112.7381,2083.0941,2083094.0999,44,1-2082732-2084937,867,1,1,37,True,2082732.0000,2084937.0000,362.0999,0.3621
4,2112.9493,2083.3053,2083305.2999,44,1-2082732-2084937,867,1,1,37,True,2082732.0000,2084937.0000,573.2999,0.5733
4,1729.1047,1699.4607,1699460.6999,46,1-1698276-1701115,694,1,1,39,True,1698276.0000,1701115.0000,1184.6999,1.1847
4,1714.6838,1685.0398,1685039.7999,47,1-1684916-1686386,688,1,1,40,True,1684916.0000,1686386.0000,123.7999,0.1238
4,1714.6911,1685.0471,1685047.0999,47,1-1684916-1686386,688,1,1,40,True,1684916.0000,1686386.0000,131.0999,0.1311
4,1714.8245,1685.1805,1685180.4999,47,1-1684916-1686386,688,1,1,40,True,1684916.0000,1686386.0000,264.4999,0.2645
4,1715.0572,1685.4132,1685413.1999,47,1-1684916-1686386,688,1,1,40,True,1684916.0000,1686386.0000,497.1999,0.4972
4,1715.2627,1685.6187,1685618.6999,47,1-1684916-1686386,688,1,1,40,True,1684916.0000,1686386.0000,702.6999,0.7027
4,2461.2226,2431.5786,2431578.5999,48,1-2430584-2432588,999,1,1,41,True,2430584.0000,2432588.0000,994.5999,0.9946
4,2461.4856,2431.8416,2431841.5999,48,1-2430584-2432588,999,1,1,41,True,2430584.0000,2432588.0000,1257.5999,1.2576
4,2461.7841,2432.1401,2432140.0999,48,1-2430584-2432588,999,1,1,41,True,2430584.0000,2432588.0000,1556.0999,1.5561
4,1903.1849,1873.5409,1873540.8999,49,1-1873120-1875257,783,1,1,42,True,1873120.0000,1875257.0000,420.8999,0.4209
4,1750.3863,1720.7423,1720742.2999,51,1-1718950-1721388,703,1,1,43,True,1718950.0000,1721388.0000,1792.2999,1.7923
4,1750.3918,1720.7478,1720747.7999,51,1-1718950-1721388,703,1,1,43,True,1718950.0000,1721388.0000,1797.7999,1.7978
4,1750.5277,1720.8837,1720883.6999,51,1-1718950-1721388,703,1,1,43,True,1718950.0000,1721388.0000,1933.6999,1.9337
4,214.8209,185.1769,185176.8999,52,1-184430-187335,109,1,1,44,True,184430.0000,187335.0000,746.8999,0.7469
4,2069.1471,2039.5031,2039503.0999,54,1-2038779-2041518,848,1,1,45,True,2038779.0000,2041518.0000,724.0999,0.7241
4,2071.0615,2041.4175,2041417.4999,54,1-2038779-2041518,848,1,1,45,True,2038779.0000,2041518.0000,2638.4999,2.6385
4,165.7336,136.0896,136089.5999,55,1-135099-137938,79,1,1,46,True,135099.0000,137938.0000,990.5999,0.9906
4,165.9558,136.3118,136311.7999,55,1-135099-137938,79,1,1,46,True,135099.0000,137938.0000,1212.7999,1.2128
4,361.4765,331.8325,331832.4999,56,1-331419-334391,187,1,0,69,True,331419.0000,334391.0000,413.4999,0.4135
4,361.4857,331.8417,331841.6999,56,1-331419-334391,187,1,0,69,True,331419.0000,334391.0000,422.6999,0.4227
4,361.4964,331.8524,331852.3999,56,1-331419-334391,187,1,0,69,True,331419.0000,334391.0000,433.3999,0.4334
4,361.7290,332.0850,332084.9999,56,1-331419-334391,187,1,0,69,True,331419.0000,334391.0000,665.9999,0.6660
4,362.4867,332.8427,332842.6999,56,1-331419-334391,187,1,0,69,True,331419.0000,334391.0000,1423.6999,1.4237
