units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
2,1986.1296,1956.4856,1956485.5999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,35.5999,0.0356
2,1986.1377,1956.4937,1956493.6999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,43.6999,0.0437
2,1986.2553,1956.6113,1956611.2999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,161.2999,0.1613
2,1986.2577,1956.6137,1956613.6999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,163.6999,0.1637
2,1986.3581,1956.7141,1956714.0999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,264.0999,0.2641
2,1987.0160,1957.3720,1957371.9999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,921.9999,0.9220
2,1987.4484,1957.8044,1957804.3999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,1354.3999,1.3544
2,1987.5360,1957.8920,1957891.9999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,1441.9999,1.4420
2,1987.6830,1958.0390,1958038.9999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,1588.9999,1.5890
2,1987.8612,1958.2172,1958217.1999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,1767.1999,1.7672
2,1987.9203,1958.2763,1958276.2999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,1826.2999,1.8263
2,1987.9567,1958.3127,1958312.6999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,1862.6999,1.8627
2,1987.9938,1958.3498,1958349.7999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,1899.7999,1.8998
2,1988.0494,1958.4054,1958405.3999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,1955.3999,1.9554
2,1988.2990,1958.6550,1958654.9999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,2204.9999,2.2050
2,1988.4734,1958.8294,1958829.3999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,2379.3999,2.3794
2,1989.0087,1959.3647,1959364.6999,1,1-1956450-1959456,818,1,1,1,True,1956450.0000,1959456.0000,2914.6999,2.9147
2,924.5070,894.8630,894862.9999,2,1-894728-896565,387,1,1,2,True,894728.0000,896565.0000,134.9999,0.1350
2,924.5364,894.8924,894892.3999,2,1-894728-896565,387,1,1,2,True,894728.0000,896565.0000,164.3999,0.1644
2,924.5688,894.9248,894924.7999,2,1-894728-896565,387,1,1,2,True,894728.0000,896565.0000,196.7999,0.1968
2,924.9841,895.3401,895340.0999,2,1-894728-896565,387,1,1,2,True,894728.0000,896565.0000,612.0999,0.6121
2,926.0115,896.3675,896367.4999,2,1-894728-896565,387,1,1,2,True,894728.0000,896565.0000,1639.4999,1.6395
2,1807.5030,1777.8590,1777858.9999,3,1-1777398-1778200,733,1,0,60,True,1777398.0000,1778200.0000,460.9999,0.4610
2,1349.4892,1319.8452,1319845.1999,4,1-1318428-1321434,535,1,1,3,True,1318428.0000,1321434.0000,1417.1999,1.4172
2,1350.7199,1321.0759,1321075.8999,4,1-1318428-1321434,535,1,1,3,True,1318428.0000,1321434.0000,2647.8999,2.6479
2,726.3195,696.6755,696675.4999,5,1-696504-698141,326,1,1,4,True,696504.0000,698141.0000,171.4999,0.1715
2,726.4842,696.8402,696840.1999,5,1-696504-698141,326,1,1,4,True,696504.0000,698141.0000,336.1999,0.3362
2,726.8959,697.2519,697251.8999,5,1-696504-698141,326,1,1,4,True,696504.0000,698141.0000,747.8999,0.7479
2,727.2098,697.5658,697565.7999,5,1-696504-698141,326,1,1,4,True,696504.0000,698141.0000,1061.7999,1.0618
2,727.2868,697.6428,697642.7999,5,1-696504-698141,326,1,1,4,True,696504.0000,698141.0000,1138.7999,1.1388
2,727.3034,697.6594,697659.3999,5,1-696504-698141,326,1,1,4,True,696504.0000,698141.0000,1155.3999,1.1554
2,727.5413,697.8973,697897.2999,5,1-696504-698141,326,1,1,4,True,696504.0000,698141.0000,1393.2999,1.3933
2,727.6530,698.0090,698008.9999,5,1-696504-698141,326,1,1,4,True,696504.0000,698141.0000,1504.9999,1.5050
2,2450.9560,2421.3120,2421311.9999,6,1-2420931-2423937,995,1,1,5,True,2420931.0000,2423937.0000,380.9999,0.3810
2,2451.8255,2422.1815,2422181.4999,6,1-2420931-2423937,995,1,1,5,True,2420931.0000,2423937.0000,1250.4999,1.2505
2,2451.9924,2422.3484,2422348.3999,6,1-2420931-2423937,995,1,1,5,True,2420931.0000,2423937.0000,1417.3999,1.4174
2,2452.0829,2422.4389,2422438.8999,6,1-2420931-2423937,995,1,1,5,True,2420931.0000,2423937.0000,1507.8999,1.5079
2,2452.2098,2422.5658,2422565.7999,6,1-2420931-2423937,995,1,1,5,True,2420931.0000,2423937.0000,1634.7999,1.6348
2,2452.4435,2422.7995,2422799.4999,6,1-2420931-2423937,995,1,1,5,True,2420931.0000,2423937.0000,1868.4999,1.8685
2,2452.9171,2423.2731,2423273.0999,6,1-2420931-2423937,995,1,1,5,True,2420931.0000,2423937.0000,2342.0999,2.3421
2,2452.9925,2423.3485,2423348.4999,6,1-2420931-2423937,995,1,1,5,True,2420931.0000,2423937.0000,2417.4999,2.4175
2,2453.5726,2423.9286,2423928.5999,6,1-2420931-2423937,995,1,1,5,True,2420931.0000,2423937.0000,2997.5999,2.9976
2,1187.7607,1158.1167,1158116.6999,7,1-1158046-1160117,477,1,1,6,True,1158046.0000,1160117.0000,70.6999,0.0707
2,1188.2787,1158.6347,1158634.6999,7,1-1158046-1160117,477,1,1,6,True,1158046.0000,1160117.0000,588.6999,0.5887
2,1188.3483,1158.7043,1158704.2999,7,1-1158046-1160117,477,1,1,6,True,1158046.0000,1160117.0000,658.2999,0.6583
2,1188.8520,1159.2080,1159207.9999,7,1-1158046-1160117,477,1,1,6,True,1158046.0000,1160117.0000,1161.9999,1.1620
2,1189.2244,1159.5804,1159580.3999,7,1-1158046-1160117,477,1,1,6,True,1158046.0000,1160117.0000,1534.3999,1.5344
2,1189.3494,1159.7054,1159705.3999,7,1-1158046-1160117,477,1,1,6,True,1158046.0000,1160117.0000,1659.3999,1.6594
2,1189.4069,1159.7629,1159762.8999,7,1-1158046-1160117,477,1,1,6,True,1158046.0000,1160117.0000,1716.8999,1.7169
2,1189.4411,1159.7971,1159797.0999,7,1-1158046-1160117,477,1,1,6,True,1158046.0000,1160117.0000,1751.0999,1.7511
2,1189.5170,1159.8730,1159872.9999,7,1-1158046-1160117,477,1,1,6,True,1158046.0000,1160117.0000,1826.9999,1.8270
2,1189.6862,1160.0422,1160042.1999,7,1-1158046-1160117,477,1,1,6,True,1158046.0000,1160117.0000,1996.1999,1.9962
2,1189.7528,1160.1088,1160108.7999,7,1-1158046-1160117,477,1,1,6,True,1158046.0000,1160117.0000,2062.7999,2.0628
2,739.4882,709.8442,709844.1999,8,1-709630-711667,330,1,1,7,True,709630.0000,711667.0000,214.1999,0.2142
2,739.6037,709.9597,709959.6999,8,1-709630-711667,330,1,1,7,True,709630.0000,711667.0000,329.6999,0.3297
2,739.9072,710.2632,710263.1999,8,1-709630-711667,330,1,1,7,True,709630.0000,711667.0000,633.1999,0.6332
2,740.2128,710.5688,710568.7999,8,1-709630-711667,330,1,1,7,True,709630.0000,711667.0000,938.7999,0.9388
2,740.3097,710.6657,710665.6999,8,1-709630-711667,330,1,1,7,True,709630.0000,711667.0000,1035.6999,1.0357
2,740.3694,710.7254,710725.3999,8,1-709630-711667,330,1,1,7,True,709630.0000,711667.0000,1095.3999,1.0954
2,740.3765,710.7325,710732.4999,8,1-709630-711667,330,1,1,7,True,709630.0000,711667.0000,1102.4999,1.1025
2,740.4722,710.8282,710828.1999,8,1-709630-711667,330,1,1,7,True,709630.0000,711667.0000,1198.1999,1.1982
2,740.5121,710.8681,710868.0999,8,1-709630-711667,330,1,1,7,True,709630.0000,711667.0000,1238.0999,1.2381
2,740.5518,710.9078,710907.7999,8,1-709630-711667,330,1,1,7,True,709630.0000,711667.0000,1277.7999,1.2778
2,740.6550,711.0110,711010.9999,8,1-709630-711667,330,1,1,7,True,709630.0000,711667.0000,1380.9999,1.3810
2,2381.8854,2352.2414,2352241.3999,9,1-2351628-2352764,964,1,1,8,True,2351628.0000,2352764.0000,613.3999,0.6134
2,2382.1526,2352.5086,2352508.5999,9,1-2351628-2352764,964,1,1,8,True,2351628.0000,2352764.0000,880.5999,0.8806
2,1865.5547,1835.9107,1835910.6999,10,1-1835746-1837450,758,1,1,9,True,1835746.0000,1837450.0000,164.6999,0.1647
2,1865.6367,1835.9927,1835992.6999,10,1-1835746-1837450,758,1,1,9,True,1835746.0000,1837450.0000,246.6999,0.2467
2,1865.6780,1836.0340,1836033.9999,10,1-1835746-1837450,758,1,1,9,True,1835746.0000,1837450.0000,287.9999,0.2880
2,1866.0037,1836.3597,1836359.6999,10,1-1835746-1837450,758,1,1,9,True,1835746.0000,1837450.0000,613.6999,0.6137
2,1866.3895,1836.7455,1836745.4999,10,1-1835746-1837450,758,1,1,9,True,1835746.0000,1837450.0000,999.4999,0.9995
2,1866.5784,1836.9344,1836934.3999,10,1-1835746-1837450,758,1,1,9,True,1835746.0000,1837450.0000,1188.3999,1.1884
2,1866.6962,1837.0522,1837052.1999,10,1-1835746-1837450,758,1,1,9,True,1835746.0000,1837450.0000,1306.1999,1.3062
2,1787.0884,1757.4444,1757444.3999,11,1-1757225-1758928,723,1,1,10,True,1757225.0000,1758928.0000,219.3999,0.2194
2,1787.1000,1757.4560,1757455.9999,11,1-1757225-1758928,723,1,1,10,True,1757225.0000,1758928.0000,230.9999,0.2310
2,1788.0126,1758.3686,1758368.5999,11,1-1757225-1758928,723,1,1,10,True,1757225.0000,1758928.0000,1143.5999,1.1436
2,1788.2324,1758.5884,1758588.3999,11,1-1757225-1758928,723,1,1,10,True,1757225.0000,1758928.0000,1363.3999,1.3634
2,1788.3770,1758.7330,1758732.9999,11,1-1757225-1758928,723,1,1,10,True,1757225.0000,1758928.0000,1507.9999,1.5080
2,1788.5061,1758.8621,1758862.0999,11,1-1757225-1758928,723,1,1,10,True,1757225.0000,1758928.0000,1637.0999,1.6371
2,549.0431,519.3991,519399.0999,12,1-519322-520725,264,1,1,11,True,519322.0000,520725.0000,77.0999,0.0771
2,549.1096,519.4656,519465.5999,12,1-519322-520725,264,1,1,11,True,519322.0000,520725.0000,143.5999,0.1436
2,549.4343,519.7903,519790.2999,12,1-519322-520725,264,1,1,11,True,519322.0000,520725.0000,468.2999,0.4683
2,549.6993,520.0553,520055.2999,12,1-519322-520725,264,1,1,11,True,519322.0000,520725.0000,733.2999,0.7333
2,549.7189,520.0749,520074.8999,12,1-519322-520725,264,1,1,11,True,519322.0000,520725.0000,752.8999,0.7529
2,2121.9673,2092.3233,2092323.2999,13,1-2092151-2093253,872,1,1,12,True,2092151.0000,2093253.0000,172.2999,0.1723
2,2122.1247,2092.4807,2092480.6999,13,1-2092151-2093253,872,1,1,12,True,2092151.0000,2093253.0000,329.6999,0.3297
2,2122.3903,2092.7463,2092746.2999,13,1-2092151-2093253,872,1,1,12,True,2092151.0000,2093253.0000,595.2999,0.5953
2,1021.7430,992.0990,992098.9999,14,1-991785-994691,427,1,1,13,True,991785.0000,994691.0000,313.9999,0.3140
2,1023.3314,993.6874,993687.3999,14,1-991785-994691,427,1,1,13,True,991785.0000,994691.0000,1902.3999,1.9024
2,1024.0658,994.4218,994421.7999,14,1-991785-994691,427,1,1,13,True,991785.0000,994691.0000,2636.7999,2.6368
2,207.4453,177.8013,177801.2999,15,1-176314-178585,105,1,1,14,True,176314.0000,178585.0000,1487.2999,1.4873
2,207.9979,178.3539,178353.8999,15,1-176314-178585,105,1,1,14,True,176314.0000,178585.0000,2039.8999,2.0399
2,208.0187,178.3747,178374.6999,15,1-176314-178585,105,1,1,14,True,176314.0000,178585.0000,2060.6999,2.0607
2,1111.4991,1081.8551,1081855.0999,17,1-1081762-1083766,458,1,1,15,True,1081762.0000,1083766.0000,93.0999,0.0931
2,1111.8338,1082.1898,1082189.7999,17,1-1081762-1083766,458,1,1,15,True,1081762.0000,1083766.0000,427.7999,0.4278
2,1111.9171,1082.2731,1082273.0999,17,1-1081762-1083766,458,1,1,15,True,1081762.0000,1083766.0000,511.0999,0.5111
2,1112.0251,1082.3811,1082381.0999,17,1-1081762-1083766,458,1,1,15,True,1081762.0000,1083766.0000,619.0999,0.6191
2,1112.1244,1082.4804,1082480.3999,17,1-1081762-1083766,458,1,1,15,True,1081762.0000,1083766.0000,718.3999,0.7184
2,1762.6603,1733.0163,1733016.2999,18,1-1732911-1735916,709,1,1,16,True,1732911.0000,1735916.0000,105.2999,0.1053
2,1762.6743,1733.0303,1733030.2999,18,1-1732911-1735916,709,1,1,16,True,1732911.0000,1735916.0000,119.2999,0.1193
2,1762.9058,1733.2618,1733261.7999,18,1-1732911-1735916,709,1,1,16,True,1732911.0000,1735916.0000,350.7999,0.3508
2,1763.0638,1733.4198,1733419.7999,18,1-1732911-1735916,709,1,1,16,True,1732911.0000,1735916.0000,508.7999,0.5088
2,1763.5599,1733.9159,1733915.8999,18,1-1732911-1735916,709,1,1,16,True,1732911.0000,1735916.0000,1004.8999,1.0049
2,1763.6841,1734.0401,1734040.0999,18,1-1732911-1735916,709,1,1,16,True,1732911.0000,1735916.0000,1129.0999,1.1291
2,1763.7272,1734.0832,1734083.1999,18,1-1732911-1735916,709,1,1,16,True,1732911.0000,1735916.0000,1172.1999,1.1722
2,1764.1784,1734.5344,1734534.3999,18,1-1732911-1735916,709,1,1,16,True,1732911.0000,1735916.0000,1623.3999,1.6234
2,1764.2049,1734.5609,1734560.8999,18,1-1732911-1735916,709,1,1,16,True,1732911.0000,1735916.0000,1649.8999,1.6499
2,1764.9606,1735.3166,1735316.5999,18,1-1732911-1735916,709,1,1,16,True,1732911.0000,1735916.0000,2405.5999,2.4056
2,1765.0976,1735.4536,1735453.5999,18,1-1732911-1735916,709,1,1,16,True,1732911.0000,1735916.0000,2542.5999,2.5426
2,1765.3837,1735.7397,1735739.6999,18,1-1732911-1735916,709,1,1,16,True,1732911.0000,1735916.0000,2828.6999,2.8287
2,338.1031,308.4591,308459.0999,19,1-308207-310611,173,1,1,17,True,308207.0000,310611.0000,252.0999,0.2521
2,338.1335,308.4895,308489.4999,19,1-308207-310611,173,1,1,17,True,308207.0000,310611.0000,282.4999,0.2825
2,338.2954,308.6514,308651.3999,19,1-308207-310611,173,1,1,17,True,308207.0000,310611.0000,444.3999,0.4444
2,338.4349,308.7909,308790.8999,19,1-308207-310611,173,1,1,17,True,308207.0000,310611.0000,583.8999,0.5839
2,338.7857,309.1417,309141.6999,19,1-308207-310611,173,1,1,17,True,308207.0000,310611.0000,934.6999,0.9347
2,339.1502,309.5062,309506.1999,19,1-308207-310611,173,1,1,17,True,308207.0000,310611.0000,1299.1999,1.2992
2,339.4318,309.7878,309787.7999,19,1-308207-310611,173,1,1,17,True,308207.0000,310611.0000,1580.7999,1.5808
2,339.7346,310.0906,310090.5999,19,1-308207-310611,173,1,1,17,True,308207.0000,310611.0000,1883.5999,1.8836
2,339.9790,310.3350,310334.9999,19,1-308207-310611,173,1,1,17,True,308207.0000,310611.0000,2127.9999,2.1280
2,340.2287,310.5847,310584.6999,19,1-308207-310611,173,1,1,17,True,308207.0000,310611.0000,2377.6999,2.3777
2,1577.4107,1547.7667,1547766.6999,20,1-1547512-1548681,627,1,1,18,True,1547512.0000,1548681.0000,254.6999,0.2547
2,1577.5134,1547.8694,1547869.3999,20,1-1547512-1548681,627,1,1,18,True,1547512.0000,1548681.0000,357.3999,0.3574
2,1577.5168,1547.8728,1547872.7999,20,1-1547512-1548681,627,1,1,18,True,1547512.0000,1548681.0000,360.7999,0.3608
2,2197.5580,2167.9140,2167913.9999,21,1-2167733-2169737,898,1,1,19,True,2167733.0000,2169737.0000,180.9999,0.1810
2,2197.6083,2167.9643,2167964.2999,21,1-2167733-2169737,898,1,1,19,True,2167733.0000,2169737.0000,231.2999,0.2313
2,2198.6646,2169.0206,2169020.5999,21,1-2167733-2169737,898,1,1,19,True,2167733.0000,2169737.0000,1287.5999,1.2876
2,2199.1396,2169.4956,2169495.5999,21,1-2167733-2169737,898,1,1,19,True,2167733.0000,2169737.0000,1762.5999,1.7626
2,2199.2399,2169.5959,2169595.8999,21,1-2167733-2169737,898,1,1,19,True,2167733.0000,2169737.0000,1862.8999,1.8629
2,2199.3657,2169.7217,2169721.6999,21,1-2167733-2169737,898,1,1,19,True,2167733.0000,2169737.0000,1988.6999,1.9887
