units,spikeTimeRawS,movieAlignedTimeS,movieAlignedTimeMs,trialOrder,clipWindowId,clipID,movieID,isAccurate,plotOrder,includeInPlots,clipStartTimeMs,clipEndTimeMs,spikeTimeRelativeToClipStartMs,spikeTimeRelativeToClipStartS
4,925.7154,896.0714,896071.3999,2,1-894728-896565,387,1,1,2,True,894728.0000,896565.0000,1343.3999,1.3434
4,925.8510,896.2070,896206.9999,2,1-894728-896565,387,1,1,2,True,894728.0000,896565.0000,1478.9999,1.4790
4,926.2062,896.5622,896562.1999,2,1-894728-896565,387,1,1,2,True,894728.0000,896565.0000,1834.1999,1.8342
4,2453.0836,2423.4396,2423439.5999,6,1-2420931-2423937,995,1,1,5,True,2420931.0000,2423937.0000,2508.5999,2.5086
4,2453.5418,2423.8978,2423897.7999,6,1-2420931-2423937,995,1,1,5,True,2420931.0000,2423937.0000,2966.7999,2.9668
4,1866.4762,1836.8322,1836832.1999,10,1-1835746-1837450,758,1,1,9,True,1835746.0000,1837450.0000,1086.1999,1.0862
4,549.6023,519.9583,519958.2999,12,1-519322-520725,264,1,1,11,True,519322.0000,520725.0000,636.2999,0.6363
4,2122.0835,2092.4395,2092439.4999,13,1-2092151-2093253,872,1,1,12,True,2092151.0000,2093253.0000,288.4999,0.2885
4,1021.6841,992.0401,992040.0999,14,1-991785-994691,427,1,1,13,True,991785.0000,994691.0000,255.0999,0.2551
4,207.8658,178.2218,178221.7999,15,1-176314-178585,105,1,1,14,True,176314.0000,178585.0000,1907.7999,1.9078
4,1862.3725,1832.7285,1832728.4999,16,1-1831805-1832841,755,1,0,61,True,1831805.0000,1832841.0000,923.4999,0.9235
4,1029.9776,1000.3336,1000333.5999,30,1-999701-1000536,429,1,1,27,True,999701.0000,1000536.0000,632.5999,0.6326
4,483.2591,453.6151,453615.0999,31,1-451889-453726,246,1,1,28,True,451889.0000,453726.0000,1726.0999,1.7261
4,1589.7968,1560.1528,1560152.7999,36,1-1558367-1560371,634,1,1,32,True,1558367.0000,1560371.0000,1785.7999,1.7858
4,119.9120,90.2680,90267.9999,40,1-88875-90545,51,1,1,34,True,88875.0000,90545.0000,1392.9999,1.3930
4,76.0691,46.4251,46425.0999,41,1-44655-47627,24,1,0,66,True,44655.0000,47627.0000,1770.0999,1.7701
4,1753.4212,1723.7772,1723777.1999,42,1-1722557-1724561,705,1,1,35,True,1722557.0000,1724561.0000,1220.1999,1.2202
4,2112.7602,2083.1162,2083116.1999,44,1-2082732-2084937,867,1,1,37,True,2082732.0000,2084937.0000,384.1999,0.3842
4,2113.0694,2083.4254,2083425.3999,44,1-2082732-2084937,867,1,1,37,True,2082732.0000,2084937.0000,693.3999,0.6934
4,2113.8264,2084.1824,2084182.3999,44,1-2082732-2084937,867,1,1,37,True,2082732.0000,2084937.0000,1450.3999,1.4504
4,452.7374,423.0934,423093.3999,45,1-422097-424669,230,1,1,38,True,422097.0000,424669.0000,996.3999,0.9964
4,453.1465,423.5025,423502.4999,45,1-422097-424669,230,1,1,38,True,422097.0000,424669.0000,1405.4999,1.4055
4,2461.4916,2431.8476,2431847.5999,48,1-2430584-2432588,999,1,1,41,True,2430584.0000,2432588.0000,1263.5999,1.2636
4,1903.0268,1873.3828,1873382.7999,49,1-1873120-1875257,783,1,1,42,True,1873120.0000,1875257.0000,262.7999,0.2628
4,1903.1074,1873.4634,1873463.3999,49,1-1873120-1875257,783,1,1,42,True,1873120.0000,1875257.0000,343.3999,0.3434
4,1903.2944,1873.6504,1873650.3999,49,1-1873120-1875257,783,1,1,42,True,1873120.0000,1875257.0000,530.3999,0.5304
4,1904.0488,1874.4048,1874404.7999,49,1-1873120-1875257,783,1,1,42,True,1873120.0000,1875257.0000,1284.7999,1.2848
4,1904.2717,1874.6277,1874627.6999,49,1-1873120-1875257,783,1,1,42,True,1873120.0000,1875257.0000,1507.6999,1.5077
4,1904.4223,1874.7783,1874778.2999,49,1-1873120-1875257,783,1,1,42,True,1873120.0000,1875257.0000,1658.2999,1.6583
4,1904.5664,1874.9224,1874922.3999,49,1-1873120-1875257,783,1,1,42,True,1873120.0000,1875257.0000,1802.3999,1.8024
4,1748.7453,1719.1013,1719101.2999,51,1-1718950-1721388,703,1,1,43,True,1718950.0000,1721388.0000,151.2999,0.1513
4,1748.9984,1719.3544,1719354.3999,51,1-1718950-1721388,703,1,1,43,True,1718950.0000,1721388.0000,404.3999,0.4044
4,1749.1083,1719.4643,1719464.2999,51,1-1718950-1721388,703,1,1,43,True,1718950.0000,1721388.0000,514.2999,0.5143
4,1749.3266,1719.6826,1719682.5999,51,1-1718950-1721388,703,1,1,43,True,1718950.0000,1721388.0000,732.5999,0.7326
4,1749.6968,1720.0528,1720052.7999,51,1-1718950-1721388,703,1,1,43,True,1718950.0000,1721388.0000,1102.7999,1.1028
4,2442.3695,2412.7255,2412725.4999,53,1-2412682-2413851,990,1,0,68,True,2412682.0000,2413851.0000,43.4999,0.0435
4,166.3572,136.7132,136713.1999,55,1-135099-137938,79,1,1,46,True,135099.0000,137938.0000,1614.1999,1.6142
4,166.9618,137.3178,137317.7999,55,1-135099-137938,79,1,1,46,True,135099.0000,137938.0000,2218.7999,2.2188
4,363.2745,333.6305,333630.4999,56,1-331419-334391,187,1,0,69,True,331419.0000,334391.0000,2211.4999,2.2115
4,363.7689,334.1249,334124.8999,56,1-331419-334391,187,1,0,69,True,331419.0000,334391.0000,2705.8999,2.7059
4,2264.5318,2234.8878,2234887.7999,60,1-2234331-2235733,922,1,1,49,True,2234331.0000,2235733.0000,556.7999,0.5568
4,1670.3398,1640.6958,1640695.7999,61,1-1639326-1642332,666,1,1,50,True,1639326.0000,1642332.0000,1369.7999,1.3698
4,1671.4688,1641.8248,1641824.7999,61,1-1639326-1642332,666,1,1,50,True,1639326.0000,1642332.0000,2498.7999,2.4988
4,553.2585,523.6145,523614.4999,62,1-523430-525434,267,1,1,51,True,523430.0000,525434.0000,184.4999,0.1845
4,553.5396,523.8956,523895.5999,62,1-523430-525434,267,1,1,51,True,523430.0000,525434.0000,465.5999,0.4656
4,554.6220,524.9780,524977.9999,62,1-523430-525434,267,1,1,51,True,523430.0000,525434.0000,1547.9999,1.5480
4,1636.3599,1606.7159,1606715.8999,66,1-1604391-1607163,650,1,1,54,True,1604391.0000,1607163.0000,2324.8999,2.3249
4,1478.7486,1449.1046,1449104.5999,69,1-1448250-1450187,574,1,0,73,True,1448250.0000,1450187.0000,854.5999,0.8546
4,1479.1646,1449.5206,1449520.5999,69,1-1448250-1450187,574,1,0,73,True,1448250.0000,1450187.0000,1270.5999,1.2706
4,1479.2230,1449.5790,1449578.9999,69,1-1448250-1450187,574,1,0,73,True,1448250.0000,1450187.0000,1328.9999,1.3290
4,1479.4870,1449.8430,1449842.9999,69,1-1448250-1450187,574,1,0,73,True,1448250.0000,1450187.0000,1592.9999,1.5930
4,327.0830,297.4390,297438.9999,71,1-295248-298120,167,1,0,75,True,295248.0000,298120.0000,2190.9999,2.1910
4,327.1828,297.5388,297538.7999,71,1-295248-298120,167,1,0,75,True,295248.0000,298120.0000,2290.7999,2.2908
4,241.1485,211.5045,211504.4999,72,1-210147-212351,126,1,1,56,True,210147.0000,212351.0000,1357.4999,1.3575
4,241.5006,211.8566,211856.5999,72,1-210147-212351,126,1,1,56,True,210147.0000,212351.0000,1709.5999,1.7096
4,241.5907,211.9467,211946.6999,72,1-210147-212351,126,1,1,56,True,210147.0000,212351.0000,1799.6999,1.7997
4,1486.8104,1457.1664,1457166.3999,74,1-1456199-1457368,577,1,1,58,True,1456199.0000,1457368.0000,967.3999,0.9674
4,872.5450,842.9010,842900.9999,75,1-842625-844596,368,1,1,59,True,842625.0000,844596.0000,275.9999,0.2760
4,873.3560,843.7120,843711.9999,75,1-842625-844596,368,1,1,59,True,842625.0000,844596.0000,1086.9999,1.0870
