bin_10s,spike_count,firing_rate_hz
0,26,2.6
1,11,1.1
2,11,1.1
3,13,1.3
4,0,0.0
5,4,0.4
6,1,0.1
7,9,0.9
8,10,1.0
9,12,1.2
10,9,0.9
11,8,0.8
12,8,0.8
13,7,0.7
14,8,0.8
15,3,0.3
16,3,0.3
17,9,0.9
18,3,0.3
19,3,0.3
20,10,1.0
21,5,0.5
22,3,0.3
23,12,1.2
24,16,1.6
25,13,1.3
26,30,3.0
27,8,0.8
28,3,0.3
29,8,0.8
30,22,2.2
31,8,0.8
32,13,1.3
33,18,1.8
34,6,0.6
35,5,0.5
36,5,0.5
37,19,1.9
38,7,0.7
39,46,4.6
40,12,1.2
41,7,0.7
42,25,2.5
43,19,1.9
44,29,2.9
45,7,0.7
46,2,0.2
47,4,0.4
48,10,1.0
49,10,1.0
50,11,1.1
51,14,1.4
52,7,0.7
53,44,4.4
54,32,3.2
55,18,1.8
56,21,2.1
57,36,3.6
58,10,1.0
59,2,0.2
60,9,0.9
61,11,1.1
62,15,1.5
63,7,0.7
64,11,1.1
65,9,0.9
66,6,0.6
67,21,2.1
68,20,2.0
69,30,3.0
70,1,0.1
71,4,0.4
72,5,0.5
73,20,2.0
74,3,0.3
75,12,1.2
76,2,0.2
77,11,1.1
78,12,1.2
79,4,0.4
80,21,2.1
81,23,2.3
82,3,0.3
83,14,1.4
84,0,0.0
85,12,1.2
86,27,2.7
87,10,1.0
88,29,2.9
89,74,7.4
90,56,5.6
91,43,4.3
92,38,3.8
93,60,6.0
94,22,2.2
95,9,0.9
96,28,2.8
97,19,1.9
98,20,2.0
99,50,5.0
100,82,8.2
101,44,4.4
102,34,3.4
103,54,5.4
104,37,3.7
105,18,1.8
106,15,1.5
107,18,1.8
108,11,1.1
109,13,1.3
110,18,1.8
111,42,4.2
112,36,3.6
113,45,4.5
114,17,1.7
115,7,0.7
116,16,1.6
117,37,3.7
118,21,2.1
119,67,6.7
120,31,3.1
121,26,2.6
122,22,2.2
123,25,2.5
124,39,3.9
125,9,0.9
126,23,2.3
127,33,3.3
128,35,3.5
129,38,3.8
130,11,1.1
131,27,2.7
132,33,3.3
133,9,0.9
134,35,3.5
135,41,4.1
136,38,3.8
137,38,3.8
138,8,0.8
139,20,2.0
140,4,0.4
141,5,0.5
142,14,1.4
143,5,0.5
144,12,1.2
145,8,0.8
146,15,1.5
147,34,3.4
148,23,2.3
149,15,1.5
150,31,3.1
151,10,1.0
152,8,0.8
153,14,1.4
154,15,1.5
155,3,0.3
156,13,1.3
157,15,1.5
158,22,2.2
159,26,2.6
160,7,0.7
161,5,0.5
162,11,1.1
163,42,4.2
164,31,3.1
165,12,1.2
166,12,1.2
167,2,0.2
168,7,0.7
169,14,1.4
170,22,2.2
171,9,0.9
172,69,6.9
173,27,2.7
174,17,1.7
175,32,3.2
176,28,2.8
177,30,3.0
178,22,2.2
179,7,0.7
180,31,3.1
181,57,5.7
182,11,1.1
183,19,1.9
184,10,1.0
185,1,0.1
186,3,0.3
187,6,0.6
188,15,1.5
189,4,0.4
190,11,1.1
191,8,0.8
192,6,0.6
193,1,0.1
194,6,0.6
195,11,1.1
196,25,2.5
197,11,1.1
198,9,0.9
199,9,0.9
200,20,2.0
201,5,0.5
202,9,0.9
203,6,0.6
204,10,1.0
205,14,1.4
206,6,0.6
207,5,0.5
208,2,0.2
209,1,0.1
210,9,0.9
211,5,0.5
212,16,1.6
213,20,2.0
214,2,0.2
215,6,0.6
216,6,0.6
217,9,0.9
218,5,0.5
219,7,0.7
220,17,1.7
221,14,1.4
222,10,1.0
223,6,0.6
224,9,0.9
225,4,0.4
226,4,0.4
227,9,0.9
228,16,1.6
229,8,0.8
230,10,1.0
231,4,0.4
232,7,0.7
233,4,0.4
234,8,0.8
235,14,1.4
236,11,1.1
237,17,1.7
238,7,0.7
239,16,1.6
240,1,0.1
241,4,0.4
242,1,0.1
243,20,2.0
244,22,2.2
245,10,1.0
246,3,0.3
247,2,0.2
