bin_10s,spike_count,firing_rate_hz
0,15,1.5
1,14,1.4
2,23,2.3
3,11,1.1
4,12,1.2
5,12,1.2
6,10,1.0
7,7,0.7
8,9,0.9
9,11,1.1
10,6,0.6
11,14,1.4
12,4,0.4
13,17,1.7
14,13,1.3
15,6,0.6
16,13,1.3
17,17,1.7
18,31,3.1
19,17,1.7
20,19,1.9
21,30,3.0
22,11,1.1
23,15,1.5
24,20,2.0
25,23,2.3
26,9,0.9
27,18,1.8
28,19,1.9
29,15,1.5
30,16,1.6
31,13,1.3
32,22,2.2
33,10,1.0
34,7,0.7
35,10,1.0
36,6,0.6
37,9,0.9
38,15,1.5
39,9,0.9
40,17,1.7
41,23,2.3
42,18,1.8
43,21,2.1
44,38,3.8
45,18,1.8
46,25,2.5
47,21,2.1
48,12,1.2
49,7,0.7
50,15,1.5
51,21,2.1
52,26,2.6
53,32,3.2
54,13,1.3
55,12,1.2
56,7,0.7
57,4,0.4
58,10,1.0
59,12,1.2
60,8,0.8
61,17,1.7
62,22,2.2
63,9,0.9
64,6,0.6
65,16,1.6
66,13,1.3
67,11,1.1
68,17,1.7
69,21,2.1
70,12,1.2
71,18,1.8
72,26,2.6
73,25,2.5
74,8,0.8
75,27,2.7
76,6,0.6
77,26,2.6
78,12,1.2
79,7,0.7
80,3,0.3
81,10,1.0
82,11,1.1
83,6,0.6
84,14,1.4
85,6,0.6
86,13,1.3
87,11,1.1
88,7,0.7
89,18,1.8
90,10,1.0
91,20,2.0
92,27,2.7
93,12,1.2
94,9,0.9
95,7,0.7
96,6,0.6
97,4,0.4
98,20,2.0
99,18,1.8
100,13,1.3
101,17,1.7
102,8,0.8
103,15,1.5
104,15,1.5
105,10,1.0
106,27,2.7
107,6,0.6
108,8,0.8
109,5,0.5
110,23,2.3
111,12,1.2
112,6,0.6
113,14,1.4
114,14,1.4
115,26,2.6
116,19,1.9
117,29,2.9
118,8,0.8
119,29,2.9
120,18,1.8
121,25,2.5
122,14,1.4
123,7,0.7
124,33,3.3
125,32,3.2
126,45,4.5
127,11,1.1
128,34,3.4
129,18,1.8
130,46,4.6
131,23,2.3
132,27,2.7
133,35,3.5
134,23,2.3
135,29,2.9
136,19,1.9
137,21,2.1
138,14,1.4
139,23,2.3
140,22,2.2
141,26,2.6
142,63,6.3
143,41,4.1
144,40,4.0
145,38,3.8
146,38,3.8
147,24,2.4
148,43,4.3
149,35,3.5
150,34,3.4
151,20,2.0
152,24,2.4
153,22,2.2
154,20,2.0
155,14,1.4
156,30,3.0
157,64,6.4
158,57,5.7
159,48,4.8
160,65,6.5
161,53,5.3
162,25,2.5
163,19,1.9
164,15,1.5
165,7,0.7
166,12,1.2
167,23,2.3
168,18,1.8
169,12,1.2
170,7,0.7
171,11,1.1
172,4,0.4
173,4,0.4
174,17,1.7
175,22,2.2
176,31,3.1
177,23,2.3
178,14,1.4
179,6,0.6
180,8,0.8
181,3,0.3
182,9,0.9
183,6,0.6
184,6,0.6
185,11,1.1
186,6,0.6
187,5,0.5
188,5,0.5
189,3,0.3
190,5,0.5
191,5,0.5
192,16,1.6
193,5,0.5
194,14,1.4
195,13,1.3
196,15,1.5
197,2,0.2
198,7,0.7
199,10,1.0
200,10,1.0
201,3,0.3
202,5,0.5
203,5,0.5
204,16,1.6
205,8,0.8
206,16,1.6
207,5,0.5
208,6,0.6
209,9,0.9
210,13,1.3
211,6,0.6
212,10,1.0
213,11,1.1
214,12,1.2
215,11,1.1
216,6,0.6
217,6,0.6
218,3,0.3
219,8,0.8
220,8,0.8
221,3,0.3
222,7,0.7
223,5,0.5
224,11,1.1
225,8,0.8
226,12,1.2
227,8,0.8
228,6,0.6
229,25,2.5
230,11,1.1
231,7,0.7
232,15,1.5
233,7,0.7
234,5,0.5
235,7,0.7
236,4,0.4
237,10,1.0
238,6,0.6
239,3,0.3
240,5,0.5
241,10,1.0
242,8,0.8
243,7,0.7
244,13,1.3
245,16,1.6
246,3,0.3
247,6,0.6
