bin_10s,spike_count,firing_rate_hz
0,0,0.0
1,0,0.0
2,1,0.1
3,0,0.0
4,0,0.0
5,1,0.1
6,0,0.0
7,0,0.0
8,0,0.0
9,1,0.1
10,0,0.0
11,0,0.0
12,0,0.0
13,4,0.4
14,0,0.0
15,1,0.1
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0
21,1,0.1
22,0,0.0
23,1,0.1
24,0,0.0
25,0,0.0
26,0,0.0
27,0,0.0
28,1,0.1
29,0,0.0
30,0,0.0
31,1,0.1
32,1,0.1
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,1,0.1
39,0,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,0,0.0
44,1,0.1
45,0,0.0
46,1,0.1
47,1,0.1
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,0,0.0
53,0,0.0
54,0,0.0
55,0,0.0
56,0,0.0
57,1,0.1
58,0,0.0
59,0,0.0
60,1,0.1
61,0,0.0
62,1,0.1
63,1,0.1
64,0,0.0
65,0,0.0
66,3,0.3
67,0,0.0
68,0,0.0
69,0,0.0
70,0,0.0
71,0,0.0
72,1,0.1
73,0,0.0
74,0,0.0
75,2,0.2
76,1,0.1
77,0,0.0
78,1,0.1
79,0,0.0
80,0,0.0
81,0,0.0
82,0,0.0
83,2,0.2
84,2,0.2
85,0,0.0
86,0,0.0
87,0,0.0
88,0,0.0
89,0,0.0
90,0,0.0
91,1,0.1
92,0,0.0
93,0,0.0
94,0,0.0
95,2,0.2
96,1,0.1
97,0,0.0
98,0,0.0
99,0,0.0
100,1,0.1
101,1,0.1
102,0,0.0
103,0,0.0
104,0,0.0
105,1,0.1
106,1,0.1
107,0,0.0
108,1,0.1
109,0,0.0
110,0,0.0
111,0,0.0
112,1,0.1
113,0,0.0
114,1,0.1
115,0,0.0
116,0,0.0
117,0,0.0
118,0,0.0
119,1,0.1
120,0,0.0
121,0,0.0
122,0,0.0
123,0,0.0
124,0,0.0
125,0,0.0
126,0,0.0
127,3,0.3
128,4,0.4
129,1,0.1
130,0,0.0
131,0,0.0
132,0,0.0
133,1,0.1
134,0,0.0
135,1,0.1
136,2,0.2
137,0,0.0
138,1,0.1
139,0,0.0
140,0,0.0
141,1,0.1
142,1,0.1
143,0,0.0
144,1,0.1
145,0,0.0
146,0,0.0
147,0,0.0
148,0,0.0
149,0,0.0
150,0,0.0
151,0,0.0
152,0,0.0
153,2,0.2
154,0,0.0
155,0,0.0
156,1,0.1
157,3,0.3
158,1,0.1
159,2,0.2
160,0,0.0
161,0,0.0
162,0,0.0
163,0,0.0
164,0,0.0
165,0,0.0
166,0,0.0
167,1,0.1
168,0,0.0
169,0,0.0
170,0,0.0
171,0,0.0
172,1,0.1
173,0,0.0
174,0,0.0
175,0,0.0
176,0,0.0
177,1,0.1
178,0,0.0
179,0,0.0
180,0,0.0
181,0,0.0
182,2,0.2
183,1,0.1
184,0,0.0
185,0,0.0
186,0,0.0
187,0,0.0
188,1,0.1
189,2,0.2
190,6,0.6
191,2,0.2
192,1,0.1
193,0,0.0
194,0,0.0
195,1,0.1
196,0,0.0
197,0,0.0
198,0,0.0
199,0,0.0
200,0,0.0
201,0,0.0
202,0,0.0
203,0,0.0
204,0,0.0
205,0,0.0
206,0,0.0
207,0,0.0
208,1,0.1
209,0,0.0
210,0,0.0
211,0,0.0
212,0,0.0
213,1,0.1
214,0,0.0
215,0,0.0
216,0,0.0
217,0,0.0
218,1,0.1
219,0,0.0
220,0,0.0
221,0,0.0
222,0,0.0
223,1,0.1
224,0,0.0
225,0,0.0
226,0,0.0
227,0,0.0
228,1,0.1
229,1,0.1
230,1,0.1
231,0,0.0
232,1,0.1
233,0,0.0
234,1,0.1
235,0,0.0
236,0,0.0
237,0,0.0
238,1,0.1
239,1,0.1
240,1,0.1
241,1,0.1
