bin_10s,spike_count,firing_rate_hz
0,3,0.3
1,1,0.1
2,6,0.6
3,3,0.3
4,3,0.3
5,2,0.2
6,1,0.1
7,3,0.3
8,5,0.5
9,0,0.0
10,5,0.5
11,4,0.4
12,5,0.5
13,1,0.1
14,2,0.2
15,5,0.5
16,1,0.1
17,2,0.2
18,1,0.1
19,3,0.3
20,1,0.1
21,1,0.1
22,1,0.1
23,1,0.1
24,1,0.1
25,5,0.5
26,1,0.1
27,2,0.2
28,1,0.1
29,0,0.0
30,1,0.1
31,0,0.0
32,1,0.1
33,3,0.3
34,0,0.0
35,0,0.0
36,1,0.1
37,0,0.0
38,0,0.0
39,5,0.5
40,0,0.0
41,1,0.1
42,1,0.1
43,0,0.0
44,0,0.0
45,3,0.3
46,1,0.1
47,2,0.2
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,0,0.0
53,0,0.0
54,0,0.0
55,2,0.2
56,1,0.1
57,1,0.1
58,2,0.2
59,5,0.5
60,0,0.0
61,0,0.0
62,1,0.1
63,1,0.1
64,1,0.1
65,3,0.3
66,0,0.0
67,1,0.1
68,2,0.2
69,1,0.1
70,0,0.0
71,5,0.5
72,1,0.1
73,0,0.0
74,1,0.1
75,2,0.2
76,0,0.0
77,2,0.2
78,0,0.0
79,2,0.2
80,1,0.1
81,1,0.1
82,2,0.2
83,0,0.0
84,2,0.2
85,1,0.1
86,1,0.1
87,0,0.0
88,0,0.0
89,6,0.6
90,1,0.1
91,1,0.1
92,0,0.0
93,2,0.2
94,2,0.2
95,0,0.0
96,0,0.0
97,0,0.0
98,2,0.2
99,0,0.0
100,0,0.0
101,0,0.0
102,4,0.4
103,0,0.0
104,1,0.1
105,0,0.0
106,3,0.3
107,1,0.1
108,3,0.3
109,1,0.1
110,1,0.1
111,1,0.1
112,1,0.1
113,0,0.0
114,1,0.1
115,3,0.3
116,0,0.0
117,0,0.0
118,0,0.0
119,1,0.1
120,4,0.4
121,0,0.0
122,1,0.1
123,0,0.0
124,0,0.0
125,0,0.0
126,2,0.2
127,3,0.3
128,0,0.0
129,3,0.3
130,1,0.1
131,2,0.2
132,0,0.0
133,1,0.1
134,2,0.2
135,0,0.0
136,1,0.1
137,0,0.0
138,0,0.0
139,1,0.1
140,1,0.1
141,0,0.0
142,0,0.0
143,3,0.3
144,0,0.0
145,1,0.1
146,0,0.0
147,1,0.1
148,4,0.4
149,2,0.2
150,0,0.0
151,2,0.2
152,1,0.1
153,0,0.0
154,0,0.0
155,0,0.0
156,0,0.0
157,0,0.0
158,0,0.0
159,1,0.1
160,0,0.0
161,0,0.0
162,0,0.0
163,1,0.1
164,2,0.2
165,0,0.0
166,0,0.0
167,0,0.0
168,1,0.1
169,3,0.3
170,0,0.0
171,3,0.3
172,4,0.4
173,0,0.0
174,0,0.0
175,0,0.0
176,0,0.0
177,1,0.1
178,1,0.1
179,0,0.0
180,0,0.0
181,1,0.1
182,3,0.3
183,0,0.0
184,1,0.1
185,2,0.2
186,1,0.1
187,1,0.1
188,3,0.3
189,3,0.3
190,1,0.1
191,3,0.3
192,1,0.1
193,0,0.0
194,0,0.0
195,0,0.0
196,2,0.2
197,2,0.2
198,1,0.1
199,1,0.1
200,3,0.3
201,0,0.0
202,3,0.3
203,2,0.2
204,1,0.1
205,0,0.0
206,0,0.0
207,3,0.3
208,1,0.1
209,2,0.2
210,0,0.0
211,0,0.0
212,0,0.0
213,1,0.1
214,0,0.0
215,0,0.0
216,0,0.0
217,4,0.4
218,1,0.1
219,1,0.1
220,2,0.2
221,0,0.0
222,0,0.0
223,0,0.0
224,0,0.0
225,2,0.2
226,0,0.0
227,0,0.0
228,3,0.3
229,1,0.1
230,2,0.2
231,0,0.0
232,1,0.1
233,0,0.0
234,0,0.0
235,0,0.0
236,0,0.0
237,1,0.1
238,3,0.3
239,2,0.2
240,0,0.0
241,1,0.1
242,0,0.0
243,6,0.6
244,2,0.2
245,2,0.2
246,0,0.0
247,2,0.2
