bin_10s,spike_count,firing_rate_hz
0,0,0.0
1,2,0.2
2,1,0.1
3,5,0.5
4,2,0.2
5,2,0.2
6,3,0.3
7,2,0.2
8,2,0.2
9,2,0.2
10,2,0.2
11,1,0.1
12,4,0.4
13,1,0.1
14,1,0.1
15,0,0.0
16,4,0.4
17,2,0.2
18,2,0.2
19,2,0.2
20,0,0.0
21,3,0.3
22,3,0.3
23,1,0.1
24,0,0.0
25,2,0.2
26,2,0.2
27,4,0.4
28,5,0.5
29,5,0.5
30,1,0.1
31,2,0.2
32,2,0.2
33,1,0.1
34,3,0.3
35,0,0.0
36,2,0.2
37,3,0.3
38,2,0.2
39,3,0.3
40,2,0.2
41,0,0.0
42,2,0.2
43,3,0.3
44,3,0.3
45,3,0.3
46,2,0.2
47,0,0.0
48,2,0.2
49,1,0.1
50,1,0.1
51,2,0.2
52,4,0.4
53,1,0.1
54,0,0.0
55,1,0.1
56,2,0.2
57,1,0.1
58,0,0.0
59,3,0.3
60,4,0.4
61,1,0.1
62,1,0.1
63,2,0.2
64,1,0.1
65,2,0.2
66,3,0.3
67,3,0.3
68,1,0.1
69,1,0.1
70,3,0.3
71,1,0.1
72,1,0.1
73,2,0.2
74,1,0.1
75,2,0.2
76,4,0.4
77,0,0.0
78,0,0.0
79,0,0.0
80,1,0.1
81,3,0.3
82,1,0.1
83,3,0.3
84,1,0.1
85,1,0.1
86,1,0.1
87,2,0.2
88,1,0.1
89,4,0.4
90,4,0.4
91,2,0.2
92,4,0.4
93,2,0.2
94,1,0.1
95,1,0.1
96,3,0.3
97,0,0.0
98,3,0.3
99,3,0.3
100,1,0.1
101,2,0.2
102,3,0.3
103,1,0.1
104,1,0.1
105,2,0.2
106,5,0.5
107,2,0.2
108,1,0.1
109,1,0.1
110,2,0.2
111,0,0.0
112,3,0.3
113,2,0.2
114,0,0.0
115,0,0.0
116,2,0.2
117,1,0.1
118,1,0.1
119,2,0.2
120,2,0.2
121,1,0.1
122,0,0.0
123,2,0.2
124,3,0.3
125,4,0.4
126,0,0.0
127,2,0.2
128,2,0.2
129,3,0.3
130,2,0.2
131,2,0.2
132,0,0.0
133,1,0.1
134,1,0.1
135,3,0.3
136,3,0.3
137,1,0.1
138,3,0.3
139,5,0.5
140,0,0.0
141,2,0.2
142,1,0.1
143,2,0.2
144,3,0.3
145,1,0.1
146,3,0.3
147,1,0.1
148,6,0.6
149,5,0.5
150,0,0.0
151,2,0.2
152,2,0.2
153,0,0.0
154,2,0.2
155,2,0.2
156,2,0.2
157,6,0.6
158,2,0.2
159,1,0.1
160,0,0.0
161,3,0.3
162,1,0.1
163,2,0.2
164,8,0.8
165,1,0.1
166,7,0.7
167,4,0.4
168,5,0.5
169,1,0.1
170,0,0.0
171,1,0.1
172,0,0.0
173,1,0.1
174,0,0.0
175,1,0.1
176,4,0.4
177,2,0.2
178,0,0.0
179,3,0.3
180,1,0.1
181,0,0.0
182,2,0.2
183,4,0.4
184,3,0.3
185,4,0.4
186,1,0.1
187,0,0.0
188,2,0.2
189,6,0.6
190,5,0.5
191,5,0.5
192,5,0.5
193,0,0.0
194,1,0.1
195,0,0.0
196,5,0.5
197,1,0.1
198,0,0.0
199,2,0.2
200,1,0.1
201,3,0.3
202,0,0.0
203,2,0.2
204,0,0.0
205,2,0.2
206,1,0.1
207,2,0.2
208,1,0.1
209,3,0.3
210,1,0.1
211,1,0.1
212,6,0.6
213,6,0.6
214,2,0.2
215,0,0.0
216,0,0.0
217,2,0.2
218,1,0.1
219,1,0.1
220,1,0.1
221,1,0.1
222,0,0.0
223,3,0.3
224,2,0.2
225,3,0.3
226,0,0.0
227,0,0.0
228,2,0.2
229,2,0.2
230,2,0.2
231,1,0.1
232,1,0.1
233,2,0.2
234,2,0.2
235,1,0.1
236,1,0.1
237,3,0.3
238,2,0.2
239,4,0.4
240,1,0.1
241,3,0.3
242,6,0.6
243,0,0.0
244,4,0.4
245,1,0.1
246,0,0.0
247,1,0.1
