bin_10s,spike_count,firing_rate_hz
0,0,0.0
1,0,0.0
2,0,0.0
3,1,0.1
4,3,0.3
5,2,0.2
6,4,0.4
7,2,0.2
8,0,0.0
9,1,0.1
10,0,0.0
11,2,0.2
12,2,0.2
13,2,0.2
14,0,0.0
15,1,0.1
16,1,0.1
17,0,0.0
18,0,0.0
19,2,0.2
20,1,0.1
21,0,0.0
22,0,0.0
23,1,0.1
24,3,0.3
25,0,0.0
26,0,0.0
27,2,0.2
28,0,0.0
29,0,0.0
30,1,0.1
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,1,0.1
36,2,0.2
37,0,0.0
38,0,0.0
39,2,0.2
40,0,0.0
41,0,0.0
42,1,0.1
43,1,0.1
44,0,0.0
45,0,0.0
46,1,0.1
47,2,0.2
48,0,0.0
49,0,0.0
50,3,0.3
51,0,0.0
52,2,0.2
53,0,0.0
54,1,0.1
55,0,0.0
56,1,0.1
57,0,0.0
58,0,0.0
59,0,0.0
60,0,0.0
61,0,0.0
62,2,0.2
63,0,0.0
64,1,0.1
65,2,0.2
66,1,0.1
67,0,0.0
68,2,0.2
69,2,0.2
70,1,0.1
71,1,0.1
72,3,0.3
73,0,0.0
74,0,0.0
75,2,0.2
76,1,0.1
77,1,0.1
78,0,0.0
79,0,0.0
80,1,0.1
81,1,0.1
82,0,0.0
83,0,0.0
84,1,0.1
85,1,0.1
86,0,0.0
87,6,0.6
88,3,0.3
89,3,0.3
90,3,0.3
91,0,0.0
92,1,0.1
93,3,0.3
94,0,0.0
95,0,0.0
96,0,0.0
97,2,0.2
98,1,0.1
99,0,0.0
100,2,0.2
101,0,0.0
102,1,0.1
103,1,0.1
104,3,0.3
105,2,0.2
106,3,0.3
107,2,0.2
108,0,0.0
109,1,0.1
110,1,0.1
111,0,0.0
112,2,0.2
113,0,0.0
114,0,0.0
115,4,0.4
116,1,0.1
117,2,0.2
118,0,0.0
119,3,0.3
120,0,0.0
121,0,0.0
122,1,0.1
123,1,0.1
124,0,0.0
125,2,0.2
126,0,0.0
127,54,5.4
128,13,1.3
129,1,0.1
130,3,0.3
131,6,0.6
132,1,0.1
133,2,0.2
134,1,0.1
135,2,0.2
136,2,0.2
137,0,0.0
138,2,0.2
139,0,0.0
140,1,0.1
141,0,0.0
142,0,0.0
143,3,0.3
144,1,0.1
145,0,0.0
146,0,0.0
147,0,0.0
148,1,0.1
149,0,0.0
150,0,0.0
151,0,0.0
152,0,0.0
153,0,0.0
154,1,0.1
155,0,0.0
156,11,1.1
157,4,0.4
158,0,0.0
159,1,0.1
160,2,0.2
161,4,0.4
162,1,0.1
163,2,0.2
164,2,0.2
165,1,0.1
166,2,0.2
167,0,0.0
168,0,0.0
169,0,0.0
170,0,0.0
171,2,0.2
172,2,0.2
173,1,0.1
174,1,0.1
175,1,0.1
176,0,0.0
177,2,0.2
178,0,0.0
179,1,0.1
180,2,0.2
181,1,0.1
182,2,0.2
183,0,0.0
184,1,0.1
185,3,0.3
186,1,0.1
187,1,0.1
188,1,0.1
189,1,0.1
190,16,1.6
191,6,0.6
192,15,1.5
193,2,0.2
194,1,0.1
195,2,0.2
196,0,0.0
197,1,0.1
198,2,0.2
199,0,0.0
200,2,0.2
201,4,0.4
202,1,0.1
203,1,0.1
204,0,0.0
205,2,0.2
206,1,0.1
207,1,0.1
208,1,0.1
209,1,0.1
210,3,0.3
211,1,0.1
212,3,0.3
213,2,0.2
214,1,0.1
215,0,0.0
216,0,0.0
217,0,0.0
218,1,0.1
219,2,0.2
220,1,0.1
221,2,0.2
222,0,0.0
223,1,0.1
224,1,0.1
225,0,0.0
226,1,0.1
227,4,0.4
228,2,0.2
229,0,0.0
230,1,0.1
231,1,0.1
232,1,0.1
233,3,0.3
234,4,0.4
235,1,0.1
236,2,0.2
237,2,0.2
238,5,0.5
239,3,0.3
240,0,0.0
241,6,0.6
242,6,0.6
243,5,0.5
244,3,0.3
245,2,0.2
246,3,0.3
247,2,0.2
