bin_10s,spike_count,firing_rate_hz
0,8,0.8
1,24,2.4
2,18,1.8
3,20,2.0
4,10,1.0
5,11,1.1
6,2,0.2
7,9,0.9
8,4,0.4
9,29,2.9
10,10,1.0
11,1,0.1
12,6,0.6
13,17,1.7
14,22,2.2
15,13,1.3
16,9,0.9
17,11,1.1
18,10,1.0
19,17,1.7
20,42,4.2
21,23,2.3
22,21,2.1
23,7,0.7
24,2,0.2
25,2,0.2
26,2,0.2
27,13,1.3
28,8,0.8
29,3,0.3
30,11,1.1
31,16,1.6
32,5,0.5
33,9,0.9
34,4,0.4
35,14,1.4
36,7,0.7
37,5,0.5
38,8,0.8
39,2,0.2
40,12,1.2
41,16,1.6
42,24,2.4
43,10,1.0
44,19,1.9
45,28,2.8
46,10,1.0
47,10,1.0
48,15,1.5
49,4,0.4
50,6,0.6
51,2,0.2
52,8,0.8
53,6,0.6
54,2,0.2
55,14,1.4
56,5,0.5
57,4,0.4
58,9,0.9
59,1,0.1
60,5,0.5
61,7,0.7
62,2,0.2
63,2,0.2
64,12,1.2
65,1,0.1
66,15,1.5
67,25,2.5
68,33,3.3
69,4,0.4
70,3,0.3
71,12,1.2
72,24,2.4
73,26,2.6
74,17,1.7
75,11,1.1
76,12,1.2
77,4,0.4
78,2,0.2
79,2,0.2
80,4,0.4
81,13,1.3
82,29,2.9
83,12,1.2
84,5,0.5
85,16,1.6
86,7,0.7
87,18,1.8
88,2,0.2
89,11,1.1
90,7,0.7
91,6,0.6
92,5,0.5
93,8,0.8
94,9,0.9
95,9,0.9
96,7,0.7
97,10,1.0
98,10,1.0
99,4,0.4
100,9,0.9
101,6,0.6
102,2,0.2
103,4,0.4
104,4,0.4
105,9,0.9
106,5,0.5
107,10,1.0
108,3,0.3
109,5,0.5
110,4,0.4
111,7,0.7
112,10,1.0
113,0,0.0
114,4,0.4
115,8,0.8
116,7,0.7
117,2,0.2
118,8,0.8
119,3,0.3
120,4,0.4
121,9,0.9
122,11,1.1
123,12,1.2
124,7,0.7
125,4,0.4
126,10,1.0
127,4,0.4
128,1,0.1
129,3,0.3
130,14,1.4
131,15,1.5
132,14,1.4
133,14,1.4
134,10,1.0
135,4,0.4
136,15,1.5
137,10,1.0
138,0,0.0
139,11,1.1
140,6,0.6
141,3,0.3
142,9,0.9
143,3,0.3
144,5,0.5
145,8,0.8
146,20,2.0
147,5,0.5
148,14,1.4
149,16,1.6
150,1,0.1
151,4,0.4
152,3,0.3
153,12,1.2
154,4,0.4
155,2,0.2
156,4,0.4
157,9,0.9
158,12,1.2
159,10,1.0
160,2,0.2
161,7,0.7
162,11,1.1
163,5,0.5
164,1,0.1
165,4,0.4
166,4,0.4
167,1,0.1
168,1,0.1
169,4,0.4
170,6,0.6
171,11,1.1
172,6,0.6
173,3,0.3
174,7,0.7
175,4,0.4
176,5,0.5
177,1,0.1
178,5,0.5
179,4,0.4
180,12,1.2
181,3,0.3
182,0,0.0
183,2,0.2
184,2,0.2
185,0,0.0
186,3,0.3
187,2,0.2
188,1,0.1
189,3,0.3
190,5,0.5
191,3,0.3
192,18,1.8
193,12,1.2
194,12,1.2
195,10,1.0
196,7,0.7
197,4,0.4
198,3,0.3
199,2,0.2
200,9,0.9
201,5,0.5
202,0,0.0
203,4,0.4
204,4,0.4
205,2,0.2
206,0,0.0
207,4,0.4
208,2,0.2
209,3,0.3
210,0,0.0
211,3,0.3
212,1,0.1
213,11,1.1
214,3,0.3
215,4,0.4
216,1,0.1
217,3,0.3
218,2,0.2
219,3,0.3
220,2,0.2
221,3,0.3
222,3,0.3
223,3,0.3
224,10,1.0
225,5,0.5
226,4,0.4
227,3,0.3
228,4,0.4
229,2,0.2
230,0,0.0
231,4,0.4
232,5,0.5
233,3,0.3
234,5,0.5
235,6,0.6
236,7,0.7
237,2,0.2
238,9,0.9
239,12,1.2
240,5,0.5
241,4,0.4
242,3,0.3
243,7,0.7
244,2,0.2
245,9,0.9
246,5,0.5
