bin_10s,spike_count,firing_rate_hz
0,4,0.4
1,2,0.2
2,2,0.2
3,3,0.3
4,4,0.4
5,3,0.3
6,4,0.4
7,1,0.1
8,3,0.3
9,7,0.7
10,2,0.2
11,10,1.0
12,2,0.2
13,7,0.7
14,2,0.2
15,5,0.5
16,3,0.3
17,7,0.7
18,3,0.3
19,5,0.5
20,4,0.4
21,5,0.5
22,6,0.6
23,5,0.5
24,1,0.1
25,1,0.1
26,3,0.3
27,4,0.4
28,9,0.9
29,5,0.5
30,1,0.1
31,7,0.7
32,5,0.5
33,8,0.8
34,5,0.5
35,2,0.2
36,7,0.7
37,6,0.6
38,8,0.8
39,4,0.4
40,6,0.6
41,0,0.0
42,2,0.2
43,7,0.7
44,3,0.3
45,0,0.0
46,1,0.1
47,3,0.3
48,4,0.4
49,7,0.7
50,3,0.3
51,3,0.3
52,8,0.8
53,5,0.5
54,5,0.5
55,2,0.2
56,3,0.3
57,3,0.3
58,3,0.3
59,7,0.7
60,7,0.7
61,4,0.4
62,1,0.1
63,2,0.2
64,6,0.6
65,4,0.4
66,4,0.4
67,2,0.2
68,6,0.6
69,2,0.2
70,6,0.6
71,0,0.0
72,8,0.8
73,2,0.2
74,7,0.7
75,9,0.9
76,8,0.8
77,7,0.7
78,2,0.2
79,3,0.3
80,9,0.9
81,4,0.4
82,5,0.5
83,5,0.5
84,6,0.6
85,3,0.3
86,12,1.2
87,5,0.5
88,2,0.2
89,7,0.7
90,7,0.7
91,8,0.8
92,8,0.8
93,10,1.0
94,4,0.4
95,10,1.0
96,2,0.2
97,6,0.6
98,5,0.5
99,6,0.6
100,4,0.4
101,1,0.1
102,2,0.2
103,2,0.2
104,9,0.9
105,2,0.2
106,1,0.1
107,6,0.6
108,4,0.4
109,6,0.6
110,7,0.7
111,5,0.5
112,2,0.2
113,7,0.7
114,3,0.3
115,5,0.5
116,3,0.3
117,3,0.3
118,7,0.7
119,6,0.6
120,4,0.4
121,8,0.8
122,4,0.4
123,3,0.3
124,4,0.4
125,5,0.5
126,4,0.4
127,2,0.2
128,4,0.4
129,0,0.0
130,5,0.5
131,1,0.1
132,9,0.9
133,13,1.3
134,8,0.8
135,2,0.2
136,12,1.2
137,3,0.3
138,13,1.3
139,5,0.5
140,7,0.7
141,2,0.2
142,2,0.2
143,5,0.5
144,6,0.6
145,6,0.6
146,9,0.9
147,7,0.7
148,6,0.6
149,1,0.1
150,5,0.5
151,3,0.3
152,8,0.8
153,6,0.6
154,3,0.3
155,9,0.9
156,3,0.3
157,8,0.8
158,2,0.2
159,3,0.3
160,3,0.3
161,3,0.3
162,3,0.3
163,3,0.3
164,9,0.9
165,0,0.0
166,4,0.4
167,1,0.1
168,7,0.7
169,3,0.3
170,2,0.2
171,2,0.2
172,8,0.8
173,3,0.3
174,1,0.1
175,2,0.2
176,2,0.2
177,3,0.3
178,5,0.5
179,1,0.1
180,2,0.2
181,1,0.1
182,1,0.1
183,0,0.0
184,1,0.1
185,2,0.2
186,8,0.8
187,3,0.3
188,5,0.5
189,9,0.9
190,6,0.6
191,4,0.4
192,4,0.4
193,4,0.4
194,2,0.2
195,2,0.2
196,2,0.2
197,1,0.1
198,3,0.3
199,8,0.8
200,7,0.7
201,4,0.4
202,5,0.5
203,2,0.2
204,2,0.2
205,2,0.2
206,2,0.2
207,2,0.2
208,3,0.3
209,0,0.0
210,3,0.3
211,4,0.4
212,2,0.2
213,5,0.5
214,4,0.4
215,5,0.5
216,2,0.2
217,1,0.1
218,3,0.3
219,1,0.1
220,1,0.1
221,5,0.5
222,0,0.0
223,3,0.3
224,2,0.2
225,1,0.1
226,0,0.0
227,6,0.6
228,3,0.3
229,4,0.4
230,0,0.0
231,2,0.2
232,3,0.3
233,4,0.4
234,0,0.0
235,5,0.5
236,3,0.3
237,0,0.0
238,1,0.1
239,1,0.1
240,3,0.3
241,3,0.3
242,5,0.5
243,10,1.0
244,2,0.2
245,4,0.4
246,12,1.2
