bin_10s,spike_count,firing_rate_hz
0,30,3.0
1,35,3.5
2,24,2.4
3,41,4.1
4,38,3.8
5,42,4.2
6,27,2.7
7,42,4.2
8,52,5.2
9,43,4.3
10,49,4.9
11,24,2.4
12,34,3.4
13,36,3.6
14,43,4.3
15,57,5.7
16,69,6.9
17,53,5.3
18,37,3.7
19,44,4.4
20,27,2.7
21,30,3.0
22,32,3.2
23,33,3.3
24,68,6.8
25,41,4.1
26,17,1.7
27,22,2.2
28,33,3.3
29,39,3.9
30,29,2.9
31,35,3.5
32,25,2.5
33,42,4.2
34,62,6.2
35,57,5.7
36,42,4.2
37,56,5.6
38,33,3.3
39,47,4.7
40,49,4.9
41,48,4.8
42,32,3.2
43,35,3.5
44,42,4.2
45,28,2.8
46,37,3.7
47,40,4.0
48,71,7.1
49,43,4.3
50,37,3.7
51,52,5.2
52,32,3.2
53,46,4.6
54,59,5.9
55,64,6.4
56,38,3.8
57,38,3.8
58,26,2.6
59,41,4.1
60,47,4.7
61,35,3.5
62,27,2.7
63,20,2.0
64,46,4.6
65,40,4.0
66,43,4.3
67,38,3.8
68,39,3.9
69,37,3.7
70,29,2.9
71,39,3.9
72,34,3.4
73,27,2.7
74,27,2.7
75,31,3.1
76,18,1.8
77,33,3.3
78,17,1.7
79,33,3.3
80,32,3.2
81,20,2.0
82,41,4.1
83,32,3.2
84,32,3.2
85,54,5.4
86,32,3.2
87,18,1.8
88,39,3.9
89,34,3.4
90,39,3.9
91,50,5.0
92,34,3.4
93,26,2.6
94,32,3.2
95,53,5.3
96,35,3.5
97,30,3.0
98,24,2.4
99,23,2.3
100,36,3.6
101,52,5.2
102,40,4.0
103,20,2.0
104,48,4.8
105,49,4.9
106,23,2.3
107,31,3.1
108,32,3.2
109,40,4.0
110,41,4.1
111,52,5.2
112,26,2.6
113,22,2.2
114,34,3.4
115,36,3.6
116,42,4.2
117,41,4.1
118,39,3.9
119,44,4.4
120,56,5.6
121,30,3.0
122,27,2.7
123,39,3.9
124,37,3.7
125,39,3.9
126,28,2.8
127,32,3.2
128,34,3.4
129,28,2.8
130,28,2.8
131,25,2.5
132,38,3.8
133,43,4.3
134,33,3.3
135,43,4.3
136,38,3.8
137,29,2.9
138,51,5.1
139,42,4.2
140,22,2.2
141,18,1.8
142,25,2.5
143,28,2.8
144,30,3.0
145,40,4.0
146,25,2.5
147,22,2.2
148,29,2.9
149,36,3.6
150,28,2.8
151,36,3.6
152,48,4.8
153,27,2.7
154,28,2.8
155,45,4.5
156,21,2.1
157,22,2.2
158,28,2.8
159,23,2.3
160,33,3.3
161,27,2.7
162,44,4.4
163,28,2.8
164,21,2.1
165,40,4.0
166,28,2.8
167,30,3.0
168,48,4.8
169,43,4.3
170,33,3.3
171,42,4.2
172,52,5.2
173,41,4.1
174,52,5.2
175,51,5.1
176,34,3.4
177,27,2.7
178,42,4.2
179,46,4.6
180,34,3.4
181,42,4.2
182,34,3.4
183,38,3.8
184,38,3.8
185,33,3.3
186,22,2.2
187,30,3.0
188,36,3.6
189,30,3.0
190,16,1.6
191,29,2.9
192,33,3.3
193,35,3.5
194,24,2.4
195,49,4.9
196,44,4.4
197,46,4.6
198,51,5.1
199,42,4.2
200,23,2.3
201,49,4.9
202,31,3.1
203,48,4.8
204,33,3.3
205,34,3.4
206,29,2.9
207,36,3.6
208,36,3.6
209,40,4.0
210,27,2.7
211,33,3.3
212,28,2.8
213,31,3.1
214,24,2.4
215,20,2.0
216,27,2.7
217,40,4.0
218,35,3.5
219,49,4.9
220,25,2.5
221,31,3.1
222,28,2.8
223,37,3.7
224,42,4.2
225,49,4.9
226,47,4.7
227,34,3.4
228,28,2.8
229,44,4.4
230,23,2.3
231,29,2.9
232,24,2.4
233,34,3.4
234,42,4.2
235,38,3.8
236,40,4.0
237,49,4.9
238,42,4.2
239,29,2.9
240,25,2.5
241,39,3.9
242,40,4.0
243,40,4.0
244,64,6.4
245,58,5.8
246,38,3.8
247,40,4.0
