bin_10s,spike_count,firing_rate_hz
0,1,0.1
1,1,0.1
2,0,0.0
3,0,0.0
4,0,0.0
5,1,0.1
6,0,0.0
7,1,0.1
8,1,0.1
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,1,0.1
14,1,0.1
15,0,0.0
16,1,0.1
17,0,0.0
18,2,0.2
19,2,0.2
20,0,0.0
21,1,0.1
22,0,0.0
23,0,0.0
24,0,0.0
25,1,0.1
26,0,0.0
27,0,0.0
28,3,0.3
29,0,0.0
30,0,0.0
31,0,0.0
32,1,0.1
33,2,0.2
34,1,0.1
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,0,0.0
44,0,0.0
45,0,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,1,0.1
53,3,0.3
54,0,0.0
55,0,0.0
56,0,0.0
57,0,0.0
58,0,0.0
59,0,0.0
60,0,0.0
61,0,0.0
62,0,0.0
63,0,0.0
64,0,0.0
65,1,0.1
66,1,0.1
67,0,0.0
68,0,0.0
69,0,0.0
70,1,0.1
71,0,0.0
72,0,0.0
73,0,0.0
74,1,0.1
75,0,0.0
76,0,0.0
77,0,0.0
78,0,0.0
79,1,0.1
80,1,0.1
81,0,0.0
82,0,0.0
83,0,0.0
84,0,0.0
85,0,0.0
86,0,0.0
87,2,0.2
88,0,0.0
89,0,0.0
90,0,0.0
91,0,0.0
92,1,0.1
93,0,0.0
94,0,0.0
95,0,0.0
96,0,0.0
97,0,0.0
98,3,0.3
99,0,0.0
100,0,0.0
101,0,0.0
102,0,0.0
103,1,0.1
104,0,0.0
105,0,0.0
106,2,0.2
107,0,0.0
108,0,0.0
109,0,0.0
110,0,0.0
111,0,0.0
112,1,0.1
113,1,0.1
114,0,0.0
115,1,0.1
116,0,0.0
117,0,0.0
118,1,0.1
119,0,0.0
120,0,0.0
121,1,0.1
122,0,0.0
123,0,0.0
124,1,0.1
125,1,0.1
126,1,0.1
127,12,1.2
128,7,0.7
129,1,0.1
130,1,0.1
131,0,0.0
132,0,0.0
133,0,0.0
134,0,0.0
135,1,0.1
136,1,0.1
137,1,0.1
138,1,0.1
139,0,0.0
140,0,0.0
141,0,0.0
142,0,0.0
143,3,0.3
144,1,0.1
145,0,0.0
146,0,0.0
147,0,0.0
148,0,0.0
149,1,0.1
150,0,0.0
151,0,0.0
152,0,0.0
153,0,0.0
154,1,0.1
155,0,0.0
156,2,0.2
157,0,0.0
158,0,0.0
159,0,0.0
160,1,0.1
161,2,0.2
162,0,0.0
163,0,0.0
164,0,0.0
165,0,0.0
166,0,0.0
167,0,0.0
168,0,0.0
169,1,0.1
170,0,0.0
171,1,0.1
172,0,0.0
173,0,0.0
174,0,0.0
175,0,0.0
176,0,0.0
177,0,0.0
178,0,0.0
179,0,0.0
180,0,0.0
181,1,0.1
182,0,0.0
183,0,0.0
184,0,0.0
185,0,0.0
186,1,0.1
187,0,0.0
188,1,0.1
189,2,0.2
190,2,0.2
191,2,0.2
192,9,0.9
193,1,0.1
194,1,0.1
195,0,0.0
196,0,0.0
197,1,0.1
198,0,0.0
199,1,0.1
200,0,0.0
201,0,0.0
202,0,0.0
203,0,0.0
204,1,0.1
205,1,0.1
206,0,0.0
207,0,0.0
208,0,0.0
209,0,0.0
210,0,0.0
211,0,0.0
212,0,0.0
213,0,0.0
214,0,0.0
215,0,0.0
216,0,0.0
217,0,0.0
218,0,0.0
219,0,0.0
220,0,0.0
221,1,0.1
222,0,0.0
223,0,0.0
224,1,0.1
225,0,0.0
226,0,0.0
227,0,0.0
228,0,0.0
229,0,0.0
230,0,0.0
231,0,0.0
232,1,0.1
233,0,0.0
234,0,0.0
235,0,0.0
236,0,0.0
237,0,0.0
238,0,0.0
239,0,0.0
240,0,0.0
241,2,0.2
242,1,0.1
243,0,0.0
244,1,0.1
